step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2742,0.6893,0.2742,0.2211,0.8829,21.8991,0.2691,0.2742,49.8372
1,0.3812,0.8095,0.3812,0.3524,0.7815,12.8795,0.4178,0.3812,37.2021
2,0.4506,0.8763,0.4506,0.4326,0.7174,8.1488,0.5097,0.4506,41.7244
3,0.4848,0.908,0.4848,0.4748,0.6782,6.0342,0.5689,0.4848,37.3732
4,0.5218,0.9281,0.5218,0.5065,0.6377,4.617,0.6055,0.5218,39.7223
5,0.5302,0.941,0.5302,0.5137,0.6266,3.6141,0.6266,0.5302,41.8313
6,0.5434,0.9576,0.5434,0.5226,0.6036,2.5916,0.6475,0.5434,45.9906
7,0.5562,0.9599,0.5562,0.5377,0.5883,2.516,0.6572,0.5562,46.3339
8,0.5806,0.9672,0.5806,0.5612,0.5593,2.0783,0.6749,0.5806,45.0152
9,0.5877,0.9675,0.5877,0.568,0.5508,2.0528,0.6794,0.5877,46.4176
10,0.5907,0.9716,0.5907,0.5679,0.5446,2.0045,0.6828,0.5907,47.0101
11,0.6028,0.9731,0.6028,0.583,0.5343,1.9462,0.6952,0.6028,50.0893
12,0.6166,0.9745,0.6166,0.5966,0.5146,1.8732,0.707,0.6166,45.6028
13,0.6299,0.9768,0.6299,0.6115,0.5003,1.8054,0.7193,0.6299,45.7064
14,0.6382,0.9829,0.6382,0.6226,0.4895,1.4422,0.7271,0.6382,44.9692
15,0.6473,0.9843,0.6473,0.631,0.4775,1.3988,0.7345,0.6473,51.0578
16,0.6568,0.9855,0.6568,0.6413,0.4626,1.3403,0.7425,0.6568,50.8019
17,0.6644,0.9863,0.6644,0.6507,0.4584,1.3143,0.7504,0.6644,46.9404
18,0.6673,0.9868,0.6673,0.6538,0.4541,1.3042,0.7541,0.6673,46.6576
19,0.6724,0.9872,0.6724,0.6595,0.4444,1.2592,0.7617,0.6724,50.5968
20,0.6741,0.9875,0.6741,0.6601,0.4421,1.2471,0.762,0.6741,50.0171
21,0.6797,0.9879,0.6797,0.6656,0.4358,1.2284,0.7653,0.6797,48.3431
22,0.6855,0.9881,0.6855,0.6713,0.4303,1.216,0.7678,0.6855,47.3611
23,0.6881,0.9888,0.6881,0.6738,0.4264,1.1997,0.7713,0.6881,52.3722
24,0.6938,0.9895,0.6938,0.6826,0.4197,1.161,0.7765,0.6938,49.1816
25,0.6969,0.9897,0.6969,0.6863,0.4134,1.1359,0.7789,0.6969,47.4457
26,0.7021,0.9897,0.7021,0.6929,0.4079,1.1207,0.7814,0.7021,42.7825
27,0.7053,0.9899,0.7053,0.6964,0.4058,1.1167,0.783,0.7053,43.632
28,0.703,0.9899,0.703,0.6941,0.4076,1.1224,0.7837,0.703,39.8658
29,0.7064,0.9902,0.7064,0.6979,0.4041,1.1147,0.7873,0.7064,42.4258
30,0.7068,0.9902,0.7068,0.6985,0.4036,1.1147,0.7885,0.7068,41.467
31,0.7091,0.9904,0.7091,0.7012,0.4012,1.1085,0.7901,0.7091,39.0385
32,0.7112,0.9904,0.7112,0.7029,0.3997,1.107,0.7912,0.7112,38.5243
33,0.7127,0.9903,0.7127,0.7036,0.3992,1.1121,0.7932,0.7127,38.8251
34,0.7176,0.9907,0.7176,0.7113,0.3922,1.081,0.7973,0.7176,39.4609
35,0.7221,0.991,0.7221,0.7162,0.3869,1.0663,0.7997,0.7221,39.9406
36,0.7259,0.9913,0.7259,0.7197,0.3849,1.0637,0.8,0.7259,39.5305
37,0.7304,0.9913,0.7304,0.725,0.3788,1.039,0.8019,0.7304,41.8417
38,0.7328,0.9914,0.7328,0.7274,0.3744,1.0288,0.8048,0.7328,39.4334
39,0.7349,0.9914,0.7349,0.7297,0.3739,1.0297,0.8057,0.7349,40.7119
