step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0779,0.5429,0.0779,0.018,1.1068,32.5322,0.0484,0.0779,47.333
1,0.1427,0.5853,0.1427,0.0583,0.9944,29.413,0.1128,0.1427,9.5811
2,0.1896,0.6242,0.1896,0.1035,0.9384,26.6654,0.1626,0.1896,9.4249
3,0.2126,0.6481,0.2126,0.1281,0.9207,24.6412,0.1807,0.2126,9.241
4,0.2527,0.6809,0.2527,0.1671,0.8841,21.9501,0.2192,0.2527,9.3463
5,0.2798,0.7154,0.2798,0.203,0.8604,19.5974,0.2541,0.2798,9.5714
6,0.2866,0.7371,0.2866,0.2191,0.857,17.9375,0.2735,0.2866,9.6919
7,0.2993,0.7561,0.2993,0.2348,0.8403,16.5935,0.2965,0.2993,9.2373
8,0.3144,0.7737,0.3144,0.2546,0.8204,15.2441,0.322,0.3144,9.31
9,0.3342,0.804,0.3342,0.2826,0.8078,12.9453,0.3489,0.3342,9.2666
10,0.3301,0.807,0.3301,0.2782,0.8102,12.62,0.3511,0.3301,9.4612
11,0.3546,0.8273,0.3546,0.307,0.7943,11.264,0.3812,0.3546,9.4046
12,0.3621,0.8395,0.3621,0.3136,0.7859,10.279,0.3938,0.3621,9.4204
13,0.3786,0.8459,0.3786,0.33,0.7655,9.8947,0.4146,0.3786,9.3737
14,0.3961,0.857,0.3961,0.3469,0.7528,9.188,0.4364,0.3961,9.4136
15,0.4122,0.8685,0.4122,0.3602,0.7339,8.4798,0.4551,0.4122,9.4607
16,0.4144,0.8758,0.4144,0.368,0.736,7.8436,0.4601,0.4144,9.6873
17,0.4313,0.8875,0.4313,0.3858,0.7171,7.1303,0.4804,0.4313,9.508
18,0.444,0.8976,0.444,0.401,0.7059,6.4463,0.4988,0.444,9.5816
19,0.4517,0.9029,0.4517,0.4106,0.6939,6.0882,0.5076,0.4517,9.4887
20,0.4643,0.9066,0.4643,0.4254,0.6809,6.0184,0.5196,0.4643,9.4537
21,0.4711,0.9071,0.4711,0.4308,0.6729,5.9942,0.5234,0.4711,9.3487
22,0.4723,0.9076,0.4723,0.4274,0.6701,5.985,0.5234,0.4723,9.5306
23,0.4813,0.9175,0.4813,0.4402,0.6595,5.3065,0.5373,0.4813,9.364
24,0.4863,0.9224,0.4863,0.4441,0.653,4.9679,0.5445,0.4863,9.319
25,0.4939,0.9276,0.4939,0.4536,0.6468,4.6151,0.5534,0.4939,9.0491
26,0.4954,0.9295,0.4954,0.459,0.6477,4.3076,0.5534,0.4954,9.1968
27,0.5067,0.9411,0.5067,0.477,0.6376,3.614,0.573,0.5067,9.2864
28,0.5163,0.9425,0.5163,0.4877,0.6267,3.5731,0.5807,0.5163,9.4443
29,0.5209,0.9438,0.5209,0.4956,0.6214,3.5304,0.5858,0.5209,9.5993
30,0.5303,0.9444,0.5303,0.5046,0.6145,3.5047,0.5946,0.5303,9.9263
31,0.5342,0.9461,0.5342,0.5084,0.6096,3.4758,0.5965,0.5342,10.0397
32,0.5417,0.9516,0.5417,0.5194,0.6021,3.1234,0.6067,0.5417,9.6967
33,0.5425,0.9522,0.5425,0.5193,0.5996,3.1103,0.6096,0.5425,9.6467
34,0.5429,0.9573,0.5429,0.5216,0.5971,2.7743,0.6143,0.5429,9.7511
35,0.5486,0.9581,0.5486,0.5276,0.5914,2.7522,0.6161,0.5486,9.753
36,0.5483,0.9629,0.5483,0.5274,0.5901,2.4293,0.6222,0.5483,9.6867
37,0.5573,0.9686,0.5573,0.5409,0.5805,2.0709,0.6336,0.5573,9.0751
38,0.5614,0.9689,0.5614,0.5458,0.5766,2.0563,0.6369,0.5614,9.7126
39,0.5657,0.9688,0.5657,0.552,0.5725,2.0389,0.6395,0.5657,9.7783
40,0.5699,0.9693,0.5699,0.5558,0.5687,2.0218,0.6407,0.5699,9.5884
41,0.5726,0.9697,0.5726,0.5587,0.5639,2.0035,0.6436,0.5726,9.8413
42,0.5773,0.971,0.5773,0.5651,0.5596,1.9785,0.6497,0.5773,9.5634
43,0.5802,0.9706,0.5802,0.5676,0.5565,1.9704,0.6506,0.5802,9.6396
44,0.5834,0.9711,0.5834,0.5693,0.5544,1.9616,0.6549,0.5834,9.5467
45,0.5921,0.9715,0.5921,0.5812,0.5452,1.9268,0.6642,0.5921,9.6654
46,0.5925,0.9717,0.5925,0.583,0.5446,1.9184,0.6647,0.5925,9.8597
47,0.5941,0.9719,0.5941,0.5845,0.5424,1.9121,0.6662,0.5941,9.7627
48,0.5929,0.9725,0.5929,0.5832,0.5414,1.9031,0.6685,0.5929,9.2863
49,0.5977,0.9734,0.5977,0.5877,0.5375,1.882,0.6721,0.5977,9.5001
50,0.6023,0.9737,0.6023,0.5926,0.5315,1.8631,0.6766,0.6023,9.0868
51,0.6018,0.9784,0.6018,0.5939,0.5295,1.5401,0.6809,0.6018,9.3761
52,0.6028,0.9786,0.6028,0.5948,0.5291,1.5378,0.6823,0.6028,9.2709
53,0.614,0.9795,0.614,0.608,0.5164,1.4993,0.6931,0.614,9.3084
54,0.6161,0.9798,0.6161,0.6099,0.514,1.4909,0.695,0.6161,9.4581
55,0.6192,0.9808,0.6192,0.6129,0.5096,1.4702,0.6987,0.6192,9.9211
56,0.6269,0.9814,0.6269,0.621,0.5008,1.4413,0.7046,0.6269,9.3156
57,0.6295,0.9823,0.6295,0.623,0.4998,1.4337,0.7061,0.6295,9.5779
58,0.6312,0.9817,0.6312,0.6266,0.498,1.4278,0.705,0.6312,9.3138
59,0.6332,0.9821,0.6332,0.6285,0.4953,1.4167,0.7075,0.6332,9.208
