step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0697,0.539,0.0697,0.0138,1.1099,32.558,0.0384,0.0697,0.0264
1,0.1093,0.5692,0.1093,0.0389,1.0387,30.1605,0.0677,0.1093,0.0245
2,0.1406,0.6018,0.1406,0.0702,1.0202,27.4556,0.1029,0.1406,0.0195
3,0.1818,0.6325,0.1818,0.1053,0.9743,25.0773,0.1442,0.1818,0.0197
4,0.2146,0.6567,0.2146,0.1331,0.9426,23.3615,0.1818,0.2146,0.0226
5,0.2299,0.6796,0.2299,0.1611,0.93,21.6858,0.21,0.2299,0.0203
6,0.2503,0.7077,0.2503,0.1871,0.9057,19.6701,0.2403,0.2503,0.0235
7,0.2688,0.7274,0.2688,0.2082,0.888,18.3135,0.2645,0.2688,0.0197
8,0.2996,0.748,0.2996,0.2371,0.8586,16.925,0.2987,0.2996,0.0204
9,0.2973,0.7508,0.2973,0.2354,0.8604,16.6009,0.3,0.2973,0.0248
10,0.3086,0.7652,0.3086,0.2435,0.8399,15.5853,0.3101,0.3086,0.0221
11,0.3287,0.788,0.3287,0.2681,0.8195,13.9198,0.3377,0.3287,0.0208
12,0.3482,0.8084,0.3482,0.288,0.799,12.5616,0.3606,0.3482,0.0201
13,0.3561,0.8182,0.3561,0.292,0.7873,11.888,0.3785,0.3561,0.0227
14,0.3733,0.836,0.3733,0.3101,0.7701,10.5565,0.4012,0.3733,0.0203
15,0.3894,0.8472,0.3894,0.3304,0.7586,9.8545,0.4239,0.3894,0.02
16,0.4051,0.8539,0.4051,0.3499,0.7405,9.4613,0.4389,0.4051,0.0218
17,0.4124,0.8602,0.4124,0.3615,0.7343,9.1037,0.4488,0.4124,0.0221
18,0.4235,0.8746,0.4235,0.3736,0.7224,8.1031,0.4668,0.4235,0.0202
19,0.4358,0.8849,0.4358,0.3892,0.7093,7.4139,0.4858,0.4358,0.0195
20,0.4507,0.901,0.4507,0.4106,0.6918,6.3883,0.5079,0.4507,0.0196
21,0.4603,0.9018,0.4603,0.4186,0.685,6.3605,0.5173,0.4603,0.0208
22,0.4699,0.916,0.4699,0.4295,0.6742,5.3703,0.5336,0.4699,0.0197
23,0.4741,0.9206,0.4741,0.4332,0.6692,5.0364,0.5376,0.4741,0.0233
24,0.4789,0.9297,0.4789,0.4414,0.6622,4.3712,0.5472,0.4789,0.0207
25,0.4918,0.9324,0.4918,0.4537,0.651,4.3126,0.5588,0.4918,0.0197
26,0.4939,0.9354,0.4939,0.456,0.6509,3.9906,0.561,0.4939,0.0203
27,0.4992,0.9398,0.4992,0.4631,0.644,3.6526,0.5703,0.4992,0.0213
28,0.5057,0.944,0.5057,0.4685,0.6383,3.3198,0.5752,0.5057,0.0206
29,0.5127,0.9444,0.5127,0.4764,0.6314,3.2956,0.5814,0.5127,0.021
30,0.5169,0.9447,0.5169,0.4808,0.6236,3.2781,0.5876,0.5169,0.0238
31,0.5218,0.949,0.5218,0.4893,0.615,3.2115,0.5966,0.5218,0.0206
32,0.5374,0.9554,0.5374,0.5089,0.598,2.8187,0.6143,0.5374,0.0224
33,0.5422,0.9633,0.5422,0.5171,0.5921,2.4521,0.6275,0.5422,0.023
34,0.5457,0.964,0.5457,0.5201,0.5872,2.4328,0.6314,0.5457,0.0195
35,0.5532,0.9642,0.5532,0.5284,0.5817,2.407,0.6339,0.5532,0.0211
36,0.5669,0.965,0.5669,0.544,0.567,2.3554,0.6409,0.5669,0.0237
37,0.5727,0.97,0.5727,0.551,0.5592,2.0107,0.6479,0.5727,0.0199
38,0.5774,0.9713,0.5774,0.5571,0.5552,1.986,0.6507,0.5774,0.0209
39,0.5854,0.972,0.5854,0.5682,0.5466,1.9483,0.6592,0.5854,0.023
40,0.5877,0.9728,0.5877,0.5711,0.5431,1.9291,0.6611,0.5877,0.0198
41,0.5898,0.9724,0.5898,0.5733,0.5414,1.9286,0.6632,0.5898,0.0223
42,0.5949,0.9734,0.5949,0.582,0.5354,1.8972,0.6695,0.5949,0.0238
43,0.6018,0.9744,0.6018,0.5905,0.5287,1.8685,0.6769,0.6018,0.02
44,0.6096,0.9795,0.6096,0.6022,0.5214,1.5175,0.6891,0.6096,0.02
45,0.6122,0.9798,0.6122,0.6053,0.5188,1.5095,0.6905,0.6122,0.0208
46,0.6115,0.9802,0.6115,0.6045,0.5191,1.5047,0.6914,0.6115,0.0198
47,0.6118,0.9806,0.6118,0.6053,0.5165,1.4921,0.6931,0.6118,0.02
48,0.6142,0.9807,0.6142,0.6077,0.5139,1.4819,0.6946,0.6142,0.0201
49,0.6173,0.9811,0.6173,0.6102,0.5099,1.4695,0.6966,0.6173,0.0216
50,0.619,0.9811,0.619,0.6115,0.5092,1.4672,0.6975,0.619,0.02
51,0.6194,0.9808,0.6194,0.6112,0.5092,1.4698,0.6966,0.6194,0.0208
52,0.6228,0.9812,0.6228,0.616,0.5042,1.4532,0.7012,0.6228,0.0195
53,0.6256,0.9817,0.6256,0.6192,0.5005,1.4368,0.7022,0.6256,0.0197
54,0.6263,0.982,0.6263,0.6205,0.4993,1.429,0.703,0.6263,0.0199
55,0.6298,0.9821,0.6298,0.626,0.4964,1.4153,0.7066,0.6298,0.0202
56,0.6301,0.9819,0.6301,0.6265,0.4966,1.4175,0.7054,0.6301,0.0199
57,0.6332,0.9826,0.6332,0.6296,0.4933,1.404,0.7084,0.6332,0.0205
58,0.6386,0.983,0.6386,0.6354,0.4867,1.3845,0.7126,0.6386,0.0199
59,0.6403,0.9828,0.6403,0.6365,0.4847,1.3803,0.7128,0.6403,0.021
