step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.01,0.5,0.01,0.0002,1.98,35.6832,0.01,0.01,11.9601
1,0.0144,0.5072,0.0144,0.0023,1.7849,35.3346,0.0122,0.0144,11.7926
2,0.0229,0.5111,0.0229,0.0047,1.5532,34.9806,0.0196,0.0229,11.9619
3,0.0308,0.5163,0.0308,0.0078,1.4343,34.6268,0.0278,0.0308,11.5735
4,0.04,0.5209,0.04,0.0102,1.356,34.2732,0.0356,0.04,11.9223
5,0.0497,0.5262,0.0497,0.0121,1.2893,33.9167,0.0443,0.0497,12.1687
6,0.0579,0.5307,0.0579,0.0148,1.2374,33.5637,0.0528,0.0579,13.4508
7,0.0611,0.5343,0.0611,0.017,1.2061,33.2214,0.055,0.0611,12.2414
8,0.0691,0.5389,0.0691,0.0209,1.1731,32.8683,0.0632,0.0691,12.8987
9,0.0771,0.5437,0.0771,0.0238,1.1532,32.5179,0.0656,0.0771,12.2667
10,0.0803,0.5444,0.0803,0.024,1.1369,32.5061,0.0669,0.0803,13.5084
11,0.0901,0.5497,0.0901,0.0276,1.1169,32.149,0.0764,0.0901,13.3591
12,0.0997,0.5549,0.0997,0.0314,1.0952,31.7959,0.0846,0.0997,13.7852
13,0.106,0.5596,0.106,0.0351,1.0783,31.4494,0.0892,0.106,13.9024
14,0.1134,0.5644,0.1134,0.0398,1.0646,31.1008,0.0945,0.1134,13.968
15,0.123,0.5694,0.123,0.0443,1.0506,30.747,0.103,0.123,14.4896
16,0.1323,0.5745,0.1323,0.051,1.0362,30.3929,0.112,0.1323,13.5568
17,0.1336,0.5761,0.1336,0.0531,1.0288,30.0659,0.1133,0.1336,13.1092
18,0.1388,0.5804,0.1388,0.0573,1.0195,29.7218,0.1174,0.1388,13.5514
19,0.1393,0.5841,0.1393,0.0585,1.0124,29.3894,0.1184,0.1393,14.2473
20,0.1439,0.5884,0.1439,0.063,1.0025,29.0483,0.124,0.1439,14.4609
21,0.1447,0.5907,0.1447,0.0647,0.9983,28.7234,0.1251,0.1447,13.9637
22,0.1526,0.5953,0.1526,0.0699,0.9913,28.3784,0.1288,0.1526,14.7969
23,0.1529,0.5954,0.1529,0.0698,0.99,28.3779,0.129,0.1529,12.1583
24,0.1625,0.6009,0.1625,0.0752,0.9813,28.0262,0.1371,0.1625,12.793
25,0.1693,0.6058,0.1693,0.0803,0.9733,27.6798,0.1427,0.1693,13.2331
26,0.1711,0.6089,0.1711,0.0828,0.9664,27.3494,0.1444,0.1711,11.9149
27,0.1802,0.6147,0.1802,0.0904,0.9583,26.9995,0.1531,0.1802,14.714
28,0.1889,0.6196,0.1889,0.0967,0.9499,26.6496,0.1616,0.1889,14.5834
29,0.1902,0.6227,0.1902,0.1003,0.9471,26.3164,0.1645,0.1902,13.3218
30,0.1983,0.6279,0.1983,0.1063,0.9401,25.9718,0.1698,0.1983,13.51
31,0.2007,0.6318,0.2007,0.1103,0.936,25.6406,0.1717,0.2007,13.3127
32,0.2062,0.6369,0.2062,0.115,0.9304,25.2962,0.1767,0.2062,11.7034
33,0.2072,0.6371,0.2072,0.1143,0.9286,25.2955,0.1772,0.2072,11.5026
34,0.2143,0.6421,0.2143,0.1202,0.9212,24.9516,0.1837,0.2143,13.9512
