step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0785,0.5436,0.0785,0.0224,1.1279,32.5163,0.0622,0.0785,0.072
1,0.0744,0.5444,0.0744,0.0322,1.176,32.5272,0.063,0.0744,10.2865
2,0.0746,0.5448,0.0746,0.0272,1.1631,32.5303,0.0645,0.0746,10.4044
3,0.0828,0.5502,0.0828,0.0322,1.1242,32.1736,0.0767,0.0828,10.2091
4,0.0833,0.5503,0.0833,0.0389,1.119,32.1657,0.0789,0.0833,10.342
5,0.086,0.5509,0.086,0.0318,1.1015,32.1606,0.0807,0.086,10.8634
6,0.1228,0.578,0.1228,0.0566,1.0476,30.0949,0.1191,0.1228,10.7127
7,0.1226,0.583,0.1226,0.0668,1.0819,29.7645,0.1232,0.1226,10.788
8,0.1295,0.5834,0.1295,0.0675,1.0611,29.7457,0.1266,0.1295,10.6334
9,0.1451,0.6098,0.1451,0.0837,1.0264,27.7422,0.1443,0.1451,10.672
10,0.1522,0.6102,0.1522,0.0849,1.016,27.7222,0.1474,0.1522,10.5626
11,0.1882,0.6549,0.1882,0.1276,0.9657,24.3682,0.1942,0.1882,10.562
12,0.1947,0.6554,0.1947,0.1284,0.9565,24.3455,0.1975,0.1947,10.6883
13,0.2152,0.67,0.2152,0.146,0.9326,23.3154,0.2153,0.2152,10.4564
14,0.2245,0.6801,0.2245,0.1513,0.9193,22.6451,0.2291,0.2245,10.3042
15,0.239,0.6966,0.239,0.1697,0.9024,21.3159,0.2491,0.239,10.4866
16,0.2651,0.7164,0.2651,0.1992,0.8797,19.9445,0.2794,0.2651,10.3604
17,0.27,0.7164,0.27,0.1991,0.8765,19.9335,0.2805,0.27,10.5922
18,0.2989,0.7498,0.2989,0.2369,0.8507,17.5924,0.3261,0.2989,11.7107
19,0.3064,0.7502,0.3064,0.2398,0.8431,17.5723,0.3271,0.3064,11.6004
20,0.3176,0.7658,0.3176,0.2541,0.8331,16.272,0.3349,0.3176,11.1074
21,0.3239,0.7797,0.3239,0.2621,0.827,15.2959,0.3484,0.3239,10.8038
22,0.3425,0.7892,0.3425,0.2824,0.8137,14.6136,0.3685,0.3425,11.8113
23,0.3527,0.7943,0.3527,0.2909,0.8063,14.2711,0.3746,0.3527,12.8681
24,0.3691,0.8148,0.3691,0.3134,0.7945,12.9334,0.4002,0.3691,12.9498
25,0.3757,0.8247,0.3757,0.3236,0.7885,12.2695,0.4149,0.3757,13.3118
26,0.3874,0.8422,0.3874,0.3407,0.7812,10.9725,0.4345,0.3874,13.646
27,0.3916,0.8466,0.3916,0.345,0.7774,10.6465,0.4371,0.3916,14.0027
28,0.3954,0.8538,0.3954,0.3572,0.7741,10.2974,0.4471,0.3954,12.9322
29,0.407,0.8686,0.407,0.3734,0.7661,9.3011,0.4651,0.407,13.7371
30,0.4148,0.8864,0.4148,0.3852,0.7612,8.0191,0.4815,0.4148,13.0106
31,0.4263,0.8955,0.4263,0.3994,0.7552,7.3471,0.4961,0.4263,13.0798
32,0.4329,0.9055,0.4329,0.4086,0.7531,6.4019,0.5064,0.4329,12.638
33,0.4296,0.9055,0.4296,0.4064,0.7546,6.398,0.5076,0.4296,13.6176
34,0.4438,0.9134,0.4438,0.4235,0.7474,6.0337,0.5198,0.4438,13.8578
35,0.4503,0.9182,0.4503,0.4301,0.7468,5.7293,0.5233,0.4503,12.7209
36,0.4528,0.9185,0.4528,0.432,0.7463,5.7158,0.526,0.4528,13.0828
37,0.4594,0.9238,0.4594,0.4389,0.7448,5.3876,0.5354,0.4594,12.9605
38,0.4632,0.9324,0.4632,0.445,0.7443,4.7571,0.5456,0.4632,12.8018
39,0.4668,0.9369,0.4668,0.4506,0.7442,4.439,0.5518,0.4668,14.1709
40,0.4743,0.9465,0.4743,0.4605,0.7399,3.7784,0.5658,0.4743,13.2773
41,0.4825,0.9476,0.4825,0.4704,0.7377,3.7605,0.5736,0.4825,12.8837
42,0.4888,0.9483,0.4888,0.4783,0.7364,3.7463,0.5784,0.4888,13.06
43,0.4927,0.9488,0.4927,0.4832,0.7367,3.7432,0.5814,0.4927,14.2332
44,0.497,0.9493,0.497,0.4888,0.7368,3.7438,0.584,0.497,12.8281
45,0.4982,0.9496,0.4982,0.489,0.7377,3.7485,0.5851,0.4982,14.0537
46,0.4976,0.9498,0.4976,0.4879,0.7398,3.7507,0.5831,0.4976,11.8397
47,0.4901,0.9499,0.4901,0.483,0.743,3.7715,0.5833,0.4901,13.4579
48,0.495,0.9503,0.495,0.4871,0.7432,3.7714,0.5863,0.495,13.061
