step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.01,0.5,0.01,0.0002,1.98,35.6832,0.01,0.01,16.5225
1,0.0144,0.5077,0.0144,0.0058,1.9259,35.3361,0.0166,0.0144,1.5094
2,0.0205,0.5126,0.0205,0.0111,1.867,34.985,0.0216,0.0205,1.6981
3,0.0253,0.5153,0.0253,0.0148,1.8048,34.6416,0.0247,0.0253,1.5709
4,0.0346,0.5206,0.0346,0.0225,1.7454,34.2843,0.0342,0.0346,1.2734
5,0.0431,0.5256,0.0431,0.0306,1.7019,33.9292,0.0429,0.0431,1.4981
6,0.0441,0.529,0.0441,0.0325,1.6789,33.5985,0.046,0.0441,1.245
7,0.0484,0.5334,0.0484,0.035,1.6332,33.2542,0.0483,0.0484,1.8853
8,0.0563,0.5385,0.0563,0.0427,1.5924,32.8998,0.0574,0.0563,1.4146
9,0.0617,0.5433,0.0617,0.0485,1.5625,32.5536,0.0626,0.0617,1.4126
10,0.0689,0.5482,0.0689,0.0557,1.5226,32.2031,0.0706,0.0689,1.5408
11,0.0751,0.5527,0.0751,0.0628,1.4931,31.8549,0.0782,0.0751,1.5472
12,0.0813,0.5567,0.0813,0.0674,1.4651,31.5092,0.0827,0.0813,1.6624
13,0.0813,0.5568,0.0813,0.0662,1.4478,31.5095,0.0827,0.0813,1.5397
14,0.0815,0.559,0.0815,0.0668,1.436,31.189,0.0835,0.0815,1.5997
15,0.0852,0.5635,0.0852,0.0713,1.416,30.8499,0.0876,0.0852,1.3203
16,0.0891,0.5677,0.0891,0.0768,1.3932,30.5086,0.0939,0.0891,1.7694
17,0.096,0.5727,0.096,0.0832,1.3724,30.1609,0.1011,0.096,1.8105
18,0.0984,0.5735,0.0984,0.0864,1.3616,30.148,0.1032,0.0984,1.228
19,0.1052,0.5784,0.1052,0.0924,1.3391,29.7994,0.11,0.1052,1.3862
20,0.1103,0.5829,0.1103,0.0971,1.3211,29.4565,0.1141,0.1103,1.6455
