step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0785,0.5436,0.0785,0.0224,1.1279,32.5163,0.0622,0.0785,10.9762
1,0.137,0.583,0.137,0.0545,1.0364,29.7265,0.1025,0.137,11.0007
2,0.1876,0.6221,0.1876,0.0974,0.9602,26.9631,0.1515,0.1876,10.6503
3,0.2167,0.6527,0.2167,0.1305,0.9251,24.6034,0.1822,0.2167,10.6754
4,0.2556,0.684,0.2556,0.1753,0.8853,22.239,0.2273,0.2556,10.9959
5,0.2728,0.7092,0.2728,0.1976,0.8664,20.2682,0.2484,0.2728,10.7038
6,0.2917,0.7283,0.2917,0.2169,0.8482,18.9234,0.2694,0.2917,10.7299
7,0.3168,0.7596,0.3168,0.2473,0.8318,16.6188,0.2959,0.3168,11.9813
8,0.3402,0.7912,0.3402,0.2803,0.815,14.32,0.3287,0.3402,11.7282
9,0.3656,0.8141,0.3656,0.3165,0.7967,12.9522,0.3679,0.3656,10.5139
10,0.3919,0.8336,0.3919,0.3503,0.7845,11.6131,0.3937,0.3919,11.2731
11,0.3986,0.8513,0.3986,0.3639,0.7828,10.0311,0.4093,0.3986,10.672
12,0.4082,0.8568,0.4082,0.3718,0.7773,9.6864,0.42,0.4082,11.4624
13,0.4149,0.868,0.4149,0.3885,0.7751,8.7171,0.4338,0.4149,10.8766
14,0.4217,0.8753,0.4217,0.4018,0.7717,8.3684,0.4469,0.4217,10.677
15,0.4292,0.8809,0.4292,0.4096,0.7698,8.0345,0.4566,0.4292,12.2275
16,0.4337,0.8854,0.4337,0.4129,0.7697,7.7188,0.4584,0.4337,10.993
17,0.4388,0.8987,0.4388,0.4197,0.7703,6.7685,0.468,0.4388,10.719
18,0.436,0.9019,0.436,0.4118,0.7729,6.4688,0.4639,0.436,11.6842
19,0.4508,0.9124,0.4508,0.4311,0.7685,5.7973,0.4808,0.4508,10.8979
20,0.4593,0.9139,0.4593,0.4378,0.7683,5.7886,0.4898,0.4593,10.8441
21,0.4594,0.9242,0.4594,0.4457,0.7684,5.1419,0.4996,0.4594,10.6469
22,0.4657,0.9265,0.4657,0.4525,0.7688,5.1303,0.5046,0.4657,11.1408
23,0.4732,0.9292,0.4732,0.4612,0.7698,5.1163,0.5086,0.4732,11.5852
24,0.4759,0.9323,0.4759,0.463,0.7707,4.821,0.5104,0.4759,11.9396
25,0.4793,0.9372,0.4793,0.4763,0.773,4.4904,0.5191,0.4793,10.8791
26,0.4894,0.9427,0.4894,0.4864,0.7713,4.1594,0.5275,0.4894,11.0329
27,0.4956,0.9528,0.4956,0.4955,0.7708,3.5019,0.534,0.4956,10.7877
28,0.4987,0.9563,0.4987,0.4985,0.772,3.1941,0.5359,0.4987,10.9131
29,0.5042,0.957,0.5042,0.5036,0.7727,3.191,0.539,0.5042,11.3312
30,0.5078,0.962,0.5078,0.5107,0.7727,2.8641,0.5468,0.5078,10.965
31,0.5074,0.9623,0.5074,0.5102,0.7748,2.8756,0.5476,0.5074,10.9453
32,0.5133,0.9673,0.5133,0.5178,0.7753,2.5537,0.5563,0.5133,10.8174
33,0.5159,0.9675,0.5159,0.5201,0.7766,2.5575,0.5582,0.5159,10.8127
34,0.5161,0.9688,0.5161,0.5197,0.7793,2.5702,0.5588,0.5161,11.7347
35,0.5193,0.9694,0.5193,0.5214,0.7804,2.5726,0.5603,0.5193,11.3087
36,0.5237,0.9698,0.5237,0.5258,0.7805,2.5711,0.5645,0.5237,11.0526
37,0.5255,0.9699,0.5255,0.5264,0.7826,2.5792,0.566,0.5255,11.6063
38,0.5279,0.9713,0.5279,0.5278,0.7846,2.5802,0.5678,0.5279,11.7637
39,0.5235,0.9715,0.5235,0.527,0.7884,2.5977,0.5692,0.5235,12.2813
40,0.5241,0.9721,0.5241,0.5269,0.7889,2.5961,0.5704,0.5241,12.0093
41,0.5257,0.9723,0.5257,0.528,0.7899,2.6006,0.5705,0.5257,11.2273
