step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.033,0.5223,0.033,0.0127,1.0982,32.9747,0.0217,0.033,18.4829
1,0.0647,0.5559,0.0647,0.0373,1.0317,29.6717,0.0513,0.0647,7.4118
2,0.0779,0.5844,0.0779,0.0555,1.0131,27.0991,0.0657,0.0779,8.484
3,0.0989,0.602,0.0989,0.0647,0.9998,24.4248,0.0683,0.0989,8.2113
4,0.1002,0.6201,0.1002,0.0712,0.9934,22.6776,0.081,0.1002,8.3912
5,0.0907,0.6408,0.0907,0.0755,0.989,20.6181,0.087,0.0907,8.0739
6,0.1078,0.6521,0.1078,0.0847,0.9844,19.4378,0.096,0.1078,8.0612
7,0.109,0.6654,0.109,0.0862,0.9826,18.6343,0.1022,0.109,9.3652
8,0.1324,0.6861,0.1324,0.1087,0.9757,16.7799,0.1149,0.1324,10.605
9,0.139,0.6944,0.139,0.1104,0.9728,16.7301,0.132,0.139,8.9658
10,0.1356,0.706,0.1356,0.1105,0.9722,15.7281,0.1307,0.1356,9.4675
11,0.1559,0.7171,0.1559,0.1291,0.9684,15.1084,0.145,0.1559,8.9421
12,0.1491,0.7277,0.1491,0.1217,0.9671,14.4065,0.1504,0.1491,8.4706
13,0.1518,0.7409,0.1518,0.1313,0.9655,12.9683,0.1515,0.1518,9.8354
14,0.1624,0.744,0.1624,0.1411,0.9644,12.8271,0.1578,0.1624,10.1723
15,0.1748,0.756,0.1748,0.1476,0.96,12.3751,0.1663,0.1748,9.1157
16,0.1802,0.7577,0.1802,0.1601,0.9595,12.4453,0.1804,0.1802,9.3978
17,0.1885,0.7637,0.1885,0.1629,0.9578,11.8058,0.1801,0.1885,9.6162
18,0.1904,0.7678,0.1904,0.1624,0.9563,11.5553,0.1919,0.1904,10.1005
19,0.1892,0.7667,0.1892,0.1697,0.9569,11.5695,0.1882,0.1892,10.7533
20,0.1895,0.7799,0.1895,0.1632,0.9537,10.6949,0.1953,0.1895,9.2302
21,0.1992,0.7872,0.1992,0.1804,0.9518,10.2034,0.212,0.1992,9.4454
22,0.2046,0.7884,0.2046,0.1793,0.9509,10.1386,0.2072,0.2046,8.8727
23,0.2065,0.7924,0.2065,0.1818,0.9495,9.8277,0.2148,0.2065,9.4235
24,0.2173,0.8024,0.2173,0.1929,0.9477,9.5637,0.2248,0.2173,10.1308
25,0.2181,0.8042,0.2181,0.1982,0.9475,9.3938,0.2245,0.2181,9.2397
26,0.2092,0.8054,0.2092,0.1896,0.949,9.2266,0.2228,0.2092,10.9848
27,0.2179,0.8072,0.2179,0.1987,0.9476,9.2098,0.2289,0.2179,10.3733
28,0.2222,0.8043,0.2222,0.2026,0.9461,9.3709,0.2314,0.2222,9.3215
29,0.2199,0.8089,0.2199,0.1982,0.9462,9.2341,0.2385,0.2199,9.5433
30,0.2152,0.8131,0.2152,0.2004,0.9451,8.9287,0.2362,0.2152,10.988
31,0.2194,0.8093,0.2194,0.1957,0.9462,9.2265,0.2366,0.2194,10.4745
32,0.2301,0.8157,0.2301,0.2105,0.9442,8.7772,0.2455,0.2301,10.8026
33,0.232,0.8184,0.232,0.2063,0.9431,8.9072,0.2445,0.232,10.5013
34,0.2318,0.8136,0.2318,0.2047,0.9447,9.0513,0.2462,0.2318,9.6624
35,0.2288,0.8181,0.2288,0.2126,0.9436,8.7079,0.2444,0.2288,11.0799
36,0.2197,0.8201,0.2197,0.2051,0.9444,8.7743,0.2502,0.2197,11.6427
37,0.2395,0.8199,0.2395,0.2138,0.942,8.9397,0.2576,0.2395,10.1669
38,0.2397,0.8229,0.2397,0.2195,0.9422,8.6578,0.2636,0.2397,10.3866
39,0.2251,0.8238,0.2251,0.2094,0.9434,8.5312,0.2568,0.2251,10.3577
40,0.2474,0.8274,0.2474,0.2277,0.9394,8.5607,0.2731,0.2474,11.2205
41,0.2451,0.8305,0.2451,0.2203,0.9384,8.1709,0.2744,0.2451,10.99
42,0.2391,0.8299,0.2391,0.2195,0.9408,8.2222,0.2719,0.2391,10.8309
43,0.246,0.8296,0.246,0.2243,0.9402,8.1529,0.2733,0.246,9.5221
44,0.244,0.8315,0.244,0.2202,0.9396,8.148,0.2694,0.244,10.6274
45,0.2474,0.8333,0.2474,0.2303,0.9385,7.9619,0.2763,0.2474,11.4826
46,0.2483,0.8338,0.2483,0.225,0.9388,8.0714,0.2749,0.2483,10.7007
47,0.2442,0.835,0.2442,0.2244,0.9394,7.7675,0.2689,0.2442,9.9057
48,0.2479,0.8378,0.2479,0.2236,0.9393,7.8273,0.2713,0.2479,10.2428
49,0.2557,0.8417,0.2557,0.2342,0.9368,7.5776,0.2808,0.2557,11.3532
50,0.2656,0.8451,0.2656,0.2422,0.9354,7.3183,0.2878,0.2656,11.4281
51,0.2577,0.8431,0.2577,0.2326,0.9364,7.4156,0.2762,0.2577,10.0786
52,0.2696,0.8446,0.2696,0.2484,0.9349,7.3108,0.2911,0.2696,9.5035
53,0.2575,0.8436,0.2575,0.2363,0.9358,7.3674,0.2854,0.2575,11.1289
54,0.2577,0.8428,0.2577,0.2386,0.9365,7.4399,0.2775,0.2577,12.1089
