step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0744,0.6036,0.0744,0.0426,1.0025,24.2719,0.0629,0.0744,0.0661
1,0.1288,0.6701,0.1288,0.077,0.9774,19.3319,0.107,0.1288,0.4459
2,0.1842,0.7399,0.1842,0.1364,0.9562,13.903,0.1624,0.1842,0.6853
3,0.1969,0.7678,0.1969,0.1633,0.9501,11.9965,0.1884,0.1969,1.0925
4,0.2204,0.7872,0.2204,0.188,0.9423,10.2606,0.2098,0.2204,1.4446
5,0.2383,0.8062,0.2383,0.2076,0.9372,9.2713,0.2277,0.2383,1.9666
6,0.2584,0.8241,0.2584,0.2377,0.9324,8.2849,0.2533,0.2584,2.4125
7,0.2648,0.8349,0.2648,0.2375,0.9277,7.6683,0.2597,0.2648,2.929
8,0.2933,0.8435,0.2933,0.2721,0.9234,7.3077,0.2899,0.2933,3.3619
9,0.3206,0.8596,0.3206,0.302,0.9169,6.5887,0.3155,0.3206,3.6823
10,0.3315,0.8718,0.3315,0.3167,0.914,5.9292,0.3304,0.3315,4.0181
11,0.3533,0.8827,0.3533,0.3386,0.9099,5.3617,0.3469,0.3533,4.6001
12,0.3574,0.8911,0.3574,0.3475,0.9065,5.0407,0.3638,0.3574,5.0432
13,0.3857,0.8938,0.3857,0.3731,0.9048,4.947,0.382,0.3857,5.3559
14,0.4094,0.9007,0.4094,0.3995,0.9008,4.6866,0.398,0.4094,5.8538
15,0.4127,0.9019,0.4127,0.4024,0.8993,4.7101,0.403,0.4127,5.8368
16,0.4278,0.9044,0.4278,0.4217,0.8989,4.633,0.4174,0.4278,6.3241
17,0.4443,0.91,0.4443,0.4389,0.8964,4.4444,0.4299,0.4443,6.5797
18,0.4489,0.9129,0.4489,0.4415,0.8951,4.3648,0.4374,0.4489,7.154
19,0.461,0.915,0.461,0.4566,0.8948,4.2983,0.4415,0.461,7.1421
20,0.4711,0.9179,0.4711,0.463,0.8922,4.1926,0.4498,0.4711,7.5038
21,0.4831,0.9198,0.4831,0.4758,0.8898,4.1631,0.4626,0.4831,7.875
22,0.4799,0.9194,0.4799,0.4728,0.8893,4.209,0.4643,0.4799,7.9245
23,0.4884,0.9245,0.4884,0.4796,0.8881,4.0081,0.4704,0.4884,8.3781
24,0.5001,0.9256,0.5001,0.494,0.8874,3.9801,0.4804,0.5001,8.7215
25,0.5014,0.9265,0.5014,0.4936,0.8848,4.0006,0.4816,0.5014,8.8757
26,0.5129,0.9268,0.5129,0.5067,0.883,3.9947,0.4943,0.5129,9.4431
27,0.5097,0.9272,0.5097,0.5036,0.884,3.9506,0.4905,0.5097,9.695
28,0.5132,0.9293,0.5132,0.5074,0.8822,3.911,0.4996,0.5132,9.9945
29,0.52,0.9304,0.52,0.5142,0.8834,3.8669,0.5,0.52,10.2673
30,0.5267,0.9319,0.5267,0.5215,0.8812,3.8465,0.5085,0.5267,10.4303
31,0.5323,0.9338,0.5323,0.5269,0.8796,3.7945,0.5162,0.5323,10.8138
32,0.5319,0.9331,0.5319,0.5274,0.8805,3.8138,0.5119,0.5319,11.2387
33,0.5361,0.9359,0.5361,0.5321,0.879,3.7585,0.5203,0.5361,11.7267
34,0.5431,0.9361,0.5431,0.5392,0.8765,3.6803,0.5246,0.5431,11.907
35,0.543,0.9351,0.543,0.5384,0.8782,3.7724,0.526,0.543,12.403
36,0.5436,0.9381,0.5436,0.543,0.8767,3.6401,0.5282,0.5436,12.5535
37,0.5518,0.937,0.5518,0.5479,0.8755,3.698,0.5346,0.5518,13.1489
38,0.5499,0.936,0.5499,0.5456,0.8738,3.749,0.5345,0.5499,13.3646
39,0.5499,0.9375,0.5499,0.5433,0.8737,3.6963,0.5345,0.5499,13.4047
40,0.5463,0.9376,0.5463,0.5399,0.8736,3.696,0.5338,0.5463,13.843
41,0.5595,0.9381,0.5595,0.5559,0.8727,3.7251,0.5435,0.5595,13.9592
42,0.5587,0.941,0.5587,0.5531,0.8717,3.6216,0.5458,0.5587,13.9852
43,0.5591,0.9393,0.5591,0.5543,0.8702,3.6771,0.5422,0.5591,14.3448
44,0.5567,0.9397,0.5567,0.551,0.871,3.595,0.5419,0.5567,14.941
45,0.5634,0.9412,0.5634,0.5591,0.871,3.5815,0.5482,0.5634,15.063
46,0.5627,0.9415,0.5627,0.5583,0.8702,3.6054,0.5492,0.5627,15.3715
47,0.5577,0.9399,0.5577,0.5534,0.8716,3.6706,0.5416,0.5577,15.6298
48,0.5713,0.9416,0.5713,0.565,0.8681,3.6094,0.5555,0.5713,15.8859
49,0.5712,0.9429,0.5712,0.5658,0.868,3.5527,0.561,0.5712,16.3151
50,0.5687,0.9438,0.5687,0.5625,0.8672,3.4628,0.5551,0.5687,16.793
51,0.5666,0.9428,0.5666,0.5626,0.868,3.5805,0.5553,0.5666,17.2036
52,0.5669,0.9423,0.5669,0.564,0.8693,3.5748,0.5581,0.5669,17.4736
53,0.5734,0.9433,0.5734,0.5693,0.8666,3.5338,0.5607,0.5734,17.8503
54,0.5736,0.9446,0.5736,0.5695,0.8658,3.5469,0.559,0.5736,17.8631
55,0.5803,0.9476,0.5803,0.5777,0.8652,3.391,0.5729,0.5803,18.146
56,0.5769,0.9465,0.5769,0.5715,0.8656,3.4336,0.5644,0.5769,19.4761
57,0.5771,0.9439,0.5771,0.572,0.866,3.5735,0.5668,0.5771,19.5664
58,0.5875,0.9461,0.5875,0.5838,0.8641,3.4987,0.5743,0.5875,20.0335
59,0.5858,0.9463,0.5858,0.5833,0.863,3.482,0.5759,0.5858,20.6878
