step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0307,0.5303,0.0307,0.0172,1.1021,32.9664,0.029,0.0307,0.0475
1,0.062,0.559,0.062,0.0359,1.0395,30.31,0.0499,0.062,0.2062
2,0.0817,0.5855,0.0817,0.0523,1.0138,27.1046,0.0569,0.0817,0.2536
3,0.0903,0.613,0.0903,0.066,1.0031,25.1974,0.0786,0.0903,0.3384
4,0.1154,0.6262,0.1154,0.079,0.9926,23.3944,0.091,0.1154,0.4101
5,0.1209,0.6471,0.1209,0.0805,0.9848,21.7459,0.1142,0.1209,0.4475
6,0.1316,0.6691,0.1316,0.0916,0.979,19.9621,0.1157,0.1316,0.5332
7,0.1383,0.6842,0.1383,0.0964,0.9747,18.328,0.1233,0.1383,0.5993
8,0.1427,0.6937,0.1427,0.1042,0.9711,16.8601,0.1268,0.1427,0.6811
9,0.1594,0.7077,0.1594,0.1222,0.9676,15.9014,0.1433,0.1594,0.7798
10,0.1668,0.7199,0.1668,0.1272,0.9644,15.3029,0.1476,0.1668,0.8619
11,0.1688,0.7335,0.1688,0.1298,0.9635,13.8221,0.1496,0.1688,0.9745
12,0.1893,0.7362,0.1893,0.1438,0.9584,13.9094,0.1668,0.1893,1.1499
13,0.1957,0.7548,0.1957,0.1499,0.9538,12.7012,0.1821,0.1957,1.2843
14,0.2036,0.7572,0.2036,0.1669,0.9531,12.4881,0.1821,0.2036,1.3703
15,0.2032,0.765,0.2032,0.1681,0.9522,11.665,0.182,0.2032,1.4517
16,0.2052,0.7704,0.2052,0.1736,0.951,11.2227,0.183,0.2052,1.6235
17,0.2128,0.7749,0.2128,0.1783,0.9488,10.8011,0.1866,0.2128,1.6186
18,0.2149,0.7825,0.2149,0.1799,0.9466,10.4091,0.1956,0.2149,1.8257
19,0.2336,0.7937,0.2336,0.2016,0.9437,9.6786,0.2109,0.2336,1.923
20,0.2482,0.7997,0.2482,0.2152,0.9407,9.4224,0.2231,0.2482,1.8472
21,0.2377,0.7982,0.2377,0.2027,0.9409,9.4547,0.2154,0.2377,1.9068
22,0.2474,0.8098,0.2474,0.2145,0.9388,8.793,0.2302,0.2474,1.9714
23,0.2544,0.8166,0.2544,0.2265,0.9388,8.468,0.2271,0.2544,2.3535
24,0.2473,0.8243,0.2473,0.2267,0.9371,8.2047,0.2348,0.2473,2.4378
25,0.2731,0.8246,0.2731,0.242,0.9329,8.2515,0.2473,0.2731,2.539
26,0.2684,0.8303,0.2684,0.243,0.9333,7.7636,0.2457,0.2684,2.6248
27,0.2763,0.8333,0.2763,0.2552,0.9336,7.5026,0.2492,0.2763,2.774
28,0.2632,0.8318,0.2632,0.239,0.9335,7.5627,0.2372,0.2632,2.9386
29,0.2808,0.8362,0.2808,0.2588,0.9307,7.2661,0.2571,0.2808,2.8983
30,0.2601,0.8356,0.2601,0.2398,0.9319,7.3657,0.2479,0.2601,2.8945
