step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,0.2231
1,0.1438,0.5632,0.1438,0.0679,1.3499,28.9391,0.1817,0.1438,0.2066
2,0.2131,0.6102,0.2131,0.1281,1.1329,25.4376,0.254,0.2131,0.2535
3,0.2708,0.6525,0.2708,0.2042,0.9993,21.9689,0.3235,0.2708,0.2586
4,0.2608,0.6555,0.2608,0.1963,1.0202,21.9632,0.3305,0.2608,0.2451
5,0.2749,0.6926,0.2749,0.228,0.9511,18.5567,0.3808,0.2749,0.2601
6,0.2886,0.6938,0.2886,0.2047,0.9218,18.5553,0.3821,0.2886,0.2632
7,0.3114,0.7306,0.3114,0.2465,0.8584,15.1551,0.4272,0.3114,0.2138
8,0.3187,0.733,0.3187,0.237,0.8483,15.1448,0.4575,0.3187,0.2678
9,0.4116,0.7954,0.4116,0.3368,0.7337,11.6109,0.5617,0.4116,0.2599
10,0.4609,0.8462,0.4609,0.4089,0.6724,8.1729,0.6437,0.4609,0.2537
11,0.5469,0.9015,0.5469,0.5095,0.59,4.678,0.7325,0.5469,0.2654
12,0.6175,0.9537,0.6175,0.6104,0.5355,1.2364,0.8228,0.6175,0.2611
13,0.6376,0.9581,0.6376,0.6234,0.5103,1.1843,0.8323,0.6376,0.2561
14,0.6376,0.9554,0.6376,0.6193,0.4978,1.1343,0.8181,0.6376,0.2302
15,0.6769,0.9616,0.6769,0.6612,0.4654,1.0585,0.8428,0.6769,0.2672
16,0.607,0.9603,0.607,0.5866,0.514,1.1639,0.8376,0.607,0.2476
17,0.643,0.9637,0.643,0.6287,0.4766,1.0688,0.8466,0.643,0.2706
18,0.6587,0.9656,0.6587,0.6413,0.4584,1.0334,0.8506,0.6587,0.2695
19,0.6632,0.965,0.6632,0.6368,0.4527,1.0289,0.8486,0.6632,0.2626
20,0.6788,0.9676,0.6788,0.6508,0.438,0.9987,0.8539,0.6788,0.2784
21,0.6342,0.9668,0.6342,0.6151,0.4775,1.0667,0.8535,0.6342,0.2395
22,0.6341,0.9666,0.6341,0.611,0.4772,1.0719,0.8531,0.6341,0.2798
23,0.6382,0.9685,0.6382,0.6073,0.4707,1.0679,0.8624,0.6382,0.2737
24,0.667,0.9712,0.667,0.631,0.4389,1.0097,0.8695,0.667,0.2823
25,0.6996,0.9764,0.6996,0.6826,0.4006,0.9002,0.8917,0.6996,0.2825
26,0.7405,0.978,0.7405,0.7429,0.3636,0.8001,0.896,0.7405,0.2814
27,0.7628,0.9802,0.7628,0.7679,0.3408,0.751,0.9039,0.7628,0.2923
28,0.7558,0.9814,0.7558,0.7571,0.3429,0.7506,0.9089,0.7558,0.2843
29,0.7432,0.9825,0.7432,0.749,0.3548,0.7667,0.9133,0.7432,0.3043
30,0.7434,0.9815,0.7434,0.7472,0.3548,0.7632,0.908,0.7434,0.2976
31,0.7527,0.9811,0.7527,0.7553,0.3442,0.7427,0.9066,0.7527,0.3055
32,0.7597,0.982,0.7597,0.7609,0.334,0.7242,0.9091,0.7597,0.3136
33,0.7934,0.9836,0.7934,0.7992,0.2973,0.6549,0.915,0.7934,0.286
34,0.7931,0.9828,0.7931,0.798,0.2969,0.6532,0.9138,0.7931,0.3023
35,0.7984,0.9832,0.7984,0.8024,0.2917,0.643,0.9153,0.7984,0.3401
36,0.8018,0.9838,0.8018,0.8049,0.2894,0.639,0.9173,0.8018,0.3444
37,0.7953,0.9843,0.7953,0.8012,0.2968,0.6495,0.9196,0.7953,0.3367
38,0.8146,0.986,0.8146,0.822,0.2737,0.597,0.9257,0.8146,0.3432
39,0.8182,0.9866,0.8182,0.825,0.2671,0.5827,0.9275,0.8182,0.3591
40,0.8153,0.9869,0.8153,0.8186,0.269,0.5876,0.9294,0.8153,0.3556
41,0.8194,0.988,0.8194,0.8204,0.2609,0.5716,0.9335,0.8194,0.3595
42,0.8168,0.9882,0.8168,0.8171,0.2625,0.5776,0.9347,0.8168,0.354
43,0.8279,0.9889,0.8279,0.8258,0.249,0.5534,0.9366,0.8279,0.344
44,0.8272,0.9887,0.8272,0.8238,0.2506,0.5618,0.9361,0.8272,0.3632
45,0.8391,0.9897,0.8391,0.8374,0.2367,0.5185,0.9384,0.8391,0.3589
46,0.8645,0.9907,0.8645,0.863,0.2087,0.4647,0.9427,0.8645,0.3561
47,0.8468,0.9893,0.8468,0.8485,0.2305,0.505,0.9359,0.8468,0.3458
48,0.8601,0.9901,0.8601,0.8625,0.2134,0.4657,0.9403,0.8601,0.3472
49,0.8622,0.9903,0.8622,0.8647,0.2105,0.4546,0.9417,0.8622,0.3652
50,0.8678,0.9906,0.8678,0.8689,0.2035,0.444,0.943,0.8678,0.3657
51,0.8726,0.9907,0.8726,0.874,0.196,0.4273,0.9434,0.8726,0.3689
52,0.8749,0.9906,0.8749,0.8762,0.194,0.4233,0.9433,0.8749,0.3504
53,0.8767,0.9908,0.8767,0.8779,0.1919,0.4172,0.9439,0.8767,0.361
54,0.8739,0.9902,0.8739,0.8753,0.1952,0.4238,0.9419,0.8739,0.3612
55,0.8728,0.9908,0.8728,0.875,0.1948,0.4219,0.9457,0.8728,0.3625
56,0.8701,0.9911,0.8701,0.8721,0.196,0.4208,0.9466,0.8701,0.3615
57,0.8681,0.9911,0.8681,0.8696,0.1975,0.4253,0.9462,0.8681,0.3028
58,0.8721,0.9915,0.8721,0.8727,0.1921,0.4162,0.9487,0.8721,0.2826
59,0.8786,0.9923,0.8786,0.8793,0.181,0.3903,0.9531,0.8786,0.2803
