step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,0.0388
1,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,0.0924
2,0.1076,0.5632,0.1076,0.0324,1.6167,29.0237,0.1852,0.1076,0.0473
3,0.1371,0.6082,0.1371,0.0768,1.3549,25.5323,0.2354,0.1371,0.0705
4,0.2257,0.6596,0.2257,0.1696,1.0989,21.989,0.3139,0.2257,0.0755
5,0.1756,0.6598,0.1756,0.1209,1.2776,22.0949,0.313,0.1756,0.0746
6,0.2411,0.6661,0.2411,0.1707,1.13,21.995,0.3393,0.2411,0.0777
7,0.2732,0.7129,0.2732,0.2141,1.0086,18.5536,0.4183,0.2732,0.0814
8,0.2817,0.7523,0.2817,0.2281,0.961,15.2093,0.4628,0.2817,0.0904
9,0.3351,0.7571,0.3351,0.2786,0.8788,15.0825,0.4812,0.3351,0.0843
10,0.3981,0.8079,0.3981,0.3502,0.7798,11.6048,0.552,0.3981,0.087
11,0.3483,0.8069,0.3483,0.3198,0.8403,11.6654,0.5485,0.3483,0.0792
12,0.3939,0.8078,0.3939,0.3673,0.7852,11.5843,0.5537,0.3939,0.0819
13,0.4136,0.8124,0.4136,0.3661,0.7638,11.5676,0.5739,0.4136,0.0963
14,0.4414,0.8571,0.4414,0.4025,0.7148,8.178,0.6261,0.4414,0.0701
15,0.4063,0.8541,0.4063,0.3758,0.7654,8.2385,0.6191,0.4063,0.0694
16,0.4348,0.9035,0.4348,0.417,0.7102,4.8312,0.7042,0.4348,0.0818
17,0.4668,0.912,0.4668,0.4322,0.6726,4.7782,0.7251,0.4668,0.0926
18,0.4943,0.9117,0.4943,0.4542,0.6414,4.7394,0.7249,0.4943,0.0837
19,0.4785,0.9112,0.4785,0.4428,0.6569,4.7605,0.7249,0.4785,0.086
20,0.4727,0.9111,0.4727,0.422,0.6591,4.7802,0.7228,0.4727,0.0857
21,0.4824,0.9482,0.4824,0.4329,0.6296,1.4584,0.7666,0.4824,0.0851
22,0.5237,0.9567,0.5237,0.4548,0.5869,1.3824,0.8009,0.5237,0.0989
23,0.5115,0.9543,0.5115,0.4428,0.6046,1.4184,0.7982,0.5115,0.1031
24,0.5616,0.9596,0.5616,0.5039,0.5516,1.2929,0.8109,0.5616,0.0964
25,0.5538,0.9576,0.5538,0.4979,0.563,1.3197,0.8082,0.5538,0.0719
26,0.6238,0.9649,0.6238,0.5886,0.5006,1.1493,0.8409,0.6238,0.0657
27,0.6829,0.9681,0.6829,0.6623,0.4486,1.0236,0.8508,0.6829,0.0672
28,0.6827,0.9692,0.6827,0.6604,0.4474,1.0204,0.855,0.6827,0.0817
29,0.6711,0.9689,0.6711,0.6483,0.4587,1.0404,0.8557,0.6711,0.0979
30,0.6673,0.9696,0.6673,0.6409,0.4615,1.051,0.8575,0.6673,0.0954
31,0.6574,0.9694,0.6574,0.6296,0.4691,1.0666,0.8574,0.6574,0.1024
32,0.6799,0.971,0.6799,0.6512,0.4428,1.0188,0.8664,0.6799,0.0924
