step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,23.2111
1,0.1708,0.5912,0.1708,0.087,1.3156,28.896,0.2423,0.1708,22.1517
2,0.2237,0.6281,0.2237,0.1315,1.0987,25.4122,0.2824,0.2237,22.3392
3,0.2238,0.6224,0.2238,0.1426,1.1739,25.4129,0.2657,0.2238,21.8561
4,0.1845,0.6252,0.1845,0.1247,1.3511,25.4697,0.2744,0.1845,22.2416
5,0.2134,0.6661,0.2134,0.1634,1.2002,22.0351,0.3381,0.2134,22.0965
6,0.2396,0.7083,0.2396,0.2006,1.0849,18.6149,0.4031,0.2396,20.9556
7,0.2759,0.753,0.2759,0.2532,0.9753,15.1749,0.4723,0.2759,21.1596
8,0.2247,0.7543,0.2247,0.1933,1.0789,15.2807,0.48,0.2247,21.4993
9,0.2441,0.7768,0.2441,0.2221,1.0113,11.9537,0.5242,0.2441,20.7252
10,0.2969,0.7819,0.2969,0.2749,0.923,11.862,0.5297,0.2969,20.4062
11,0.3555,0.7872,0.3555,0.3272,0.8488,11.7679,0.541,0.3555,19.3788
12,0.3888,0.8015,0.3888,0.3641,0.7947,11.6488,0.5649,0.3888,16.8697
13,0.439,0.8536,0.439,0.4332,0.722,8.1964,0.6558,0.439,17.8069
14,0.479,0.8563,0.479,0.4628,0.679,8.1326,0.6608,0.479,16.4963
15,0.5608,0.9093,0.5608,0.5539,0.5805,4.6341,0.7506,0.5608,16.7113
16,0.5666,0.9062,0.5666,0.5442,0.5762,4.6462,0.7481,0.5666,16.2387
17,0.5284,0.9072,0.5284,0.5132,0.6193,4.7053,0.7489,0.5284,16.6966
18,0.555,0.9104,0.555,0.529,0.5909,4.6649,0.7564,0.555,16.5468
19,0.5783,0.9189,0.5783,0.5446,0.5609,4.6053,0.7756,0.5783,17.0618
20,0.5571,0.9196,0.5571,0.5362,0.585,4.6281,0.7811,0.5571,16.5796
21,0.5942,0.924,0.5942,0.59,0.5462,4.509,0.7951,0.5942,15.6396
22,0.6152,0.9715,0.6152,0.6203,0.504,1.1358,0.8691,0.6152,16.8126
23,0.6199,0.9732,0.6199,0.6182,0.4984,1.1324,0.874,0.6199,16.2262
24,0.6482,0.9765,0.6482,0.6377,0.4644,1.0711,0.8867,0.6482,16.3996
25,0.6616,0.9787,0.6616,0.6392,0.4489,1.0538,0.8933,0.6616,16.3691
26,0.6524,0.9777,0.6524,0.632,0.4633,1.0772,0.8904,0.6524,15.8968
27,0.6591,0.9775,0.6591,0.6297,0.4525,1.0737,0.895,0.6591,16.3881
28,0.6702,0.9789,0.6702,0.6373,0.4341,1.0416,0.899,0.6702,16.3698
29,0.6914,0.9821,0.6914,0.6472,0.4048,0.9902,0.9125,0.6914,16.4058
30,0.6994,0.9834,0.6994,0.6511,0.3935,0.9692,0.9171,0.6994,15.9914
31,0.7539,0.986,0.7539,0.7247,0.3415,0.8166,0.927,0.7539,15.8842
32,0.7702,0.9867,0.7702,0.7464,0.3237,0.7597,0.9302,0.7702,16.3289
33,0.7642,0.985,0.7642,0.7404,0.3297,0.7753,0.9272,0.7642,16.3539
34,0.7953,0.9861,0.7953,0.7909,0.2979,0.678,0.9332,0.7953,16.2289
35,0.8142,0.987,0.8142,0.8115,0.2788,0.6335,0.9357,0.8142,16.0796
36,0.8167,0.9871,0.8167,0.8126,0.2753,0.6292,0.9363,0.8167,16.5425
37,0.8084,0.9871,0.8084,0.8045,0.2833,0.6429,0.9365,0.8084,16.0743
38,0.8126,0.9876,0.8126,0.807,0.2781,0.6351,0.9379,0.8126,15.9971
39,0.8113,0.9877,0.8113,0.805,0.2784,0.6349,0.9377,0.8113,15.9762
40,0.8266,0.9881,0.8266,0.8208,0.2646,0.606,0.9385,0.8266,17.0185
41,0.8214,0.9879,0.8214,0.8168,0.2692,0.6141,0.9383,0.8214,15.8475
