step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.8937,0.9928,0.8937,0.8935,0.1699,0.387,0.9577,0.8937,6.6835
1,0.9141,0.9957,0.9141,0.9147,0.1296,0.2773,0.9741,0.9141,9.4558
2,0.9232,0.9964,0.9232,0.9238,0.1144,0.2422,0.978,0.9232,14.9961
3,0.9296,0.9968,0.9296,0.93,0.1048,0.2222,0.9798,0.9296,17.2866
4,0.9317,0.997,0.9317,0.932,0.1025,0.2133,0.9805,0.9317,17.0464
5,0.9316,0.9971,0.9316,0.9317,0.1011,0.2107,0.9811,0.9316,21.9465
6,0.9336,0.9972,0.9336,0.9337,0.0998,0.2072,0.9819,0.9336,22.9416
7,0.9338,0.9972,0.9338,0.934,0.0978,0.2051,0.9821,0.9338,25.8603
8,0.9336,0.997,0.9336,0.9338,0.0996,0.2105,0.9807,0.9336,29.5717
9,0.9336,0.9969,0.9336,0.9338,0.1,0.2095,0.9804,0.9336,31.4102
10,0.9351,0.9971,0.9351,0.9353,0.098,0.2052,0.9812,0.9351,35.3764
11,0.9352,0.9971,0.9352,0.9353,0.0976,0.2045,0.9813,0.9352,34.1682
12,0.9382,0.9973,0.9382,0.9383,0.0946,0.1993,0.9822,0.9382,44.9081
13,0.9369,0.9972,0.9369,0.9371,0.0961,0.2041,0.9818,0.9369,39.9502
14,0.937,0.9972,0.937,0.9371,0.095,0.2013,0.982,0.937,44.0943
15,0.9352,0.9971,0.9352,0.9354,0.0972,0.2069,0.9816,0.9352,44.8219
16,0.9354,0.9971,0.9354,0.9356,0.0974,0.2087,0.9815,0.9354,48.1725
17,0.9351,0.9971,0.9351,0.9352,0.0988,0.2128,0.9813,0.9351,50.4296
18,0.9357,0.9971,0.9357,0.9358,0.0983,0.2126,0.9815,0.9357,53.9715
19,0.9352,0.9971,0.9352,0.9353,0.0987,0.2135,0.9814,0.9352,53.1417
20,0.9341,0.9971,0.9341,0.9342,0.0988,0.215,0.9813,0.9341,67.9952
21,0.9359,0.9971,0.9359,0.936,0.099,0.2175,0.9813,0.9359,66.5845
22,0.9374,0.9972,0.9374,0.9376,0.097,0.2122,0.9821,0.9374,66.1398
23,0.9363,0.9971,0.9363,0.9365,0.0977,0.2177,0.9818,0.9363,69.4092
24,0.9362,0.9971,0.9362,0.9364,0.0992,0.222,0.9815,0.9362,72.7092
25,0.9352,0.9971,0.9352,0.9353,0.0997,0.2236,0.9817,0.9352,81.6294
26,0.9359,0.9972,0.9359,0.9361,0.0989,0.2202,0.9818,0.9359,79.3201
27,0.9351,0.9971,0.9351,0.9352,0.0998,0.2238,0.9816,0.9351,84.6583
28,0.9358,0.9971,0.9358,0.9359,0.0988,0.2241,0.9817,0.9358,85.3948
29,0.9366,0.9971,0.9366,0.9367,0.0986,0.2245,0.9817,0.9366,81.2793
30,0.9372,0.9971,0.9372,0.9373,0.099,0.2286,0.9815,0.9372,75.8064
31,0.9367,0.9971,0.9367,0.9368,0.0984,0.229,0.9819,0.9367,71.6798
32,0.9359,0.9972,0.9359,0.936,0.0982,0.2285,0.982,0.9359,71.3734
33,0.9355,0.9971,0.9355,0.9356,0.0991,0.23,0.9817,0.9355,73.8602
34,0.9355,0.9972,0.9355,0.9356,0.0988,0.2286,0.9819,0.9355,72.2348
35,0.9372,0.9972,0.9372,0.9373,0.0976,0.2283,0.9822,0.9372,74.2942
36,0.9363,0.9972,0.9363,0.9364,0.0991,0.231,0.9819,0.9363,81.3001
37,0.9374,0.9972,0.9374,0.9375,0.098,0.231,0.9821,0.9374,84.056
38,0.9381,0.9973,0.9381,0.9382,0.0976,0.2276,0.9826,0.9381,117.0773
39,0.9393,0.9974,0.9393,0.9394,0.0966,0.224,0.9829,0.9393,109.7823
40,0.9388,0.9974,0.9388,0.9388,0.0965,0.2286,0.983,0.9388,125.3434
41,0.9394,0.9974,0.9394,0.9394,0.0957,0.2264,0.9831,0.9394,115.3348
42,0.9405,0.9975,0.9405,0.9405,0.0937,0.2223,0.9839,0.9405,142.1749
43,0.9391,0.9974,0.9391,0.9391,0.095,0.2252,0.9832,0.9391,147.1737
44,0.9389,0.9973,0.9389,0.939,0.0962,0.2298,0.9828,0.9389,158.2905
45,0.9402,0.9974,0.9402,0.9402,0.0954,0.2278,0.9831,0.9402,153.2074
46,0.9401,0.9974,0.9401,0.9401,0.0946,0.2256,0.9835,0.9401,164.9623
47,0.9389,0.9974,0.9389,0.9389,0.0964,0.2317,0.9832,0.9389,162.8902
48,0.9388,0.9974,0.9388,0.9387,0.0951,0.2277,0.9833,0.9388,169.3507
49,0.9385,0.9974,0.9385,0.9384,0.0958,0.2288,0.9832,0.9385,170.3296
50,0.9393,0.9974,0.9393,0.9393,0.0956,0.2305,0.9835,0.9393,174.4971
51,0.9394,0.9974,0.9394,0.9393,0.0957,0.2286,0.9835,0.9394,175.8542
52,0.9402,0.9975,0.9402,0.9402,0.0942,0.2273,0.984,0.9402,178.3332
53,0.9406,0.9975,0.9406,0.9405,0.0945,0.2304,0.984,0.9406,179.4133
54,0.9404,0.9976,0.9404,0.9404,0.0938,0.227,0.9843,0.9404,184.4706
55,0.9409,0.9976,0.9409,0.9409,0.0942,0.228,0.9843,0.9409,192.442
56,0.9412,0.9976,0.9412,0.9411,0.0935,0.226,0.9844,0.9412,193.0126
57,0.9406,0.9976,0.9406,0.9406,0.0934,0.226,0.9845,0.9406,196.6978
58,0.9413,0.9976,0.9413,0.9413,0.0929,0.223,0.9847,0.9413,196.7666
59,0.9406,0.9976,0.9406,0.9406,0.093,0.2209,0.9846,0.9406,216.6417
