step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,0.0339
1,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,0.0395
2,0.1733,0.5869,0.1733,0.0985,1.4349,28.8962,0.237,0.1733,0.0335
3,0.1944,0.591,0.1944,0.065,1.2631,28.8655,0.2476,0.1944,0.0586
4,0.2699,0.6369,0.2699,0.1351,1.0784,25.3307,0.3068,0.2699,0.0649
5,0.3183,0.6755,0.3183,0.1901,0.9588,21.8562,0.3468,0.3183,0.0554
6,0.3769,0.7217,0.3769,0.2668,0.8629,18.3867,0.4179,0.3769,0.0566
7,0.3951,0.758,0.3951,0.3012,0.8156,15.0057,0.4627,0.3951,0.0518
8,0.3881,0.7504,0.3881,0.2893,0.8412,15.041,0.4371,0.3881,0.057
9,0.3984,0.7522,0.3984,0.2867,0.8086,15.0092,0.4444,0.3984,0.0608
10,0.4474,0.7607,0.4474,0.3198,0.7637,14.9198,0.4663,0.4474,0.0655
11,0.4924,0.7715,0.4924,0.3762,0.71,14.7877,0.4993,0.4924,0.0691
12,0.5037,0.8,0.5037,0.4009,0.6786,11.4473,0.524,0.5037,0.0576
13,0.5424,0.8453,0.5424,0.4644,0.6242,8.0327,0.5984,0.5424,0.0503
14,0.5407,0.8541,0.5407,0.4604,0.633,8.0371,0.623,0.5407,0.0465
15,0.5363,0.854,0.5363,0.4489,0.6322,8.0494,0.634,0.5363,0.0545
16,0.5751,0.8634,0.5751,0.506,0.5736,7.8927,0.6597,0.5751,0.0572
17,0.5524,0.8663,0.5524,0.489,0.6236,7.9477,0.6658,0.5524,0.0606
18,0.5972,0.8716,0.5972,0.5374,0.5754,7.8389,0.6852,0.5972,0.0591
19,0.6091,0.8763,0.6091,0.5496,0.5567,7.7945,0.7004,0.6091,0.0607
20,0.6247,0.919,0.6247,0.5824,0.5257,4.4441,0.7543,0.6247,0.0597
21,0.6532,0.9227,0.6532,0.6144,0.496,4.3793,0.7669,0.6532,0.0631
22,0.6922,0.9287,0.6922,0.667,0.4537,4.2581,0.7905,0.6922,0.0724
23,0.7003,0.9298,0.7003,0.6729,0.4427,4.2402,0.7954,0.7003,0.0571
24,0.7012,0.9307,0.7012,0.6733,0.4413,4.2366,0.7999,0.7012,0.0657
25,0.6922,0.9299,0.6922,0.6646,0.4464,4.2481,0.7991,0.6922,0.0616
26,0.7027,0.9309,0.7027,0.6726,0.433,4.2245,0.8034,0.7027,0.0664
27,0.7078,0.93,0.7078,0.6807,0.4258,4.2105,0.8028,0.7078,0.0567
28,0.7412,0.934,0.7412,0.7108,0.38,4.1397,0.8239,0.7412,0.0645
29,0.7663,0.9837,0.7663,0.7571,0.3347,0.7308,0.9116,0.7663,0.0557
30,0.7723,0.9841,0.7723,0.7621,0.328,0.7216,0.9138,0.7723,0.0589
31,0.7993,0.9852,0.7993,0.7983,0.3015,0.658,0.9188,0.7993,0.0535
32,0.7922,0.9855,0.7922,0.7885,0.3045,0.659,0.9208,0.7922,0.0629
33,0.8001,0.9845,0.8001,0.7975,0.2978,0.6505,0.9148,0.8001,0.0566
