step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.8214,0.9855,0.8214,0.8042,0.2572,0.5807,0.9203,0.8214,0.0677
1,0.8939,0.9928,0.8939,0.8952,0.1599,0.3353,0.9578,0.8939,0.1064
2,0.9057,0.9945,0.9057,0.906,0.1389,0.291,0.9674,0.9057,0.1032
3,0.9191,0.9956,0.9191,0.9191,0.1195,0.2483,0.9722,0.9191,0.1055
4,0.9228,0.996,0.9228,0.9228,0.1161,0.2424,0.9754,0.9228,0.1094
5,0.9261,0.996,0.9261,0.9261,0.1122,0.2398,0.9757,0.9261,0.1172
6,0.9316,0.9962,0.9316,0.9316,0.1069,0.2352,0.9767,0.9316,0.1312
7,0.9343,0.9967,0.9343,0.9344,0.1004,0.223,0.9797,0.9343,0.138
8,0.937,0.9972,0.937,0.9371,0.0945,0.211,0.9821,0.937,0.1388
9,0.9398,0.9973,0.9398,0.9399,0.0933,0.2115,0.9829,0.9398,0.1532
10,0.9409,0.9973,0.9409,0.9409,0.0926,0.2177,0.9831,0.9409,0.1609
11,0.9416,0.9974,0.9416,0.9417,0.0902,0.2146,0.9837,0.9416,0.1694
12,0.9431,0.9976,0.9431,0.9431,0.0887,0.2158,0.9846,0.9431,0.1779
13,0.9434,0.9976,0.9434,0.9435,0.0896,0.2204,0.9847,0.9434,0.2
14,0.9442,0.9977,0.9442,0.9442,0.0882,0.2207,0.9852,0.9442,0.206
15,0.9439,0.9977,0.9439,0.9439,0.0885,0.2249,0.9852,0.9439,0.2127
16,0.9458,0.9977,0.9458,0.9457,0.0861,0.2258,0.9856,0.9458,0.2213
17,0.9451,0.9977,0.9451,0.9451,0.0869,0.231,0.9855,0.9451,0.2162
18,0.9473,0.9978,0.9473,0.9473,0.085,0.2284,0.986,0.9473,0.2319
19,0.9479,0.9978,0.9479,0.9479,0.0861,0.2326,0.986,0.9479,0.2674
20,0.9453,0.9977,0.9453,0.9453,0.0882,0.2388,0.9855,0.9453,0.2523
21,0.9467,0.9978,0.9467,0.9467,0.0874,0.2418,0.9858,0.9467,0.2863
22,0.9472,0.9979,0.9472,0.9472,0.0863,0.2436,0.9861,0.9472,0.3015
23,0.9482,0.9978,0.9482,0.9482,0.0857,0.2485,0.986,0.9482,0.3234
24,0.9482,0.9978,0.9482,0.9482,0.0852,0.2513,0.9861,0.9482,0.3235
25,0.9481,0.9979,0.9481,0.9481,0.0852,0.2526,0.9863,0.9481,0.3459
26,0.949,0.9978,0.949,0.949,0.0852,0.2581,0.9861,0.949,0.347
27,0.9504,0.9979,0.9504,0.9505,0.0831,0.257,0.9866,0.9504,0.3561
28,0.9506,0.9979,0.9506,0.9506,0.0828,0.2581,0.9868,0.9506,0.3885
29,0.9507,0.998,0.9507,0.9507,0.0815,0.2583,0.9872,0.9507,0.4084
30,0.9526,0.9981,0.9526,0.9526,0.0804,0.2595,0.9874,0.9526,0.4318
31,0.9518,0.998,0.9518,0.9518,0.081,0.2649,0.9873,0.9518,0.4213
32,0.9528,0.998,0.9528,0.9528,0.0804,0.2662,0.9874,0.9528,0.4828
33,0.9523,0.9981,0.9523,0.9523,0.0801,0.2702,0.9875,0.9523,0.4991
34,0.9529,0.9981,0.9529,0.953,0.0795,0.2709,0.9877,0.9529,0.4676
35,0.9533,0.9981,0.9533,0.9533,0.0799,0.275,0.9877,0.9533,0.4686
36,0.9527,0.9981,0.9527,0.9527,0.0806,0.2782,0.9878,0.9527,0.4853
37,0.9526,0.9981,0.9526,0.9526,0.0805,0.2832,0.9877,0.9526,0.4619
38,0.9544,0.9982,0.9544,0.9544,0.0784,0.2794,0.9882,0.9544,0.5149
39,0.9537,0.9982,0.9537,0.9538,0.0791,0.2842,0.9881,0.9537,0.5604
40,0.9532,0.9982,0.9532,0.9532,0.0797,0.2876,0.9882,0.9532,0.5898
41,0.9538,0.9982,0.9538,0.9538,0.0796,0.2913,0.9882,0.9538,0.548
42,0.9552,0.9982,0.9552,0.9552,0.0779,0.2917,0.9884,0.9552,0.521
43,0.9549,0.9982,0.9549,0.9549,0.0771,0.2932,0.9884,0.9549,0.5845
44,0.9559,0.9982,0.9559,0.956,0.0766,0.295,0.9886,0.9559,0.5996
45,0.9549,0.9983,0.9549,0.955,0.0775,0.2993,0.9886,0.9549,0.5916
46,0.9551,0.9983,0.9551,0.9551,0.0781,0.303,0.9887,0.9551,0.5844
47,0.9549,0.9983,0.9549,0.955,0.0776,0.3037,0.9889,0.9549,0.6296
48,0.956,0.9983,0.956,0.956,0.077,0.307,0.989,0.956,0.7532
49,0.9569,0.9984,0.9569,0.957,0.0762,0.3072,0.9892,0.9569,0.681
50,0.956,0.9984,0.956,0.956,0.0769,0.3121,0.9892,0.956,0.7496
51,0.9555,0.9984,0.9555,0.9555,0.0783,0.3157,0.9891,0.9555,0.7627
52,0.9554,0.9984,0.9554,0.9555,0.0778,0.3202,0.9892,0.9554,0.9208
53,0.9559,0.9984,0.9559,0.9559,0.0777,0.3218,0.9892,0.9559,0.9054
54,0.9556,0.9984,0.9556,0.9556,0.0782,0.326,0.9891,0.9556,0.9262
55,0.9556,0.9983,0.9556,0.9556,0.0789,0.3357,0.9887,0.9556,0.9511
56,0.955,0.9983,0.955,0.955,0.079,0.3443,0.9888,0.955,0.9459
57,0.9557,0.9983,0.9557,0.9557,0.0787,0.347,0.9889,0.9557,1.0137
58,0.9549,0.9983,0.9549,0.9549,0.0791,0.3512,0.9887,0.9549,1.0302
59,0.9554,0.9983,0.9554,0.9554,0.0792,0.3552,0.9889,0.9554,1.1248
