step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,0.0307
1,0.1711,0.5912,0.1711,0.0867,1.4292,28.8859,0.2423,0.1711,0.118
2,0.2097,0.6275,0.2097,0.1421,1.2651,25.425,0.2946,0.2097,0.0831
3,0.2574,0.6602,0.2574,0.1921,1.0894,21.9668,0.3355,0.2574,0.0569
4,0.3029,0.7037,0.3029,0.2544,0.9851,18.5135,0.3991,0.3029,0.0845
5,0.3357,0.7101,0.3357,0.2608,0.9272,18.4567,0.4085,0.3357,0.0623
6,0.3327,0.7128,0.3327,0.2495,0.9221,18.4694,0.4165,0.3327,0.0557
7,0.3753,0.7585,0.3753,0.3143,0.8488,15.0356,0.4892,0.3753,0.0571
8,0.4016,0.763,0.4016,0.3348,0.8155,14.987,0.4968,0.4016,0.0538
9,0.4325,0.7737,0.4325,0.3564,0.7802,14.9288,0.5249,0.4325,0.0674
10,0.4751,0.8156,0.4751,0.418,0.6971,11.4876,0.5929,0.4751,0.0775
11,0.5554,0.8683,0.5554,0.5158,0.5974,7.9706,0.6851,0.5554,0.0898
12,0.6278,0.9204,0.6278,0.6137,0.5162,4.4865,0.7796,0.6278,0.083
13,0.6137,0.9221,0.6137,0.6027,0.5215,4.497,0.7864,0.6137,0.0934
14,0.591,0.922,0.591,0.5871,0.5395,4.5299,0.7853,0.591,0.079
15,0.6374,0.9689,0.6374,0.6519,0.482,1.1044,0.8559,0.6374,0.0704
16,0.6544,0.9703,0.6544,0.6628,0.4729,1.0952,0.862,0.6544,0.0815
17,0.6752,0.9716,0.6752,0.6827,0.4613,1.0695,0.8665,0.6752,0.0855
18,0.6882,0.9724,0.6882,0.6925,0.4547,1.0631,0.8692,0.6882,0.0821
19,0.6751,0.9726,0.6751,0.6824,0.4602,1.0739,0.87,0.6751,0.081
20,0.6994,0.9747,0.6994,0.7028,0.4413,1.0401,0.88,0.6994,0.0887
21,0.7036,0.9749,0.7036,0.7003,0.4446,1.056,0.8803,0.7036,0.0674
22,0.7027,0.9743,0.7027,0.696,0.4512,1.0758,0.8793,0.7027,0.0673
23,0.6898,0.9738,0.6898,0.6844,0.4604,1.0982,0.8773,0.6898,0.0617
24,0.6857,0.9747,0.6857,0.6789,0.4648,1.1096,0.8801,0.6857,0.0746
25,0.6647,0.9735,0.6647,0.6603,0.4797,1.1421,0.8757,0.6647,0.0838
26,0.6633,0.974,0.6633,0.6574,0.483,1.1516,0.8779,0.6633,0.0765
27,0.6552,0.974,0.6552,0.6522,0.488,1.1627,0.8785,0.6552,0.0758
28,0.6442,0.974,0.6442,0.6457,0.4957,1.1787,0.8791,0.6442,0.0987
29,0.6501,0.9736,0.6501,0.6516,0.4923,1.1791,0.8774,0.6501,0.089
