step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3738,0.7871,0.3738,0.3339,0.8334,11.6811,0.4894,0.3738,0.0224
1,0.5786,0.9032,0.5786,0.5036,0.5677,4.7577,0.7139,0.5786,0.0198
2,0.6319,0.9164,0.6319,0.5711,0.5091,4.5589,0.7693,0.6319,0.0193
3,0.7468,0.9799,0.7468,0.7354,0.3978,0.9389,0.8966,0.7468,0.0337
4,0.7543,0.981,0.7543,0.7421,0.3934,0.9357,0.9043,0.7543,0.0229
5,0.752,0.982,0.752,0.7427,0.3978,0.9454,0.9085,0.752,0.0212
6,0.7591,0.9829,0.7591,0.7487,0.3911,0.9462,0.9162,0.7591,0.0219
7,0.7736,0.9841,0.7736,0.7627,0.3807,0.9245,0.9189,0.7736,0.0199
8,0.7916,0.9875,0.7916,0.7855,0.3659,0.8679,0.93,0.7916,0.0198
9,0.8204,0.99,0.8204,0.8164,0.3494,0.8252,0.9409,0.8204,0.0282
10,0.8319,0.9906,0.8319,0.8296,0.3367,0.7935,0.9446,0.8319,0.0338
11,0.8383,0.9913,0.8383,0.8366,0.3355,0.7877,0.9475,0.8383,0.0193
12,0.8583,0.9924,0.8583,0.858,0.3241,0.7592,0.9531,0.8583,0.0213
13,0.8612,0.9931,0.8612,0.8613,0.3261,0.7618,0.9562,0.8612,0.0189
14,0.8579,0.9932,0.8579,0.8578,0.3302,0.7711,0.9565,0.8579,0.0198
15,0.8617,0.9934,0.8617,0.8617,0.3232,0.7568,0.9571,0.8617,0.0193
16,0.8702,0.9937,0.8702,0.8708,0.3194,0.7484,0.9593,0.8702,0.0199
17,0.8776,0.9943,0.8776,0.878,0.3146,0.7396,0.9621,0.8776,0.019
18,0.8791,0.9944,0.8791,0.8791,0.3141,0.74,0.9626,0.8791,0.0197
19,0.8768,0.9945,0.8768,0.8767,0.3135,0.7382,0.9637,0.8768,0.0198
20,0.8808,0.9944,0.8808,0.8807,0.3103,0.7329,0.9638,0.8808,0.0203
