step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,0.0278
1,0.1636,0.5448,0.1636,0.0649,1.2913,28.9622,0.149,0.1636,0.5347
2,0.1999,0.5782,0.1999,0.0946,1.1151,25.5283,0.1745,0.1999,0.5145
3,0.1017,0.5633,0.1017,0.0217,1.1595,25.547,0.1536,0.1017,0.5364
4,0.1653,0.5777,0.1653,0.0758,1.1238,25.5273,0.1814,0.1653,0.4951
5,0.1692,0.6111,0.1692,0.0605,1.0559,22.1433,0.2204,0.1692,0.5481
6,0.206,0.6251,0.206,0.1363,1.0329,22.1142,0.2438,0.206,0.5459
7,0.2256,0.6269,0.2256,0.1048,1.0337,22.1222,0.246,0.2256,0.6266
8,0.2127,0.6572,0.2127,0.1154,0.9671,18.7267,0.2667,0.2127,0.6313
9,0.2106,0.6277,0.2106,0.0918,0.9863,18.782,0.2546,0.2106,0.5737
10,0.2231,0.646,0.2231,0.1059,0.9405,15.4266,0.2747,0.2231,0.6054
11,0.2426,0.657,0.2426,0.1308,0.9279,15.3842,0.2593,0.2426,0.5784
12,0.2453,0.6636,0.2453,0.1471,0.9186,15.3681,0.2904,0.2453,0.6555
13,0.2573,0.6814,0.2573,0.1712,0.9111,15.3388,0.3045,0.2573,0.6021
14,0.2668,0.6779,0.2668,0.2008,0.9087,15.329,0.3056,0.2668,0.6532
15,0.3168,0.6881,0.3168,0.2239,0.9005,15.3174,0.33,0.3168,0.6855
16,0.2878,0.6796,0.2878,0.2205,0.9037,15.3193,0.3196,0.2878,0.6551
17,0.3171,0.6856,0.3171,0.2328,0.8975,15.3043,0.3192,0.3171,0.6847
18,0.3148,0.6757,0.3148,0.2388,0.9022,15.3162,0.3187,0.3148,0.7318
19,0.3178,0.7266,0.3178,0.2424,0.8725,11.9619,0.3742,0.3178,0.7581
20,0.3562,0.7284,0.3562,0.2963,0.8578,11.9161,0.3766,0.3562,0.765
21,0.3864,0.7502,0.3864,0.3291,0.8557,11.9073,0.4082,0.3864,0.728
22,0.3866,0.7874,0.3866,0.3352,0.8341,8.5679,0.4624,0.3866,0.745
