step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1046,0.6396,0.1046,0.0265,0.9883,15.4659,0.2297,0.1046,0.7702
1,0.3372,0.768,0.3372,0.2332,0.8504,8.6295,0.4139,0.3372,1.0185
2,0.3967,0.8115,0.3967,0.3312,0.8273,8.5977,0.5019,0.3967,1.2084
3,0.4669,0.9005,0.4669,0.3971,0.7531,1.8858,0.6502,0.4669,1.0449
4,0.4884,0.9294,0.4884,0.4367,0.7313,1.7335,0.7276,0.4884,1.1903
5,0.6306,0.9458,0.6306,0.6028,0.6917,1.6133,0.7764,0.6306,1.185
6,0.6499,0.9531,0.6499,0.6431,0.6721,1.5381,0.7978,0.6499,1.1146
7,0.6649,0.9565,0.6649,0.6548,0.6714,1.5358,0.819,0.6649,1.2289
8,0.7282,0.9623,0.7282,0.7232,0.6398,1.4516,0.8354,0.7282,1.4153
9,0.736,0.965,0.736,0.7191,0.6279,1.4404,0.8433,0.736,0.9874
10,0.7649,0.9661,0.7649,0.7597,0.6235,1.4145,0.8518,0.7649,1.0597
11,0.7903,0.9715,0.7903,0.7877,0.6091,1.3751,0.8723,0.7903,1.212
12,0.8031,0.9728,0.8031,0.8033,0.6041,1.3587,0.8747,0.8031,1.2961
13,0.8252,0.976,0.8252,0.827,0.5918,1.3243,0.8863,0.8252,1.3636
14,0.8263,0.9763,0.8263,0.8284,0.5943,1.3294,0.8877,0.8263,1.2494
15,0.8402,0.978,0.8402,0.8423,0.5791,1.2934,0.8972,0.8402,1.2836
16,0.8469,0.979,0.8469,0.8478,0.568,1.2725,0.9003,0.8469,1.4329
17,0.8596,0.9803,0.8596,0.8598,0.5652,1.2646,0.9062,0.8596,1.105
18,0.8574,0.9822,0.8574,0.8575,0.5616,1.2574,0.911,0.8574,1.319
19,0.8502,0.9808,0.8502,0.8502,0.5615,1.2568,0.9075,0.8502,1.4306
20,0.8592,0.9814,0.8592,0.86,0.5534,1.2381,0.9119,0.8592,1.5143
21,0.8593,0.9823,0.8593,0.86,0.5508,1.2298,0.9135,0.8593,1.361
22,0.8575,0.9814,0.8575,0.8581,0.5546,1.2392,0.9087,0.8575,1.3763
23,0.8684,0.9834,0.8684,0.8697,0.55,1.228,0.9192,0.8684,1.513
24,0.8662,0.9819,0.8662,0.8677,0.5463,1.2208,0.9116,0.8662,1.2788
25,0.8705,0.9844,0.8705,0.8719,0.5405,1.2059,0.9209,0.8705,1.5923
26,0.879,0.9841,0.879,0.8802,0.5286,1.1864,0.9206,0.879,1.5375
27,0.8871,0.9857,0.8871,0.8881,0.5271,1.1789,0.9286,0.8871,1.6301
28,0.8838,0.9858,0.8838,0.8844,0.5219,1.166,0.9268,0.8838,1.4406
29,0.8899,0.9862,0.8899,0.8901,0.5197,1.1624,0.9281,0.8899,1.503
30,0.8849,0.9862,0.8849,0.8851,0.5222,1.1664,0.9261,0.8849,1.3624
31,0.8897,0.986,0.8897,0.8897,0.5156,1.1553,0.9287,0.8897,1.3821
32,0.8866,0.9864,0.8866,0.8868,0.5163,1.1567,0.9299,0.8866,1.5921
33,0.8929,0.9872,0.8929,0.8931,0.5062,1.1345,0.9329,0.8929,1.7398
34,0.8883,0.9864,0.8883,0.8884,0.5121,1.1472,0.9295,0.8883,1.5482
35,0.8896,0.9869,0.8896,0.8896,0.5056,1.1311,0.9316,0.8896,1.5549
36,0.8934,0.987,0.8934,0.8933,0.5036,1.1303,0.9326,0.8934,1.5061
37,0.8912,0.9866,0.8912,0.8912,0.4993,1.1211,0.9333,0.8912,1.511
38,0.8927,0.9875,0.8927,0.8924,0.4959,1.1138,0.9366,0.8927,1.8321
39,0.8981,0.9884,0.8981,0.8982,0.4974,1.1155,0.939,0.8981,1.7401
40,0.8947,0.9878,0.8947,0.8949,0.4925,1.1052,0.9373,0.8947,1.6038
41,0.8934,0.988,0.8934,0.8939,0.488,1.0947,0.9385,0.8934,1.8404
42,0.8957,0.9882,0.8957,0.8959,0.487,1.0938,0.9401,0.8957,1.6559
43,0.8969,0.9885,0.8969,0.8971,0.4911,1.0992,0.9393,0.8969,1.8297
44,0.8954,0.9878,0.8954,0.8954,0.4881,1.0949,0.9376,0.8954,1.8123
45,0.8989,0.9888,0.8989,0.8991,0.4873,1.0928,0.9403,0.8989,1.7064
46,0.8957,0.9881,0.8957,0.8959,0.493,1.104,0.9375,0.8957,1.9746
