step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7008,0.9605,0.7008,0.695,0.6702,1.5197,0.838,0.7008,1.0628
1,0.8287,0.9762,0.8287,0.8272,0.5845,1.3144,0.8905,0.8287,1.3887
2,0.8618,0.9811,0.8618,0.861,0.5403,1.2162,0.9116,0.8618,1.6539
3,0.8711,0.9841,0.8711,0.8699,0.5052,1.1403,0.9227,0.8711,1.6884
4,0.8838,0.9856,0.8838,0.8836,0.4857,1.1001,0.9296,0.8838,1.6825
5,0.8908,0.986,0.8908,0.8909,0.4734,1.0757,0.9331,0.8908,1.8002
6,0.8857,0.9865,0.8857,0.8859,0.4627,1.0524,0.9313,0.8857,1.6444
7,0.8909,0.9878,0.8909,0.8914,0.4509,1.0255,0.9365,0.8909,1.9235
8,0.8958,0.9884,0.8958,0.8962,0.4477,1.0191,0.9382,0.8958,1.928
9,0.8968,0.9889,0.8968,0.897,0.4369,0.9974,0.9414,0.8968,2.0423
10,0.8929,0.9887,0.8929,0.8931,0.4307,0.9843,0.9398,0.8929,2.0623
11,0.8929,0.9889,0.8929,0.8934,0.4292,0.98,0.9405,0.8929,2.0656
12,0.8999,0.9896,0.8999,0.9004,0.4212,0.963,0.9451,0.8999,2.3315
13,0.8953,0.9898,0.8953,0.8957,0.4215,0.9638,0.9438,0.8953,2.4385
14,0.9011,0.9904,0.9011,0.9015,0.4115,0.9441,0.9484,0.9011,2.4465
15,0.8969,0.9903,0.8969,0.8973,0.4059,0.9326,0.9472,0.8969,2.54
16,0.9003,0.9902,0.9003,0.9008,0.4014,0.9235,0.9475,0.9003,2.7232
17,0.903,0.9909,0.903,0.9033,0.3975,0.9147,0.9497,0.903,2.5796
18,0.9022,0.9903,0.9022,0.9025,0.3948,0.9096,0.9481,0.9022,2.7443
19,0.9068,0.9909,0.9068,0.9071,0.3912,0.9037,0.9509,0.9068,2.6859
20,0.9074,0.9911,0.9074,0.9077,0.3896,0.8991,0.9511,0.9074,2.8354
21,0.9086,0.9913,0.9086,0.9086,0.3862,0.8925,0.9518,0.9086,3.0232
22,0.9067,0.9913,0.9067,0.9069,0.3827,0.8856,0.9518,0.9067,2.9514
23,0.9089,0.9914,0.9089,0.9092,0.3782,0.8772,0.9535,0.9089,3.1641
24,0.9102,0.9914,0.9102,0.9104,0.3771,0.8747,0.9538,0.9102,3.1825
25,0.9091,0.9913,0.9091,0.9091,0.3785,0.8772,0.9524,0.9091,3.1902
