step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2919,0.6854,0.2919,0.1767,0.9269,15.387,0.3183,0.2919,0.0435
1,0.2387,0.8008,0.2387,0.2089,0.8568,5.397,0.4645,0.2387,0.2967
2,0.3628,0.8821,0.3628,0.3406,0.7815,1.9149,0.5906,0.3628,0.2715
3,0.4886,0.9126,0.4886,0.4855,0.7549,1.7589,0.6561,0.4886,0.3016
4,0.6588,0.94,0.6588,0.6476,0.7157,1.6469,0.7585,0.6588,0.3318
5,0.6573,0.9499,0.6573,0.6357,0.6889,1.5886,0.7926,0.6573,0.3471
6,0.7265,0.9609,0.7265,0.7201,0.6718,1.5256,0.8277,0.7265,0.3802
7,0.7487,0.957,0.7487,0.7461,0.6734,1.5236,0.8248,0.7487,0.3872
8,0.7509,0.9622,0.7509,0.753,0.6709,1.514,0.8382,0.7509,0.4083
9,0.7516,0.965,0.7516,0.7518,0.6643,1.4971,0.8414,0.7516,0.4444
10,0.7272,0.9643,0.7272,0.728,0.6618,1.4871,0.8398,0.7272,0.4707
11,0.7579,0.9699,0.7579,0.7582,0.6487,1.4514,0.8577,0.7579,0.4904
12,0.7866,0.9731,0.7866,0.7936,0.6492,1.451,0.8705,0.7866,0.509
13,0.8023,0.9736,0.8023,0.8092,0.6417,1.4268,0.8727,0.8023,0.5221
14,0.7818,0.9733,0.7818,0.7876,0.6493,1.4471,0.869,0.7818,0.5403
15,0.7834,0.9739,0.7834,0.786,0.6468,1.4478,0.8727,0.7834,0.5267
16,0.8224,0.976,0.8224,0.8246,0.6401,1.4237,0.8788,0.8224,0.5298
17,0.8176,0.9759,0.8176,0.821,0.6399,1.4217,0.8801,0.8176,0.5412
18,0.8156,0.975,0.8156,0.8199,0.6398,1.4199,0.874,0.8156,0.5529
19,0.8163,0.9767,0.8163,0.8194,0.6351,1.4086,0.8803,0.8163,0.5919
20,0.8122,0.9767,0.8122,0.8148,0.6392,1.418,0.8845,0.8122,0.7052
21,0.8096,0.9774,0.8096,0.8136,0.6462,1.4318,0.885,0.8096,0.7036
22,0.813,0.9794,0.813,0.8159,0.6354,1.4052,0.8938,0.813,0.725
23,0.8258,0.9795,0.8258,0.8286,0.6258,1.3826,0.8954,0.8258,0.7549
24,0.8268,0.9791,0.8268,0.8289,0.6241,1.3826,0.8955,0.8268,0.7589
25,0.8216,0.9812,0.8216,0.8242,0.6228,1.3796,0.9039,0.8216,0.7267
26,0.8425,0.9826,0.8425,0.8445,0.6146,1.3604,0.9113,0.8425,0.7535
27,0.8318,0.9809,0.8318,0.8338,0.6235,1.3776,0.9023,0.8318,0.7645
28,0.8403,0.9807,0.8403,0.8436,0.623,1.3766,0.9016,0.8403,0.7989
29,0.8419,0.9827,0.8419,0.8445,0.6235,1.3759,0.9048,0.8419,0.808
30,0.8475,0.9827,0.8475,0.8507,0.6107,1.3436,0.9057,0.8475,0.8263
31,0.8543,0.9827,0.8543,0.8575,0.6093,1.3437,0.9095,0.8543,0.8416
32,0.8656,0.9839,0.8656,0.8675,0.5966,1.3148,0.9152,0.8656,0.8737
33,0.8629,0.9837,0.8629,0.8651,0.6054,1.332,0.9134,0.8629,0.8705
34,0.8618,0.9845,0.8618,0.8636,0.596,1.3132,0.9183,0.8618,0.902
35,0.867,0.985,0.867,0.8688,0.5933,1.3054,0.9181,0.867,0.8902
36,0.8553,0.9844,0.8553,0.8582,0.5952,1.3108,0.9168,0.8553,0.9265
37,0.8503,0.9831,0.8503,0.8535,0.6033,1.3266,0.9089,0.8503,0.9368
38,0.8595,0.9848,0.8595,0.8622,0.5953,1.3105,0.9183,0.8595,0.9663
39,0.8524,0.9835,0.8524,0.8561,0.6071,1.3339,0.91,0.8524,0.9361
40,0.8637,0.9842,0.8637,0.8663,0.6025,1.3249,0.9158,0.8637,0.9509
41,0.8606,0.983,0.8606,0.8637,0.6,1.3209,0.9144,0.8606,1.0165
42,0.8589,0.9849,0.8589,0.8616,0.5992,1.3187,0.9164,0.8589,0.9899
43,0.845,0.9846,0.845,0.8483,0.604,1.3264,0.9157,0.845,1.0125
44,0.8642,0.9848,0.8642,0.8671,0.5986,1.3156,0.9192,0.8642,1.0474
