step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1,0.5,0.1,0.0182,1.8,32.4393,0.1,0.1,20.3965
1,0.1189,0.526,0.1189,0.0362,1.2964,28.9679,0.1225,0.1189,7.6834
2,0.1711,0.5628,0.1711,0.0792,1.1184,25.5328,0.1553,0.1711,1.4165
3,0.2275,0.6172,0.2275,0.1193,1.0224,22.1199,0.2034,0.2275,1.3397
4,0.2622,0.6438,0.2622,0.1666,0.9661,18.7396,0.2424,0.2622,0.8617
5,0.3034,0.6766,0.3034,0.2227,0.9235,15.3681,0.2912,0.3034,1.6852
6,0.3356,0.7257,0.3356,0.2833,0.8864,11.9941,0.3603,0.3356,1.0023
7,0.3433,0.7508,0.3433,0.3073,0.8656,8.66,0.3736,0.3433,1.6308
8,0.3869,0.758,0.3869,0.354,0.8526,5.3581,0.3864,0.3869,2.3374
9,0.405,0.7643,0.405,0.4007,0.8358,2.0441,0.4135,0.405,1.6698
10,0.2184,0.7837,0.2184,0.2125,0.8468,2.0603,0.41,0.2184,5.1341
11,0.2569,0.8145,0.2569,0.214,0.837,2.0301,0.4394,0.2569,6.7458
12,0.2591,0.7964,0.2591,0.1685,0.8464,2.081,0.4106,0.2591,2.1725
13,0.2054,0.8073,0.2054,0.1534,0.8456,2.0889,0.4365,0.2054,4.8096
14,0.2917,0.8274,0.2917,0.2337,0.8246,2.0248,0.4883,0.2917,2.0968
15,0.3,0.8155,0.3,0.2479,0.8272,2.0316,0.4593,0.3,2.9679
16,0.3341,0.8555,0.3341,0.2757,0.816,1.9699,0.5256,0.3341,1.88
17,0.3746,0.8371,0.3746,0.3313,0.8143,1.9731,0.5094,0.3746,3.6042
18,0.4156,0.8615,0.4156,0.3593,0.805,1.9627,0.5475,0.4156,1.8261
19,0.5089,0.8746,0.5089,0.4732,0.7826,1.8729,0.5898,0.5089,2.1361
20,0.444,0.8707,0.444,0.4414,0.7876,1.8768,0.5791,0.444,2.7614
21,0.4765,0.8708,0.4765,0.4719,0.7841,1.8696,0.5812,0.4765,2.3273
22,0.5282,0.89,0.5282,0.5383,0.7744,1.8118,0.634,0.5282,4.2951
23,0.5088,0.8862,0.5088,0.5029,0.769,1.8069,0.6089,0.5088,2.5361
24,0.5117,0.8993,0.5117,0.5037,0.7604,1.7824,0.6398,0.5117,2.4828
25,0.5334,0.8916,0.5334,0.5237,0.7625,1.7986,0.6362,0.5334,5.2126
26,0.5599,0.8996,0.5599,0.5453,0.7571,1.7722,0.6492,0.5599,2.4729
27,0.5413,0.9075,0.5413,0.5231,0.7519,1.7675,0.6726,0.5413,2.7032
28,0.5203,0.9079,0.5203,0.522,0.7482,1.7495,0.6746,0.5203,3.1299
29,0.5412,0.9059,0.5412,0.5161,0.7413,1.7472,0.6669,0.5412,3.4543
30,0.6174,0.8989,0.6174,0.5963,0.7384,1.7353,0.6751,0.6174,4.7627
31,0.6121,0.9167,0.6121,0.5988,0.7279,1.6972,0.6983,0.6121,4.4977
32,0.6124,0.9119,0.6124,0.6022,0.7276,1.7,0.6964,0.6124,3.597
33,0.6004,0.9203,0.6004,0.5917,0.7206,1.6729,0.715,0.6004,3.458
34,0.6647,0.9276,0.6647,0.6633,0.7194,1.6582,0.7252,0.6647,4.9091
35,0.612,0.9184,0.612,0.6038,0.7294,1.6926,0.712,0.612,4.2757
36,0.6565,0.928,0.6565,0.6434,0.7134,1.6512,0.7303,0.6565,4.3036
37,0.6698,0.9348,0.6698,0.6543,0.7073,1.6309,0.7483,0.6698,3.4547
38,0.6524,0.9329,0.6524,0.6321,0.7074,1.6398,0.7412,0.6524,3.6522
39,0.6799,0.9355,0.6799,0.6705,0.7041,1.6148,0.7502,0.6799,3.4844
40,0.6663,0.9323,0.6663,0.6496,0.6973,1.6106,0.7453,0.6663,4.1169
41,0.6311,0.9249,0.6311,0.6065,0.706,1.6395,0.7193,0.6311,3.6359
42,0.6605,0.9299,0.6605,0.6354,0.6948,1.612,0.75,0.6605,4.3358
43,0.6654,0.9354,0.6654,0.6399,0.6842,1.5867,0.7544,0.6654,3.8436
44,0.6793,0.9358,0.6793,0.6576,0.6816,1.5721,0.7669,0.6793,7.7343
45,0.6609,0.9321,0.6609,0.6227,0.6815,1.5852,0.755,0.6609,5.6398
46,0.6596,0.9409,0.6596,0.6244,0.6789,1.5691,0.7701,0.6596,5.5173
47,0.6766,0.9441,0.6766,0.6556,0.6857,1.5781,0.7791,0.6766,4.8751
48,0.6923,0.9493,0.6923,0.6698,0.6712,1.5412,0.7923,0.6923,7.6533
49,0.7058,0.9503,0.7058,0.6918,0.6661,1.5244,0.7961,0.7058,10.9697
50,0.6834,0.9473,0.6834,0.6634,0.6792,1.5583,0.7852,0.6834,6.2889
51,0.6781,0.9478,0.6781,0.6553,0.6775,1.5552,0.7751,0.6781,4.6195
52,0.6856,0.9506,0.6856,0.6591,0.6724,1.5416,0.7923,0.6856,11.4272
53,0.6973,0.9504,0.6973,0.6759,0.6708,1.5394,0.7951,0.6973,4.849
54,0.7041,0.9543,0.7041,0.6855,0.6668,1.52,0.7995,0.7041,9.2285
55,0.6949,0.9515,0.6949,0.679,0.6793,1.5604,0.7903,0.6949,8.1144
56,0.7484,0.96,0.7484,0.7432,0.661,1.4989,0.8252,0.7484,8.0479
57,0.7212,0.9555,0.7212,0.7085,0.6653,1.5163,0.803,0.7212,5.6212
58,0.7567,0.9604,0.7567,0.7593,0.6595,1.4887,0.8205,0.7567,7.2644
59,0.7678,0.9622,0.7678,0.767,0.648,1.4624,0.829,0.7678,8.9525
