step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4457,0.9009,0.4457,0.4158,0.7371,1.8524,0.6499,0.4457,0.0513
1,0.6963,0.9642,0.6963,0.6782,0.642,1.4715,0.8426,0.6963,0.2965
2,0.8429,0.9767,0.8429,0.8422,0.5971,1.3348,0.89,0.8429,0.2814
3,0.867,0.9814,0.867,0.8682,0.5794,1.2878,0.9071,0.867,0.3427
4,0.8684,0.984,0.8684,0.8708,0.5754,1.2751,0.9179,0.8684,0.5144
5,0.867,0.9849,0.867,0.8711,0.5705,1.2576,0.9209,0.867,0.507
6,0.8707,0.9855,0.8707,0.8738,0.5657,1.249,0.9227,0.8707,0.5562
7,0.8898,0.9874,0.8898,0.8914,0.5521,1.2165,0.9345,0.8898,0.5917
8,0.8987,0.9883,0.8987,0.9001,0.5441,1.1996,0.9385,0.8987,0.6413
9,0.8993,0.9887,0.8993,0.9004,0.5432,1.1957,0.9379,0.8993,0.7048
10,0.8967,0.9884,0.8967,0.8986,0.546,1.2019,0.9371,0.8967,0.8701
11,0.9001,0.9887,0.9001,0.9013,0.5416,1.1904,0.9378,0.9001,0.9949
12,0.9007,0.9888,0.9007,0.9016,0.5427,1.1906,0.9346,0.9007,0.979
13,0.9083,0.9897,0.9083,0.909,0.5334,1.1715,0.9412,0.9083,0.9996
14,0.9062,0.9892,0.9062,0.9071,0.5347,1.1736,0.9394,0.9062,1.092
15,0.9076,0.9896,0.9076,0.9083,0.5325,1.171,0.94,0.9076,1.2231
16,0.9039,0.9896,0.9039,0.9052,0.5329,1.1675,0.9381,0.9039,1.2276
17,0.9034,0.9896,0.9034,0.9045,0.5326,1.1653,0.938,0.9034,1.3307
18,0.9063,0.9899,0.9063,0.907,0.5241,1.1495,0.9409,0.9063,1.321
19,0.9114,0.9904,0.9114,0.9122,0.5217,1.1412,0.9412,0.9114,1.5348
20,0.9111,0.99,0.9111,0.9119,0.5235,1.1455,0.9397,0.9111,1.4931
21,0.9099,0.9903,0.9099,0.911,0.5245,1.1465,0.9412,0.9099,1.5598
22,0.9092,0.9905,0.9092,0.9102,0.5241,1.1461,0.9414,0.9092,1.837
23,0.9126,0.9907,0.9126,0.9134,0.523,1.1436,0.9442,0.9126,1.7523
24,0.9122,0.9909,0.9122,0.913,0.5166,1.1313,0.9434,0.9122,1.8136
25,0.9138,0.991,0.9138,0.9147,0.5153,1.1279,0.9434,0.9138,2.043
26,0.913,0.9907,0.913,0.914,0.5132,1.1234,0.9453,0.913,2.0375
27,0.9089,0.9907,0.9089,0.9101,0.5125,1.122,0.9449,0.9089,2.2026
28,0.9141,0.9911,0.9141,0.9149,0.5161,1.128,0.9456,0.9141,2.1591
29,0.9154,0.9912,0.9154,0.9163,0.5061,1.1069,0.9467,0.9154,2.2402
30,0.9159,0.9913,0.9159,0.9167,0.5089,1.1128,0.9481,0.9159,2.3809
31,0.9178,0.9913,0.9178,0.9185,0.5095,1.114,0.9466,0.9178,2.4307
32,0.9162,0.9915,0.9162,0.917,0.5048,1.1039,0.9477,0.9162,2.483
33,0.9183,0.9914,0.9183,0.9191,0.505,1.1037,0.9476,0.9183,2.488
34,0.9156,0.9913,0.9156,0.9165,0.5047,1.1017,0.9463,0.9156,2.6045
35,0.9157,0.9913,0.9157,0.9166,0.4987,1.0902,0.9468,0.9157,2.6795
36,0.9179,0.9917,0.9179,0.9189,0.499,1.091,0.9501,0.9179,2.8308
37,0.9176,0.9912,0.9176,0.9185,0.4977,1.088,0.9468,0.9176,2.8273
38,0.9189,0.9915,0.9189,0.9198,0.5011,1.0946,0.9484,0.9189,2.9334
39,0.9196,0.9919,0.9196,0.9203,0.5009,1.0945,0.9494,0.9196,3.0722
40,0.9238,0.9918,0.9238,0.9244,0.4963,1.0835,0.9488,0.9238,3.0695
41,0.9229,0.9919,0.9229,0.9237,0.4935,1.0788,0.9501,0.9229,3.1684
42,0.9222,0.992,0.9222,0.9229,0.4923,1.076,0.9506,0.9222,3.2926
43,0.9241,0.992,0.9241,0.9247,0.4905,1.0722,0.9511,0.9241,3.3942
44,0.9246,0.9921,0.9246,0.9252,0.4894,1.0701,0.9505,0.9246,3.5035
45,0.9269,0.9923,0.9269,0.9274,0.4866,1.0656,0.951,0.9269,3.5538
46,0.9234,0.9921,0.9234,0.9241,0.4861,1.0634,0.9508,0.9234,3.6959
47,0.9246,0.992,0.9246,0.9252,0.487,1.0644,0.9516,0.9246,3.7271
48,0.924,0.9921,0.924,0.9247,0.4824,1.0571,0.9514,0.924,3.8719
49,0.9246,0.992,0.9246,0.9253,0.4847,1.0619,0.9519,0.9246,3.959
50,0.9257,0.9921,0.9257,0.9262,0.479,1.0483,0.9507,0.9257,4.0381
51,0.9237,0.9919,0.9237,0.9243,0.479,1.0477,0.9495,0.9237,4.0864
52,0.9274,0.992,0.9274,0.9279,0.4827,1.0557,0.9505,0.9274,4.2804
53,0.9267,0.992,0.9267,0.9272,0.4783,1.0468,0.9512,0.9267,4.2912
54,0.9219,0.9919,0.9219,0.9227,0.4826,1.0546,0.9504,0.9219,4.39
55,0.9264,0.9921,0.9264,0.927,0.4786,1.047,0.9516,0.9264,4.4305
56,0.9246,0.9921,0.9246,0.9253,0.4776,1.0451,0.9521,0.9246,4.5694
57,0.9239,0.9922,0.9239,0.9246,0.477,1.0451,0.9515,0.9239,4.6436
58,0.9251,0.9921,0.9251,0.9256,0.4751,1.0404,0.9505,0.9251,4.6926
59,0.9278,0.9923,0.9278,0.9284,0.4735,1.037,0.9532,0.9278,4.781
