step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3409,0.7223,0.3409,0.2381,0.8525,18.5749,0.38,0.3409,0.5964
1,0.3114,0.7217,0.3114,0.2298,0.878,18.5833,0.39,0.3114,2.212
2,0.4404,0.8862,0.4404,0.3944,0.7011,4.1503,0.6074,0.4404,2.3551
3,0.5163,0.9184,0.5163,0.457,0.6367,3.9416,0.7011,0.5163,2.7591
4,0.6017,0.9313,0.6017,0.5411,0.5613,3.74,0.7583,0.6017,3.0401
5,0.6629,0.9407,0.6629,0.6087,0.4996,3.5748,0.801,0.6629,3.4509
6,0.6986,0.9808,0.6986,0.6622,0.4483,1.0954,0.8765,0.6986,3.765
7,0.7805,0.9882,0.7805,0.7662,0.3666,0.8708,0.9069,0.7805,4.2403
8,0.8122,0.9901,0.8122,0.804,0.3299,0.7804,0.9195,0.8122,3.9426
9,0.8639,0.9933,0.8639,0.8627,0.284,0.6661,0.94,0.8639,4.0793
10,0.8829,0.9943,0.8829,0.8828,0.2572,0.6025,0.9492,0.8829,4.7654
11,0.8991,0.9953,0.8991,0.8999,0.2308,0.5484,0.9585,0.8991,4.4926
12,0.8991,0.9954,0.8991,0.8997,0.2208,0.523,0.9604,0.8991,5.2592
13,0.9004,0.9959,0.9004,0.9003,0.2033,0.4805,0.9634,0.9004,5.547
14,0.9129,0.9967,0.9129,0.9129,0.1891,0.4501,0.97,0.9129,5.7156
15,0.9227,0.9971,0.9227,0.9229,0.1721,0.4136,0.9736,0.9227,5.8933
16,0.932,0.9975,0.932,0.9321,0.155,0.3784,0.977,0.932,6.154
17,0.9389,0.9979,0.9389,0.939,0.1406,0.3463,0.9795,0.9389,6.3113
18,0.9391,0.9981,0.9391,0.9392,0.1377,0.3368,0.9812,0.9391,6.2263
19,0.9392,0.9982,0.9392,0.9393,0.1352,0.3299,0.9816,0.9392,6.2988
20,0.9401,0.9982,0.9401,0.9402,0.1308,0.3182,0.9821,0.9401,6.797
21,0.9404,0.9982,0.9404,0.9406,0.1277,0.3092,0.9822,0.9404,6.9015
22,0.9395,0.9982,0.9395,0.9396,0.1239,0.2985,0.9821,0.9395,7.5523
23,0.9422,0.9983,0.9422,0.9423,0.1199,0.2888,0.9834,0.9422,7.7603
24,0.9447,0.9984,0.9447,0.9447,0.1151,0.2787,0.9845,0.9447,8.5875
25,0.9459,0.9985,0.9459,0.9459,0.1093,0.263,0.9852,0.9459,8.0763
26,0.9495,0.9987,0.9495,0.9495,0.1017,0.2471,0.9867,0.9495,8.4656
27,0.9517,0.9987,0.9517,0.9518,0.0981,0.2397,0.9874,0.9517,8.6619
28,0.9502,0.9987,0.9502,0.9503,0.0986,0.2383,0.9874,0.9502,9.5428
29,0.9506,0.9987,0.9506,0.9508,0.097,0.2331,0.9875,0.9506,10.6695
30,0.9534,0.9988,0.9534,0.9535,0.0923,0.2237,0.9884,0.9534,9.864
31,0.9539,0.9988,0.9539,0.9539,0.0911,0.2205,0.9887,0.9539,10.6737
32,0.9586,0.9989,0.9586,0.9587,0.0823,0.2035,0.9897,0.9586,10.4537
33,0.9607,0.999,0.9607,0.9608,0.0778,0.1941,0.9902,0.9607,10.8042
34,0.9605,0.9989,0.9605,0.9606,0.0781,0.1945,0.9901,0.9605,11.6075
35,0.9598,0.9989,0.9598,0.9599,0.0786,0.1937,0.9897,0.9598,11.2389
36,0.961,0.9989,0.961,0.9611,0.0754,0.1864,0.99,0.961,13.2828
37,0.9616,0.999,0.9616,0.9617,0.0744,0.1839,0.9902,0.9616,13.4289
38,0.9596,0.9989,0.9596,0.9597,0.0762,0.1853,0.9899,0.9596,11.7684
39,0.9601,0.9989,0.9601,0.9603,0.0752,0.1825,0.9901,0.9601,12.1062
40,0.9615,0.999,0.9615,0.9616,0.0729,0.1772,0.9905,0.9615,12.954
41,0.9631,0.999,0.9631,0.9632,0.0701,0.1713,0.9908,0.9631,12.145
42,0.9643,0.9991,0.9643,0.9644,0.0676,0.1653,0.9912,0.9643,12.5023
43,0.9639,0.9991,0.9639,0.9639,0.0677,0.1637,0.991,0.9639,13.7391
44,0.9647,0.9991,0.9647,0.9648,0.0663,0.1602,0.9913,0.9647,14.0714
45,0.9647,0.9991,0.9647,0.9648,0.0656,0.1574,0.9915,0.9647,13.666
46,0.9641,0.9992,0.9641,0.9642,0.066,0.1565,0.992,0.9641,13.0955
47,0.9638,0.9992,0.9638,0.9638,0.0655,0.1543,0.992,0.9638,13.6442
48,0.9643,0.9992,0.9643,0.9644,0.0645,0.1521,0.9921,0.9643,13.3108
49,0.9652,0.9992,0.9652,0.9653,0.0625,0.1481,0.9923,0.9652,14.2968
50,0.9654,0.9992,0.9654,0.9655,0.0624,0.1474,0.9924,0.9654,15.3736
51,0.9654,0.9992,0.9654,0.9655,0.0621,0.1466,0.9924,0.9654,14.9331
52,0.9662,0.9992,0.9662,0.9663,0.0606,0.1435,0.9926,0.9662,15.8181
53,0.9664,0.9992,0.9664,0.9665,0.0604,0.1424,0.9927,0.9664,16.0555
54,0.9665,0.9992,0.9665,0.9666,0.0597,0.1407,0.9927,0.9665,16.2391
55,0.9674,0.9993,0.9674,0.9675,0.0585,0.1384,0.993,0.9674,16.3911
56,0.9676,0.9993,0.9676,0.9677,0.0582,0.1378,0.993,0.9676,15.2168
57,0.9677,0.9993,0.9677,0.9677,0.0583,0.1375,0.993,0.9677,16.0415
58,0.9678,0.9993,0.9678,0.9679,0.0579,0.1358,0.993,0.9678,16.5639
59,0.9682,0.9993,0.9682,0.9683,0.057,0.1333,0.9931,0.9682,16.9106
