step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.507,0.7881,0.507,0.414,0.7262,13.5621,0.5135,0.507,1.6809
1,0.6058,0.9095,0.6058,0.5717,0.5682,6.0987,0.7488,0.6058,1.0695
2,0.6592,0.9162,0.6592,0.6152,0.4908,5.923,0.7885,0.6592,1.3266
3,0.7227,0.9187,0.7227,0.6775,0.4207,5.7597,0.8046,0.7227,1.163
4,0.7418,0.9532,0.7418,0.7128,0.3837,3.2966,0.8522,0.7418,1.1701
5,0.8061,0.9898,0.8061,0.7932,0.3189,0.7833,0.927,0.8061,1.2376
6,0.8655,0.992,0.8655,0.8671,0.2615,0.6308,0.9373,0.8655,9.4246
7,0.8817,0.9927,0.8817,0.8829,0.23,0.5607,0.9418,0.8817,11.3309
8,0.8832,0.9933,0.8832,0.8835,0.2194,0.533,0.9449,0.8832,13.4639
9,0.8995,0.9941,0.8995,0.9001,0.2042,0.4967,0.9516,0.8995,21.7889
10,0.8998,0.9942,0.8998,0.9003,0.1948,0.4746,0.9531,0.8998,12.5211
11,0.8951,0.9949,0.8951,0.8965,0.1922,0.4625,0.9581,0.8951,16.5087
12,0.9029,0.9955,0.9029,0.9049,0.1807,0.4342,0.9628,0.9029,17.3223
13,0.9075,0.9959,0.9075,0.9089,0.1705,0.4117,0.9654,0.9075,17.9387
14,0.9175,0.9965,0.9175,0.9185,0.1556,0.3805,0.9702,0.9175,18.766
15,0.9226,0.9968,0.9226,0.9233,0.1461,0.3584,0.9723,0.9226,22.981
16,0.9217,0.9967,0.9217,0.9221,0.1432,0.351,0.9716,0.9217,21.8731
17,0.922,0.9966,0.922,0.9223,0.141,0.3453,0.9707,0.922,23.6837
18,0.9255,0.9969,0.9255,0.9256,0.1353,0.3311,0.973,0.9255,30.3901
19,0.9282,0.9972,0.9282,0.9282,0.1308,0.3197,0.9753,0.9282,25.8352
20,0.9285,0.9972,0.9285,0.9285,0.1285,0.3133,0.9756,0.9285,31.2716
21,0.928,0.9973,0.928,0.9279,0.1269,0.3086,0.9756,0.928,37.1826
22,0.9296,0.9974,0.9296,0.9293,0.1234,0.3004,0.9763,0.9296,21.6376
23,0.9329,0.9976,0.9329,0.9327,0.1175,0.2859,0.9779,0.9329,28.3673
24,0.9335,0.9977,0.9335,0.9333,0.1151,0.2796,0.9784,0.9335,29.4846
25,0.9342,0.9978,0.9342,0.934,0.1137,0.2758,0.9794,0.9342,3.5639
26,0.9391,0.998,0.9391,0.9391,0.1071,0.2612,0.9817,0.9391,30.4581
27,0.9439,0.9983,0.9439,0.944,0.1018,0.2494,0.9836,0.9439,36.0247
28,0.9454,0.9983,0.9454,0.9457,0.0993,0.243,0.984,0.9454,22.5391
29,0.9472,0.9983,0.9472,0.9474,0.0963,0.2358,0.9843,0.9472,49.2325
30,0.9508,0.9985,0.9508,0.951,0.0913,0.2266,0.9857,0.9508,38.4219
31,0.9514,0.9985,0.9514,0.9515,0.0898,0.2226,0.9862,0.9514,38.5963
32,0.9518,0.9985,0.9518,0.9519,0.0891,0.2205,0.9862,0.9518,29.9572
33,0.9518,0.9985,0.9518,0.9518,0.0881,0.2175,0.9861,0.9518,24.7343
34,0.9528,0.9985,0.9528,0.9528,0.0859,0.2123,0.9864,0.9528,28.7257
35,0.9526,0.9985,0.9526,0.9526,0.0856,0.2109,0.9863,0.9526,37.2323
36,0.9534,0.9986,0.9534,0.9534,0.0839,0.207,0.987,0.9534,23.9557
37,0.9534,0.9986,0.9534,0.9535,0.0831,0.2044,0.9872,0.9534,18.144
38,0.9535,0.9986,0.9535,0.9536,0.0822,0.2022,0.9873,0.9535,35.1876
39,0.9544,0.9986,0.9544,0.9544,0.0808,0.1987,0.9875,0.9544,30.9531
40,0.954,0.9986,0.954,0.954,0.081,0.1982,0.9874,0.954,38.1003
41,0.9557,0.9987,0.9557,0.9557,0.0785,0.1929,0.988,0.9557,24.098
42,0.9558,0.9987,0.9558,0.9558,0.0779,0.1913,0.9879,0.9558,43.7644
43,0.9563,0.9987,0.9563,0.9563,0.0768,0.1884,0.9881,0.9563,37.8406
44,0.956,0.9987,0.956,0.956,0.0768,0.1878,0.9881,0.956,20.207
45,0.9567,0.9987,0.9567,0.9566,0.0764,0.1868,0.988,0.9567,11.576
46,0.9577,0.9987,0.9577,0.9576,0.0747,0.183,0.9884,0.9577,28.1172
47,0.9576,0.9987,0.9576,0.9576,0.0742,0.1817,0.9887,0.9576,24.9771
48,0.9582,0.9988,0.9582,0.9582,0.0729,0.1783,0.989,0.9582,29.3572
49,0.9591,0.9988,0.9591,0.9591,0.0716,0.175,0.9892,0.9591,33.0416
50,0.9583,0.9988,0.9583,0.9583,0.0723,0.1757,0.989,0.9583,30.8262
51,0.9586,0.9988,0.9586,0.9586,0.0716,0.1739,0.989,0.9586,25.9904
52,0.9589,0.9988,0.9589,0.9589,0.0713,0.1731,0.9891,0.9589,6.2146
53,0.9599,0.9988,0.9599,0.9599,0.07,0.1709,0.9893,0.9599,53.3336
54,0.9598,0.9988,0.9598,0.9598,0.0698,0.17,0.9893,0.9598,51.7667
55,0.9602,0.9988,0.9602,0.9601,0.0691,0.1684,0.9894,0.9602,66.4147
56,0.961,0.9988,0.961,0.9609,0.0679,0.1661,0.9897,0.961,67.2497
57,0.9614,0.9988,0.9614,0.9612,0.0669,0.1634,0.99,0.9614,66.4876
58,0.9616,0.9988,0.9616,0.9614,0.0666,0.1625,0.9899,0.9616,13.08
59,0.9617,0.9988,0.9617,0.9616,0.0662,0.1615,0.99,0.9617,31.2102
