step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.6495,0.902,0.6495,0.5856,0.5113,6.02,0.7337,0.6495,0.398
1,0.8327,0.9916,0.8327,0.8261,0.2778,0.6783,0.9368,0.8327,0.3699
2,0.9139,0.9962,0.9139,0.9144,0.173,0.4347,0.9701,0.9139,0.3946
3,0.9387,0.9979,0.9387,0.9388,0.1294,0.3343,0.9812,0.9387,0.357
4,0.9451,0.9981,0.9451,0.9452,0.1136,0.2918,0.9835,0.9451,0.369
5,0.9469,0.9984,0.9469,0.9469,0.1023,0.261,0.9855,0.9469,0.4086
6,0.9502,0.9985,0.9502,0.9504,0.0946,0.2404,0.9865,0.9502,0.3737
7,0.9521,0.9984,0.9521,0.9522,0.0896,0.2263,0.9865,0.9521,0.3605
8,0.9542,0.9985,0.9542,0.9543,0.084,0.2118,0.9871,0.9542,0.4404
9,0.9568,0.9987,0.9568,0.9568,0.0788,0.198,0.9883,0.9568,0.3738
10,0.9577,0.9987,0.9577,0.9577,0.0757,0.1899,0.9885,0.9577,0.3537
11,0.9596,0.9988,0.9596,0.9597,0.0716,0.1796,0.9893,0.9596,0.371
12,0.9616,0.9989,0.9616,0.9616,0.0685,0.1712,0.9899,0.9616,0.384
13,0.9627,0.9989,0.9627,0.9628,0.0658,0.1648,0.9904,0.9627,0.3584
14,0.9636,0.9989,0.9636,0.9636,0.0636,0.1586,0.9907,0.9636,0.3688
15,0.9642,0.999,0.9642,0.9642,0.0622,0.1547,0.9909,0.9642,0.3508
16,0.9656,0.999,0.9656,0.9656,0.0603,0.15,0.9912,0.9656,0.3564
17,0.9668,0.9991,0.9668,0.9668,0.0581,0.1426,0.9918,0.9668,0.3569
18,0.9678,0.9991,0.9678,0.9678,0.0562,0.1378,0.9922,0.9678,0.3675
19,0.9685,0.9992,0.9685,0.9685,0.055,0.1346,0.9924,0.9685,0.3524
20,0.9691,0.9992,0.9691,0.9691,0.054,0.1317,0.9926,0.9691,0.3851
21,0.9691,0.9992,0.9691,0.9691,0.0534,0.13,0.9927,0.9691,0.3526
22,0.9707,0.9992,0.9707,0.9707,0.0509,0.125,0.9932,0.9707,0.3602
23,0.9709,0.9992,0.9709,0.971,0.0505,0.1236,0.9932,0.9709,0.3508
24,0.9717,0.9993,0.9717,0.9717,0.0493,0.1207,0.9934,0.9717,0.3246
25,0.9713,0.9993,0.9713,0.9714,0.0492,0.1199,0.9934,0.9713,0.3357
26,0.9717,0.9993,0.9717,0.9717,0.0485,0.1178,0.9935,0.9717,0.3254
27,0.972,0.9993,0.972,0.972,0.0479,0.1161,0.9936,0.972,0.3625
28,0.9728,0.9993,0.9728,0.9728,0.0468,0.1136,0.9937,0.9728,0.3592
29,0.9734,0.9993,0.9734,0.9734,0.0457,0.1107,0.994,0.9734,0.3677
30,0.9735,0.9993,0.9735,0.9735,0.0453,0.1096,0.994,0.9735,0.3592
31,0.9734,0.9993,0.9734,0.9734,0.0452,0.1084,0.994,0.9734,0.3585
32,0.9737,0.9993,0.9737,0.9737,0.0448,0.1074,0.9941,0.9737,0.3653
33,0.9742,0.9994,0.9742,0.9742,0.0438,0.1051,0.9943,0.9742,0.3632
34,0.9743,0.9994,0.9743,0.9743,0.0438,0.1047,0.9942,0.9743,0.3532
35,0.9744,0.9994,0.9744,0.9744,0.0435,0.1036,0.9942,0.9744,0.3658
36,0.9745,0.9994,0.9745,0.9745,0.0433,0.1028,0.9943,0.9745,0.3696
37,0.9746,0.9994,0.9746,0.9746,0.0429,0.1021,0.9943,0.9746,0.3532
38,0.9748,0.9994,0.9748,0.9748,0.0426,0.1015,0.9943,0.9748,0.3669
39,0.9753,0.9994,0.9753,0.9753,0.042,0.1001,0.9944,0.9753,0.3637
40,0.9754,0.9994,0.9754,0.9754,0.0417,0.0992,0.9944,0.9754,0.373
41,0.9757,0.9994,0.9757,0.9758,0.0412,0.0982,0.9945,0.9757,0.3621
42,0.9757,0.9994,0.9757,0.9758,0.0411,0.0977,0.9945,0.9757,0.3633
43,0.9758,0.9994,0.9758,0.9758,0.0408,0.097,0.9946,0.9758,0.3473
44,0.9762,0.9994,0.9762,0.9762,0.0402,0.0956,0.9946,0.9762,0.3639
