step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0714,0.5,0.0714,0.0095,1.8571,33.4691,0.0714,0.0714,4313.6649
1,0.0982,0.5439,0.0982,0.0339,1.4662,30.9674,0.1015,0.0982,213.3726
2,0.125,0.5729,0.125,0.0624,1.3427,28.5008,0.1361,0.125,105.9952
3,0.1698,0.6052,0.1698,0.0938,1.1542,26.0214,0.1809,0.1698,711.4083
4,0.1975,0.6228,0.1975,0.1121,1.038,23.584,0.1968,0.1975,276.2353
5,0.2181,0.6571,0.2181,0.1475,0.9814,21.1403,0.245,0.2181,23.0867
6,0.2486,0.6597,0.2486,0.1586,0.9616,21.1239,0.2587,0.2486,189.2179
7,0.2753,0.6955,0.2753,0.2065,0.9193,18.6898,0.3211,0.2753,276.9014
8,0.2985,0.7247,0.2985,0.23,0.8779,16.2697,0.3439,0.2985,62.8322
9,0.3197,0.7562,0.3197,0.2645,0.8473,13.8561,0.3883,0.3197,105.6221
10,0.3778,0.7917,0.3778,0.3051,0.8104,11.4321,0.4383,0.3778,62.0702
11,0.3963,0.795,0.3963,0.3149,0.7857,11.3872,0.458,0.3963,36.2774
12,0.4261,0.8102,0.4261,0.3458,0.7768,11.3478,0.4815,0.4261,197.2753
13,0.454,0.8412,0.454,0.3861,0.7524,8.9369,0.5223,0.454,131.5179
14,0.483,0.8765,0.483,0.432,0.7322,6.5323,0.5833,0.483,42.6092
15,0.5172,0.9073,0.5172,0.4804,0.7133,4.1316,0.62,0.5172,81.5003
16,0.5266,0.9086,0.5266,0.4738,0.7067,4.1156,0.6203,0.5266,135.0843
17,0.4307,0.9059,0.4307,0.4111,0.715,4.1414,0.6189,0.4307,71.6101
18,0.3993,0.9024,0.3993,0.3909,0.7269,4.1634,0.6116,0.3993,106.572
19,0.4272,0.9322,0.4272,0.4311,0.7109,1.7829,0.6444,0.4272,47.0517
20,0.4609,0.9367,0.4609,0.4681,0.695,1.7264,0.6627,0.4609,61.2989
21,0.4708,0.9379,0.4708,0.47,0.6927,1.7234,0.6683,0.4708,74.8842
22,0.4508,0.9439,0.4508,0.4353,0.6839,1.7084,0.6993,0.4508,44.2859
23,0.4511,0.9444,0.4511,0.4343,0.6801,1.7014,0.7011,0.4511,70.3765
24,0.4474,0.9442,0.4474,0.4293,0.6813,1.7051,0.7011,0.4474,67.2753
25,0.4164,0.9434,0.4164,0.3971,0.69,1.731,0.7046,0.4164,59.7062
26,0.4475,0.9446,0.4475,0.435,0.6726,1.6842,0.7049,0.4475,59.1351
27,0.4711,0.9524,0.4711,0.4541,0.6549,1.6392,0.7287,0.4711,43.994
28,0.5011,0.9545,0.5011,0.4862,0.6423,1.6033,0.7346,0.5011,61.0484
29,0.5144,0.9557,0.5144,0.4986,0.6374,1.591,0.7406,0.5144,56.2802
30,0.5143,0.956,0.5143,0.4978,0.6348,1.586,0.742,0.5143,77.1065
31,0.5586,0.9572,0.5586,0.539,0.6163,1.542,0.7494,0.5586,65.1344
32,0.5827,0.9598,0.5827,0.5684,0.6028,1.4967,0.7563,0.5827,73.1592
33,0.561,0.9587,0.561,0.5424,0.6103,1.5141,0.746,0.561,75.5625
34,0.5589,0.9583,0.5589,0.5392,0.6114,1.517,0.745,0.5589,66.0228
35,0.5964,0.9627,0.5964,0.5738,0.5816,1.4495,0.7724,0.5964,69.4288
36,0.5808,0.9633,0.5808,0.5622,0.5855,1.4531,0.7776,0.5808,70.0843
37,0.6071,0.9655,0.6071,0.5848,0.5682,1.4153,0.7865,0.6071,73.6744
38,0.6148,0.9661,0.6148,0.5907,0.5597,1.399,0.7884,0.6148,104.7922
39,0.6134,0.9666,0.6134,0.5875,0.554,1.3886,0.7906,0.6134,82.6208
40,0.6303,0.9678,0.6303,0.6128,0.5452,1.3424,0.7975,0.6303,72.8908
41,0.6398,0.9689,0.6398,0.6179,0.5365,1.3295,0.8008,0.6398,65.4344
42,0.651,0.9711,0.651,0.6307,0.532,1.3083,0.8079,0.651,85.3339
43,0.682,0.9727,0.682,0.6656,0.5134,1.2587,0.8169,0.682,78.4863
44,0.7056,0.9737,0.7056,0.6891,0.5018,1.2311,0.823,0.7056,73.4642
45,0.7244,0.9775,0.7244,0.7088,0.4902,1.1989,0.8419,0.7244,65.0132
