step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0714,0.5,0.0714,0.0095,1.8571,33.4691,0.0714,0.0714,0.4681
1,0.1305,0.5486,0.1305,0.0436,1.3549,30.9595,0.1237,0.1305,0.455
2,0.1768,0.5763,0.1768,0.0771,1.166,28.4667,0.1624,0.1768,0.4913
3,0.1894,0.6115,0.1894,0.0972,1.07,26.0095,0.1957,0.1894,0.5053
4,0.2457,0.6492,0.2457,0.1477,0.9926,23.5507,0.2532,0.2457,0.5083
5,0.2416,0.6527,0.2416,0.1752,0.9934,23.5289,0.276,0.2416,0.4916
6,0.2598,0.6784,0.2598,0.2101,0.9504,21.1062,0.2993,0.2598,0.5118
7,0.2933,0.7075,0.2933,0.2374,0.9058,18.6704,0.3327,0.2933,0.5063
8,0.3026,0.7282,0.3026,0.2529,0.8824,16.2811,0.3535,0.3026,0.5074
9,0.2715,0.7286,0.2715,0.2213,0.9057,16.2871,0.3646,0.2715,0.5084
10,0.2852,0.7339,0.2852,0.2185,0.8951,16.2689,0.3762,0.2852,0.5228
11,0.2975,0.738,0.2975,0.2091,0.8846,16.2505,0.3865,0.2975,0.5102
12,0.3197,0.7383,0.3197,0.2343,0.8771,16.2366,0.3862,0.3197,0.517
13,0.3826,0.7779,0.3826,0.305,0.8198,13.7475,0.4573,0.3826,0.5084
14,0.3936,0.776,0.3936,0.3262,0.8105,13.7166,0.4565,0.3936,0.5228
15,0.422,0.7802,0.422,0.3441,0.7819,13.6681,0.4683,0.422,0.5266
16,0.4606,0.8153,0.4606,0.3998,0.7471,11.2199,0.515,0.4606,0.5258
17,0.4521,0.8169,0.4521,0.3833,0.7419,11.2064,0.5207,0.4521,0.5312
18,0.4812,0.8161,0.4812,0.4225,0.7293,11.1697,0.531,0.4812,0.5308
19,0.511,0.8521,0.511,0.4696,0.7,8.7377,0.5912,0.511,0.5221
20,0.5442,0.8549,0.5442,0.4952,0.6792,8.6975,0.6013,0.5442,0.5203
21,0.5549,0.855,0.5549,0.5077,0.6676,8.6758,0.6013,0.5549,0.5184
22,0.5317,0.8547,0.5317,0.4977,0.6845,8.6865,0.6012,0.5317,0.5281
23,0.5248,0.8539,0.5248,0.4863,0.6871,8.692,0.5983,0.5248,0.5352
24,0.5429,0.8843,0.5429,0.5199,0.6711,6.3017,0.6429,0.5429,0.5523
25,0.555,0.8842,0.555,0.5321,0.6621,6.2799,0.6409,0.555,0.5614
26,0.5604,0.8853,0.5604,0.5335,0.6529,6.2677,0.6435,0.5604,0.5254
27,0.5577,0.885,0.5577,0.5278,0.6521,6.2697,0.6435,0.5577,0.5395
28,0.5618,0.9157,0.5618,0.5382,0.64,3.8958,0.6726,0.5618,0.5737
29,0.5705,0.9426,0.5705,0.5535,0.6282,1.5427,0.7076,0.5705,0.56
30,0.5711,0.9415,0.5711,0.5599,0.6233,1.5226,0.7102,0.5711,3.6378
31,0.5683,0.9432,0.5683,0.5562,0.62,1.5199,0.7244,0.5683,2.383
32,0.5861,0.9459,0.5861,0.5809,0.6119,1.484,0.7314,0.5861,3.9527
33,0.6089,0.9491,0.6089,0.5958,0.5931,1.4458,0.7494,0.6089,2.4328
34,0.623,0.9533,0.623,0.6089,0.5808,1.4098,0.767,0.623,2.6371
35,0.649,0.9609,0.649,0.6448,0.5541,1.3109,0.7913,0.649,3.5856
36,0.6604,0.962,0.6604,0.657,0.5479,1.2898,0.7921,0.6604,2.4088
37,0.6584,0.9615,0.6584,0.6541,0.547,1.2878,0.7875,0.6584,3.4162
38,0.6684,0.9621,0.6684,0.6616,0.5378,1.2713,0.7884,0.6684,2.3002
39,0.6704,0.963,0.6704,0.6619,0.5284,1.2542,0.7907,0.6704,3.4601
40,0.678,0.9694,0.678,0.6755,0.5215,1.2096,0.8005,0.678,2.8378
41,0.6861,0.972,0.6861,0.6797,0.5069,1.1807,0.813,0.6861,2.9778
42,0.6989,0.9744,0.6989,0.6902,0.4949,1.1536,0.8303,0.6989,3.672
43,0.7207,0.9776,0.7207,0.7184,0.4817,1.1086,0.8491,0.7207,3.5922
44,0.7337,0.978,0.7337,0.7316,0.4727,1.087,0.8492,0.7337,3.3717
45,0.7301,0.9787,0.7301,0.7265,0.4704,1.0812,0.853,0.7301,3.5909
46,0.7315,0.979,0.7315,0.7264,0.4663,1.0818,0.8539,0.7315,3.889
47,0.7219,0.9801,0.7219,0.7154,0.4705,1.0835,0.8553,0.7219,2.8289
48,0.7202,0.9801,0.7202,0.7129,0.4691,1.0811,0.8555,0.7202,3.2134
49,0.7158,0.9798,0.7158,0.7089,0.4715,1.085,0.8536,0.7158,3.0626
50,0.6984,0.9815,0.6984,0.6943,0.4775,1.0912,0.8625,0.6984,2.6362
51,0.6984,0.982,0.6984,0.6937,0.4769,1.0928,0.8655,0.6984,2.9526
52,0.7273,0.9836,0.7273,0.713,0.4564,1.0637,0.8798,0.7273,2.4545
53,0.7363,0.9844,0.7363,0.7197,0.4457,1.0449,0.8853,0.7363,2.9937
54,0.7519,0.988,0.7519,0.746,0.4333,0.9973,0.9018,0.7519,2.6586
55,0.7556,0.9882,0.7556,0.749,0.4303,0.9873,0.9017,0.7556,2.3274
56,0.7661,0.9884,0.7661,0.761,0.4206,0.9696,0.9041,0.7661,3.4983
57,0.7891,0.9892,0.7891,0.7866,0.402,0.9253,0.9097,0.7891,4.2688
58,0.7909,0.9895,0.7909,0.7882,0.3986,0.9173,0.9114,0.7909,3.0637
59,0.7817,0.9899,0.7817,0.7786,0.4012,0.9178,0.9144,0.7817,4.64
