step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0714,0.5,0.0714,0.0095,1.8571,33.4691,0.0714,0.0714,0.4632
1,0.1126,0.5294,0.1126,0.0594,1.4472,30.9706,0.1213,0.1126,0.4664
2,0.1073,0.5333,0.1073,0.027,1.3705,30.9607,0.1255,0.1073,0.5038
3,0.1546,0.5663,0.1546,0.0563,1.1735,28.466,0.159,0.1546,0.4825
4,0.1653,0.5916,0.1653,0.0723,1.0772,26.0193,0.175,0.1653,0.4966
5,0.1988,0.6162,0.1988,0.1035,1.007,23.5769,0.2015,0.1988,0.5004
6,0.2159,0.6283,0.2159,0.1275,1.0171,23.5609,0.2347,0.2159,0.5239
7,0.252,0.6629,0.252,0.1732,0.9565,21.1065,0.2804,0.252,0.4976
8,0.2647,0.6915,0.2647,0.1988,0.9215,18.6902,0.3055,0.2647,0.5353
9,0.2769,0.6935,0.2769,0.1996,0.9112,18.6738,0.3125,0.2769,0.509
10,0.2771,0.7085,0.2771,0.2027,0.8924,16.3077,0.3188,0.2771,0.5123
11,0.2952,0.7403,0.2952,0.2325,0.8655,13.9062,0.353,0.2952,0.5242
12,0.3041,0.7756,0.3041,0.2495,0.8415,11.5038,0.4038,0.3041,0.5295
13,0.3252,0.7816,0.3252,0.249,0.8284,11.4827,0.4257,0.3252,0.5335
14,0.3394,0.7972,0.3394,0.2498,0.8099,11.4393,0.4572,0.3394,0.5179
15,0.365,0.8295,0.365,0.2867,0.7837,9.0304,0.4979,0.365,0.5251
16,0.3659,0.8448,0.3659,0.2926,0.775,6.6885,0.5041,0.3659,0.5256
17,0.4026,0.8817,0.4026,0.3435,0.7489,4.2744,0.5682,0.4026,0.5596
18,0.4243,0.8929,0.4243,0.377,0.7378,4.2164,0.5949,0.4243,0.545
19,0.4469,0.9021,0.4469,0.4098,0.7257,4.1529,0.6183,0.4469,0.5484
20,0.455,0.907,0.455,0.4057,0.7224,4.1461,0.6319,0.455,0.5443
