step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.6131,0.9279,0.6131,0.582,0.7172,1.8096,0.6949,0.6131,0.5136
1,0.6663,0.9541,0.6663,0.6574,0.6871,1.678,0.7605,0.6663,2.4714
2,0.595,0.9631,0.595,0.5784,0.6838,1.6675,0.8036,0.595,3.1992
3,0.6334,0.9706,0.6334,0.6119,0.6702,1.6165,0.821,0.6334,3.6091
4,0.7168,0.9811,0.7168,0.7206,0.6421,1.5056,0.87,0.7168,4.9505
5,0.7925,0.9842,0.7925,0.7963,0.6233,1.4462,0.8834,0.7925,6.0694
6,0.7941,0.9844,0.7941,0.7937,0.6192,1.4339,0.8804,0.7941,6.9879
7,0.8323,0.9866,0.8323,0.8336,0.6087,1.4096,0.8996,0.8323,8.1557
8,0.8511,0.9874,0.8511,0.8539,0.6194,1.4286,0.9034,0.8511,8.9881
9,0.8326,0.9885,0.8326,0.8375,0.6023,1.3838,0.9094,0.8326,10.0036
10,0.8417,0.9886,0.8417,0.8464,0.6036,1.381,0.9064,0.8417,9.5072
11,0.8513,0.9901,0.8513,0.8552,0.5992,1.3666,0.915,0.8513,12.1802
12,0.8399,0.9901,0.8399,0.8433,0.5967,1.362,0.9173,0.8399,13.1929
13,0.8541,0.9908,0.8541,0.8578,0.5977,1.3601,0.9214,0.8541,13.7935
14,0.8372,0.9903,0.8372,0.8405,0.6031,1.3764,0.9162,0.8372,13.8526
15,0.82,0.9903,0.82,0.8225,0.6007,1.3719,0.9154,0.82,15.9454
16,0.8285,0.9911,0.8285,0.8341,0.5922,1.3467,0.9216,0.8285,16.4715
17,0.8384,0.9914,0.8384,0.845,0.5938,1.3475,0.9236,0.8384,17.3641
18,0.8391,0.9912,0.8391,0.8454,0.5991,1.3611,0.9233,0.8391,18.8606
19,0.8426,0.9916,0.8426,0.8489,0.5965,1.3546,0.9266,0.8426,18.2499
20,0.8587,0.9919,0.8587,0.8638,0.5919,1.3389,0.9296,0.8587,20.5076
21,0.8466,0.9916,0.8466,0.853,0.5958,1.3491,0.9251,0.8466,21.383
22,0.838,0.9916,0.838,0.843,0.593,1.3439,0.9251,0.838,22.8901
23,0.8551,0.9917,0.8551,0.8608,0.5872,1.328,0.9261,0.8551,23.1203
24,0.8632,0.9919,0.8632,0.8683,0.5847,1.3223,0.9243,0.8632,24.7615
25,0.8558,0.9917,0.8558,0.862,0.5847,1.3194,0.9266,0.8558,25.7957
26,0.8582,0.9921,0.8582,0.8643,0.5829,1.3163,0.9295,0.8582,25.7509
27,0.8642,0.9924,0.8642,0.8697,0.5808,1.3071,0.9307,0.8642,28.8356
28,0.8604,0.9924,0.8604,0.8666,0.5809,1.3086,0.9302,0.8604,29.8245
29,0.8534,0.9921,0.8534,0.8598,0.5836,1.3136,0.9277,0.8534,30.817
30,0.8579,0.992,0.8579,0.8635,0.5855,1.3177,0.9273,0.8579,30.9904
