step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3027,0.7051,0.3027,0.2465,0.9067,11.7466,0.2897,0.3027,3.1627
1,0.262,0.758,0.262,0.2148,0.8797,9.3535,0.3736,0.262,3.2258
2,0.3685,0.8364,0.3685,0.3049,0.8115,4.5735,0.4802,0.3685,3.5908
3,0.4023,0.8717,0.4023,0.3504,0.7761,4.3793,0.5665,0.4023,3.1786
4,0.5256,0.9001,0.5256,0.4906,0.7312,4.181,0.6273,0.5256,3.1948
5,0.5753,0.9349,0.5753,0.5223,0.6991,1.8324,0.7009,0.5753,3.4421
6,0.6035,0.9382,0.6035,0.5584,0.6854,1.7852,0.7242,0.6035,3.2671
7,0.6148,0.9472,0.6148,0.5477,0.6674,1.7737,0.7565,0.6148,3.3582
8,0.6569,0.9553,0.6569,0.6147,0.6525,1.6416,0.7857,0.6569,3.2119
9,0.6953,0.9608,0.6953,0.6565,0.6393,1.5808,0.806,0.6953,3.5826
10,0.7009,0.9618,0.7009,0.6688,0.6292,1.5698,0.8067,0.7009,3.3345
11,0.7324,0.9672,0.7324,0.7107,0.6146,1.5041,0.8316,0.7324,3.3243
12,0.7322,0.9677,0.7322,0.7063,0.6117,1.4845,0.8323,0.7322,3.4226
13,0.7579,0.9726,0.7579,0.7408,0.6053,1.4573,0.8514,0.7579,3.4673
14,0.7792,0.9756,0.7792,0.772,0.5905,1.4131,0.8641,0.7792,3.4843
15,0.8038,0.9785,0.8038,0.8002,0.5779,1.3705,0.8731,0.8038,3.4452
16,0.8229,0.9778,0.8229,0.8228,0.5727,1.3529,0.8756,0.8229,3.453
17,0.8263,0.9794,0.8263,0.8266,0.5703,1.3388,0.8782,0.8263,3.4537
18,0.8173,0.9792,0.8173,0.8174,0.5675,1.334,0.8739,0.8173,3.4818
19,0.8325,0.9815,0.8325,0.8304,0.5593,1.3151,0.8868,0.8325,3.452
20,0.8423,0.9831,0.8423,0.8415,0.5481,1.2859,0.8947,0.8423,3.6259
21,0.8498,0.9843,0.8498,0.8496,0.5403,1.2682,0.9067,0.8498,3.7266
22,0.8446,0.9841,0.8446,0.8456,0.5414,1.2645,0.8985,0.8446,3.7375
