step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.6712,0.9492,0.6712,0.653,0.6819,1.6851,0.7723,0.6712,3.5112
1,0.776,0.9738,0.776,0.7519,0.5823,1.4031,0.8513,0.776,3.3662
2,0.8091,0.9787,0.8091,0.7925,0.5388,1.29,0.8801,0.8091,3.3583
3,0.8443,0.9825,0.8443,0.8406,0.5021,1.1944,0.8965,0.8443,4.0081
4,0.8572,0.9842,0.8572,0.8544,0.4871,1.1569,0.9062,0.8572,4.4576
5,0.8643,0.9851,0.8643,0.8617,0.4681,1.1154,0.9129,0.8643,3.6046
6,0.8704,0.9878,0.8704,0.8682,0.455,1.0827,0.9211,0.8704,3.904
7,0.8722,0.9884,0.8722,0.8699,0.4484,1.0697,0.9244,0.8722,3.8301
8,0.8799,0.9892,0.8799,0.8781,0.4299,1.0256,0.9281,0.8799,3.9702
9,0.8859,0.9896,0.8859,0.8843,0.429,1.0209,0.9287,0.8859,3.9617
10,0.8961,0.9907,0.8961,0.8956,0.4185,0.9958,0.9364,0.8961,4.3352
11,0.8948,0.9908,0.8948,0.8944,0.4148,0.9868,0.9373,0.8948,4.1076
12,0.8986,0.9914,0.8986,0.8985,0.4107,0.9774,0.9398,0.8986,4.7665
13,0.8965,0.9912,0.8965,0.8962,0.3988,0.952,0.9384,0.8965,5.2507
14,0.8993,0.9918,0.8993,0.899,0.3934,0.9408,0.9412,0.8993,4.5859
15,0.8979,0.9916,0.8979,0.8977,0.393,0.9399,0.9403,0.8979,4.5906
16,0.8997,0.9917,0.8997,0.8992,0.3907,0.9354,0.9406,0.8997,4.6221
17,0.8982,0.9916,0.8982,0.8976,0.3846,0.9231,0.94,0.8982,4.7088
18,0.9034,0.9925,0.9034,0.903,0.3814,0.9123,0.9443,0.9034,5.3491
19,0.9006,0.9923,0.9006,0.9005,0.3766,0.903,0.9442,0.9006,5.4218
20,0.9048,0.9926,0.9048,0.9044,0.3716,0.8943,0.9461,0.9048,5.9191
21,0.9048,0.9925,0.9048,0.9045,0.3713,0.8911,0.9456,0.9048,6.4607
22,0.9053,0.9928,0.9053,0.9054,0.3676,0.8822,0.9472,0.9053,6.3694
23,0.9064,0.993,0.9064,0.9064,0.3653,0.877,0.948,0.9064,6.086
24,0.9038,0.993,0.9038,0.904,0.3646,0.8766,0.9482,0.9038,5.4837
25,0.9053,0.9931,0.9053,0.9054,0.3593,0.8659,0.9498,0.9053,5.4866
26,0.9039,0.9929,0.9039,0.904,0.3603,0.8677,0.9479,0.9039,5.6167
27,0.9058,0.9933,0.9058,0.9058,0.3538,0.8545,0.9509,0.9058,5.6814
28,0.9064,0.9932,0.9064,0.9063,0.3577,0.8629,0.9495,0.9064,5.835
29,0.9088,0.9936,0.9088,0.9088,0.3504,0.8454,0.9519,0.9088,7.1281
30,0.9066,0.9934,0.9066,0.9068,0.3498,0.8452,0.951,0.9066,6.5357
31,0.9075,0.9934,0.9075,0.9074,0.3505,0.8459,0.9508,0.9075,6.7488
32,0.9055,0.9935,0.9055,0.9056,0.3472,0.838,0.9507,0.9055,6.4003
33,0.9063,0.9934,0.9063,0.9062,0.3473,0.8408,0.951,0.9063,6.4311
34,0.9118,0.9939,0.9118,0.9119,0.3409,0.8241,0.9542,0.9118,6.3078
35,0.9104,0.9938,0.9104,0.9102,0.3412,0.8257,0.9535,0.9104,6.6417
36,0.9098,0.9941,0.9098,0.9099,0.3395,0.8194,0.9535,0.9098,7.2538
37,0.9106,0.9939,0.9106,0.9106,0.3374,0.8186,0.9537,0.9106,6.8008
38,0.9098,0.994,0.9098,0.9097,0.3358,0.8115,0.9536,0.9098,6.902
39,0.9085,0.9939,0.9085,0.9085,0.3352,0.8142,0.954,0.9085,6.9331
40,0.9115,0.9941,0.9115,0.9112,0.3356,0.8124,0.9541,0.9115,7.2016
41,0.9115,0.994,0.9115,0.9113,0.3345,0.8109,0.9545,0.9115,7.5235
42,0.9135,0.9943,0.9135,0.9134,0.331,0.8026,0.9554,0.9135,7.2351
43,0.9123,0.994,0.9123,0.9122,0.3304,0.8019,0.9548,0.9123,7.4559
44,0.9143,0.9944,0.9143,0.914,0.3291,0.7981,0.9563,0.9143,7.8247
45,0.9142,0.9944,0.9142,0.9143,0.3272,0.7935,0.9571,0.9142,8.0147
46,0.9137,0.9943,0.9137,0.9135,0.3249,0.7891,0.9563,0.9137,8.0113
47,0.9139,0.9943,0.9139,0.9139,0.3253,0.7907,0.9564,0.9139,8.079
48,0.9162,0.9945,0.9162,0.916,0.322,0.7821,0.9569,0.9162,8.8539
49,0.9137,0.9943,0.9137,0.9137,0.3222,0.7826,0.9564,0.9137,8.4629
50,0.9153,0.9944,0.9153,0.9153,0.3212,0.7802,0.9575,0.9153,8.3254
51,0.9153,0.9946,0.9153,0.9153,0.3184,0.7756,0.9584,0.9153,8.3519
52,0.9156,0.9948,0.9156,0.9154,0.3182,0.7745,0.9584,0.9156,9.2098
53,0.9153,0.9947,0.9153,0.9152,0.3182,0.7736,0.9584,0.9153,9.9797
54,0.916,0.9947,0.916,0.9159,0.3166,0.7727,0.9581,0.916,9.1837
55,0.9164,0.9948,0.9164,0.9164,0.3158,0.7692,0.9593,0.9164,10.5634
56,0.9161,0.9947,0.9161,0.916,0.314,0.7661,0.9586,0.9161,11.6561
57,0.918,0.9948,0.918,0.9178,0.3135,0.7649,0.9591,0.918,9.589
58,0.9146,0.9948,0.9146,0.9146,0.3129,0.762,0.9583,0.9146,9.4823
59,0.917,0.9946,0.917,0.917,0.3144,0.7664,0.9583,0.917,10.1452
