step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0714,0.5,0.0714,0.0095,1.8571,33.4691,0.0714,0.0714,0.4274
1,0.0904,0.5092,0.0904,0.0272,1.3612,30.9893,0.0872,0.0904,0.5996
2,0.0715,0.5054,0.0715,0.0096,1.4161,31.0031,0.092,0.0715,0.5491
3,0.0715,0.5075,0.0715,0.0096,1.4147,31.0051,0.0987,0.0715,0.5595
4,0.0814,0.5302,0.0814,0.0257,1.2247,28.5514,0.1103,0.0814,0.5609
5,0.0806,0.5482,0.0806,0.0248,1.234,28.549,0.1081,0.0806,0.6457
6,0.1159,0.5544,0.1159,0.0395,1.1983,28.5331,0.1317,0.1159,0.5879
7,0.1242,0.5348,0.1242,0.0332,1.2243,28.5581,0.1256,0.1242,0.6326
8,0.1209,0.5669,0.1209,0.0405,1.145,26.1335,0.1465,0.1209,0.6291
9,0.1092,0.5385,0.1092,0.0365,1.1566,26.1619,0.1322,0.1092,0.6324
10,0.1188,0.5704,0.1188,0.0348,1.1037,23.7565,0.1392,0.1188,0.5896
11,0.1229,0.5747,0.1229,0.0392,1.068,21.4007,0.1566,0.1229,0.6457
12,0.1337,0.5985,0.1337,0.0389,1.071,21.3783,0.1794,0.1337,0.6767
13,0.1171,0.5492,0.1171,0.0401,1.0425,19.1108,0.1495,0.1171,0.652
14,0.1386,0.603,0.1386,0.0564,1.0092,18.963,0.1876,0.1386,0.6147
15,0.1233,0.6388,0.1233,0.0511,0.9858,16.5881,0.2028,0.1233,0.6589
16,0.1767,0.6555,0.1767,0.0996,0.9618,16.5421,0.2347,0.1767,0.6628
17,0.2059,0.6404,0.2059,0.1142,0.9603,16.5574,0.2174,0.2059,0.6922
18,0.2163,0.6445,0.2163,0.138,0.9571,16.5519,0.2333,0.2163,0.6899
19,0.2507,0.6872,0.2507,0.1447,0.9399,16.5184,0.2903,0.2507,0.6443
20,0.2991,0.6869,0.2991,0.1893,0.9263,16.4787,0.294,0.2991,0.682
