step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.237,0.6692,0.237,0.1474,0.9532,18.8446,0.2742,0.237,643.9109
1,0.3338,0.8031,0.3338,0.2638,0.859,6.9248,0.3882,0.3338,224.193
2,0.3511,0.8083,0.3511,0.2814,0.8188,6.8337,0.4336,0.3511,101.6283
3,0.4181,0.8805,0.4181,0.3512,0.7732,2.2036,0.57,0.4181,95.3058
4,0.515,0.9101,0.515,0.4589,0.7447,2.2829,0.6664,0.515,98.4974
5,0.6283,0.9286,0.6283,0.5769,0.7119,2.1641,0.7224,0.6283,115.0728
6,0.6818,0.9443,0.6818,0.6382,0.689,2.0748,0.7708,0.6818,124.0773
7,0.6949,0.9567,0.6949,0.6474,0.6699,1.6837,0.7942,0.6949,140.1847
8,0.7516,0.9675,0.7516,0.7276,0.6504,1.5738,0.8281,0.7516,205.3379
9,0.7764,0.9717,0.7764,0.7574,0.6286,1.5117,0.8451,0.7764,166.5141
10,0.7921,0.9754,0.7921,0.7767,0.6168,1.4744,0.8616,0.7921,219.2113
11,0.8041,0.9736,0.8041,0.788,0.6097,1.4562,0.8585,0.8041,210.7562
12,0.8127,0.9743,0.8127,0.7994,0.5938,1.4139,0.8614,0.8127,211.6669
13,0.8393,0.9781,0.8393,0.8355,0.5822,1.3739,0.8768,0.8393,219.9436
14,0.8448,0.9809,0.8448,0.8418,0.5759,1.3506,0.886,0.8448,252.7632
15,0.8566,0.9837,0.8566,0.855,0.5665,1.3263,0.8994,0.8566,266.2055
16,0.8663,0.9848,0.8663,0.8658,0.5542,1.2948,0.9065,0.8663,255.6172
17,0.8579,0.9844,0.8579,0.8588,0.5482,1.2833,0.9005,0.8579,313.9775
18,0.8738,0.987,0.8738,0.8747,0.5421,1.2671,0.9175,0.8738,343.4886
19,0.8727,0.9867,0.8727,0.874,0.5418,1.2622,0.9144,0.8727,359.8564
20,0.8737,0.988,0.8737,0.875,0.5325,1.2419,0.9181,0.8737,366.9613
21,0.8701,0.9871,0.8701,0.8715,0.527,1.2322,0.9182,0.8701,359.8046
22,0.8712,0.9879,0.8712,0.8723,0.5264,1.2261,0.9205,0.8712,388.6919
23,0.8805,0.989,0.8805,0.8821,0.5181,1.2087,0.9269,0.8805,370.409
24,0.8729,0.9882,0.8729,0.8742,0.5118,1.1981,0.9223,0.8729,431.625
25,0.8783,0.9892,0.8783,0.879,0.4995,1.1707,0.9296,0.8783,474.2418
26,0.8888,0.9898,0.8888,0.889,0.4922,1.1525,0.9301,0.8888,406.6325
27,0.8879,0.9899,0.8879,0.889,0.4958,1.158,0.9313,0.8879,407.2163
28,0.888,0.9899,0.888,0.8894,0.4985,1.1631,0.9306,0.888,490.0321
29,0.8945,0.9907,0.8945,0.8959,0.4836,1.1294,0.9356,0.8945,593.7163
30,0.8967,0.9911,0.8967,0.898,0.481,1.1234,0.9377,0.8967,487.426
31,0.9014,0.9915,0.9014,0.9027,0.4796,1.1191,0.9399,0.9014,554.8914
32,0.9012,0.9916,0.9012,0.9021,0.4786,1.1179,0.9403,0.9012,469.4276
33,0.9013,0.992,0.9013,0.9024,0.4713,1.1038,0.9429,0.9013,479.0233
34,0.9006,0.9916,0.9006,0.9015,0.4718,1.104,0.941,0.9006,571.7831
35,0.9017,0.9917,0.9017,0.9022,0.4663,1.092,0.9407,0.9017,692.2804
36,0.9037,0.9919,0.9037,0.9045,0.4635,1.0862,0.9427,0.9037,560.6289
37,0.8992,0.9923,0.8992,0.8998,0.4571,1.0726,0.9431,0.8992,651.8583
38,0.8988,0.9922,0.8988,0.8997,0.4589,1.0764,0.9441,0.8988,805.7834
39,0.8978,0.9918,0.8978,0.8988,0.4556,1.0688,0.9423,0.8978,700.577
40,0.8972,0.9922,0.8972,0.8983,0.4499,1.0556,0.9447,0.8972,663.3977
41,0.8977,0.9923,0.8977,0.8991,0.45,1.0564,0.9451,0.8977,834.323
42,0.8934,0.9921,0.8934,0.8946,0.4511,1.0595,0.9432,0.8934,616.3165
43,0.8947,0.992,0.8947,0.8959,0.4469,1.0539,0.9456,0.8947,789.4545
44,0.8957,0.9924,0.8957,0.897,0.4443,1.0464,0.9455,0.8957,656.4766
45,0.9003,0.9925,0.9003,0.9013,0.4395,1.0351,0.9465,0.9003,679.2285
46,0.8956,0.9928,0.8956,0.8961,0.4335,1.024,0.948,0.8956,670.9076
47,0.898,0.9926,0.898,0.8988,0.4338,1.023,0.9468,0.898,686.4754
48,0.899,0.9926,0.899,0.8997,0.436,1.0285,0.9473,0.899,686.1888
49,0.9012,0.9925,0.9012,0.9022,0.4258,1.0089,0.9472,0.9012,796.5944
50,0.8967,0.993,0.8967,0.8979,0.4296,1.0129,0.9486,0.8967,748.6408
51,0.9038,0.9927,0.9038,0.9048,0.426,1.0059,0.9474,0.9038,733.2353
52,0.9016,0.9926,0.9016,0.9026,0.4231,1.001,0.9488,0.9016,759.0468
53,0.9053,0.993,0.9053,0.9064,0.419,0.9913,0.9495,0.9053,797.6876
54,0.9046,0.9929,0.9046,0.9056,0.4201,0.9916,0.9492,0.9046,747.7878
55,0.9043,0.9933,0.9043,0.9051,0.4213,0.9976,0.9511,0.9043,814.953
56,0.9028,0.9929,0.9028,0.9037,0.4163,0.9864,0.9492,0.9028,889.3729
