step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2023,0.646,0.2023,0.1066,0.9994,21.2478,0.2441,0.2023,0.663
1,0.3006,0.6723,0.3006,0.1788,0.9276,21.1212,0.2901,0.3006,0.853
2,0.3622,0.7906,0.3622,0.3058,0.8279,11.4962,0.4444,0.3622,0.8718
3,0.4747,0.8358,0.4747,0.392,0.7878,9.0471,0.5387,0.4747,0.9243
4,0.4983,0.878,0.4983,0.4299,0.7655,6.6165,0.621,0.4983,0.9944
5,0.6088,0.9195,0.6088,0.5712,0.7273,4.1481,0.7175,0.6088,1.0075
6,0.6653,0.9549,0.6653,0.6392,0.6936,1.702,0.7754,0.6653,1.0984
7,0.7129,0.9596,0.7129,0.7036,0.6866,1.6527,0.7911,0.7129,0.9912
8,0.7359,0.9677,0.7359,0.7208,0.6641,1.5868,0.8166,0.7359,0.9901
9,0.7107,0.965,0.7107,0.6868,0.6673,1.6048,0.8215,0.7107,1.0363
10,0.735,0.97,0.735,0.7186,0.6668,1.5866,0.8246,0.735,1.0548
11,0.7502,0.974,0.7502,0.7346,0.6606,1.5673,0.8381,0.7502,1.1049
12,0.768,0.9759,0.768,0.7506,0.653,1.5494,0.8529,0.768,1.1077
13,0.786,0.9755,0.786,0.7796,0.6544,1.5477,0.8566,0.786,1.1185
14,0.7869,0.9795,0.7869,0.7755,0.6537,1.5345,0.8591,0.7869,1.1324
15,0.8029,0.9795,0.8029,0.7911,0.6351,1.4965,0.8685,0.8029,1.1857
16,0.8146,0.9812,0.8146,0.8087,0.638,1.4939,0.8702,0.8146,1.1268
17,0.8337,0.9836,0.8337,0.8313,0.6279,1.4597,0.8823,0.8337,1.2275
18,0.8413,0.985,0.8413,0.84,0.6223,1.4415,0.8868,0.8413,1.2415
19,0.8544,0.9867,0.8544,0.8547,0.6109,1.4133,0.8987,0.8544,1.2647
20,0.8498,0.9864,0.8498,0.8495,0.6162,1.4224,0.8976,0.8498,1.2987
21,0.8554,0.9868,0.8554,0.8561,0.6117,1.4081,0.8956,0.8554,1.3043
22,0.8464,0.9873,0.8464,0.847,0.6175,1.4207,0.9029,0.8464,1.2843
23,0.8547,0.987,0.8547,0.8542,0.6195,1.427,0.9008,0.8547,1.3521
24,0.8621,0.9884,0.8621,0.8631,0.6086,1.3967,0.9114,0.8621,1.3677
25,0.872,0.9894,0.872,0.8717,0.6066,1.3917,0.9148,0.872,1.4191
26,0.8446,0.988,0.8446,0.8436,0.6146,1.416,0.9087,0.8446,1.3778
27,0.8585,0.9888,0.8585,0.8586,0.6094,1.4009,0.909,0.8585,1.4424
28,0.8588,0.9886,0.8588,0.8574,0.6061,1.3904,0.9106,0.8588,1.4242
29,0.8666,0.9892,0.8666,0.8663,0.6016,1.3786,0.9147,0.8666,1.4899
30,0.8628,0.9894,0.8628,0.8639,0.6024,1.3793,0.9155,0.8628,1.3608
31,0.8689,0.9903,0.8689,0.8695,0.6018,1.3773,0.9253,0.8689,1.3834
32,0.8659,0.9903,0.8659,0.8663,0.604,1.3824,0.9233,0.8659,1.3948
33,0.8638,0.9901,0.8638,0.8644,0.5988,1.3704,0.9182,0.8638,1.4321
