step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.1897
1,0.0372,0.518,0.0372,0.005,1.5365,34.5227,0.0357,0.0372,0.1824
2,0.0505,0.5227,0.0505,0.0067,1.3474,33.7838,0.0366,0.0505,0.2135
3,0.0656,0.5341,0.0656,0.0127,1.2666,33.034,0.0541,0.0656,0.2242
4,0.0709,0.5399,0.0709,0.0168,1.2088,32.3081,0.059,0.0709,0.225
5,0.0585,0.5422,0.0585,0.0206,1.3084,32.314,0.0609,0.0585,0.2223
6,0.078,0.5522,0.078,0.0378,1.2349,31.5615,0.0812,0.078,0.2261
7,0.078,0.5531,0.078,0.0379,1.2016,30.8568,0.0819,0.078,0.2214
8,0.086,0.5634,0.086,0.0457,1.1635,30.1278,0.0891,0.086,0.2149
9,0.1073,0.5753,0.1073,0.0577,1.1219,29.3782,0.1079,0.1073,0.2145
10,0.1179,0.5821,0.1179,0.0636,1.091,28.6515,0.111,0.1179,0.2226
11,0.1401,0.5938,0.1401,0.0729,1.0619,27.9044,0.1295,0.1401,0.2201
12,0.1498,0.6034,0.1498,0.0828,1.0431,27.18,0.1353,0.1498,0.2147
13,0.1622,0.6141,0.1622,0.0891,1.0222,26.4408,0.1493,0.1622,0.2145
14,0.18,0.6238,0.18,0.0992,1.0043,25.7074,0.1598,0.18,0.2122
15,0.1844,0.6247,0.1844,0.0989,0.9988,25.6924,0.1687,0.1844,0.2145
16,0.1897,0.6282,0.1897,0.1056,0.9895,24.9955,0.1728,0.1897,0.2256
17,0.2048,0.638,0.2048,0.1161,0.9769,24.2611,0.1794,0.2048,0.2228
18,0.2101,0.6464,0.2101,0.1249,0.9664,23.5461,0.1915,0.2101,0.2244
19,0.2154,0.6471,0.2154,0.1283,0.9658,23.5382,0.1942,0.2154,0.2315
20,0.2296,0.6564,0.2296,0.1411,0.9525,22.8119,0.2043,0.2296,0.2229
21,0.2261,0.6547,0.2261,0.1421,0.9667,22.8307,0.1977,0.2261,0.2202
22,0.2367,0.6635,0.2367,0.153,0.9552,22.1051,0.2084,0.2367,0.2163
23,0.2385,0.6705,0.2385,0.1581,0.9488,21.4039,0.211,0.2385,0.2222
24,0.2385,0.6759,0.2385,0.1579,0.9445,20.7154,0.2123,0.2385,0.2335
