step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1463,0.5848,0.1463,0.0564,1.0513,28.5911,0.1243,0.1463,0.0078
1,0.1454,0.5848,0.1454,0.0552,1.0645,28.5909,0.1247,0.1454,0.1514
2,0.1383,0.5829,0.1383,0.0537,1.0896,28.6007,0.1253,0.1383,0.1502
3,0.1356,0.5821,0.1356,0.051,1.0944,28.6017,0.1253,0.1356,0.1631
4,0.1339,0.5817,0.1339,0.05,1.1111,28.6073,0.1269,0.1339,0.1602
5,0.1711,0.6069,0.1711,0.0718,1.0638,26.4238,0.1532,0.1711,0.0488
6,0.1773,0.6052,0.1773,0.073,1.067,26.4212,0.1576,0.1773,0.1445
7,0.1995,0.6113,0.1995,0.0843,1.0458,25.6914,0.1807,0.1995,0.1659
8,0.2482,0.6673,0.2482,0.139,0.9681,20.0582,0.2248,0.2482,0.167
9,0.25,0.6682,0.25,0.1378,0.9662,20.0527,0.2263,0.25,0.1649
10,0.2686,0.6946,0.2686,0.1619,0.9412,17.9331,0.2482,0.2686,0.1742
11,0.2819,0.7207,0.2819,0.1871,0.9166,16.4621,0.2752,0.2819,0.1662
12,0.289,0.7226,0.289,0.1935,0.9137,16.4427,0.2747,0.289,3.2981
13,0.3156,0.7455,0.3156,0.2292,0.8919,14.9864,0.3084,0.3156,2.6086
14,0.3262,0.7487,0.3262,0.2377,0.8876,14.957,0.317,0.3262,1.1701
15,0.3457,0.779,0.3457,0.272,0.8547,12.8016,0.3609,0.3457,4.4156
16,0.367,0.7911,0.367,0.2897,0.8308,12.0499,0.3789,0.367,0.8009
17,0.3741,0.8104,0.3741,0.3003,0.8163,10.637,0.3917,0.3741,3.1892
18,0.3794,0.8123,0.3794,0.3051,0.8165,10.6263,0.3951,0.3794,2.3147
19,0.4043,0.823,0.4043,0.3314,0.7897,9.8784,0.4106,0.4043,4.678
20,0.4379,0.8435,0.4379,0.3812,0.7517,9.0325,0.4552,0.4379,3.315
21,0.4424,0.8447,0.4424,0.3832,0.7496,9.0219,0.4562,0.4424,3.8012
22,0.4548,0.8669,0.4548,0.3997,0.7301,7.5797,0.4823,0.4548,3.0253
23,0.4574,0.8685,0.4574,0.4003,0.7231,7.5569,0.4856,0.4574,2.0491
24,0.4645,0.8671,0.4645,0.4071,0.7242,7.5745,0.4868,0.4645,2.3825
25,0.4707,0.8679,0.4707,0.413,0.7156,7.5433,0.4939,0.4707,3.7803
26,0.4734,0.8715,0.4734,0.4154,0.7029,7.4913,0.5031,0.4734,5.0645
27,0.4823,0.8716,0.4823,0.4232,0.7017,7.4951,0.5051,0.4823,2.1306
28,0.4876,0.872,0.4876,0.4269,0.698,7.4865,0.5075,0.4876,3.5748
29,0.4929,0.8736,0.4929,0.4287,0.6924,7.4612,0.5145,0.4929,3.3375
30,0.5062,0.8759,0.5062,0.4428,0.6822,7.4207,0.5246,0.5062,4.9402
31,0.5248,0.8884,0.5248,0.464,0.6589,6.6589,0.5507,0.5248,1.669
32,0.5496,0.9006,0.5496,0.4947,0.6268,5.892,0.5752,0.5496,6.2179
33,0.5488,0.9011,0.5488,0.4912,0.6242,5.8858,0.5779,0.5488,1.482
34,0.5647,0.9239,0.5647,0.518,0.5994,4.4335,0.6153,0.5647,1.2691
35,0.5674,0.9244,0.5674,0.5196,0.5979,4.4259,0.6169,0.5674,5.3734
36,0.5736,0.9253,0.5736,0.5263,0.5895,4.4024,0.62,0.5736,2.0967
37,0.5878,0.9381,0.5878,0.5452,0.5715,3.656,0.6424,0.5878,1.5774
38,0.5966,0.9405,0.5966,0.5531,0.5579,3.6032,0.6567,0.5966,1.5637
39,0.594,0.9413,0.594,0.5509,0.5598,3.6005,0.6559,0.594,5.6316
40,0.594,0.9425,0.594,0.5513,0.5581,3.5758,0.6595,0.594,3.6891
41,0.5975,0.9422,0.5975,0.5559,0.5593,3.5805,0.6578,0.5975,4.395
42,0.6135,0.9426,0.6135,0.5777,0.5517,3.5502,0.6598,0.6135,8.2088
43,0.6161,0.9531,0.6161,0.5794,0.5482,2.8628,0.6715,0.6161,4.616
44,0.6223,0.9631,0.6223,0.5894,0.5348,2.1443,0.6864,0.6223,7.7818
45,0.6339,0.964,0.6339,0.6061,0.5234,2.1104,0.6948,0.6339,1.1075
46,0.633,0.9642,0.633,0.6066,0.5209,2.1116,0.6971,0.633,7.3818
47,0.641,0.9668,0.641,0.6172,0.5074,2.0341,0.7115,0.641,1.536
48,0.6445,0.9677,0.6445,0.6276,0.5007,1.9923,0.7161,0.6445,4.945
49,0.6507,0.9679,0.6507,0.6346,0.498,1.9796,0.7166,0.6507,4.7174
50,0.6676,0.9761,0.6676,0.6526,0.4787,1.3047,0.7281,0.6676,5.5211
51,0.6693,0.9771,0.6693,0.6547,0.4781,1.2954,0.7284,0.6693,7.4598
52,0.6773,0.9777,0.6773,0.6679,0.4676,1.2614,0.7359,0.6773,7.1054
53,0.6738,0.9791,0.6738,0.665,0.4587,1.2283,0.7483,0.6738,2.1595
54,0.6791,0.9795,0.6791,0.6694,0.4558,1.2184,0.7502,0.6791,3.7535
55,0.6853,0.9794,0.6853,0.6761,0.4517,1.214,0.7518,0.6853,7.3095
56,0.6941,0.9798,0.6941,0.6851,0.4434,1.1963,0.7554,0.6941,5.7582
57,0.6941,0.98,0.6941,0.6863,0.4432,1.1928,0.7569,0.6941,5.4243
58,0.6995,0.9805,0.6995,0.6914,0.4414,1.1828,0.7598,0.6995,2.9713
59,0.6968,0.9807,0.6968,0.6898,0.44,1.1752,0.7609,0.6968,1.0922
