step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3165,0.7437,0.3165,0.2602,0.8598,15.6617,0.3371,0.3165,0.834
1,0.4034,0.8336,0.4034,0.3437,0.7749,9.1977,0.4273,0.4034,0.6849
2,0.4867,0.9005,0.4867,0.4312,0.6776,5.4095,0.5359,0.4867,0.69
3,0.5629,0.9398,0.5629,0.5301,0.5851,3.0498,0.634,0.5629,0.7607
4,0.5984,0.9524,0.5984,0.5694,0.5507,2.2654,0.649,0.5984,0.7603
5,0.6215,0.9544,0.6215,0.6004,0.5306,2.2126,0.6748,0.6215,0.8004
6,0.6436,0.9655,0.6436,0.6382,0.5165,1.4525,0.6939,0.6436,0.7839
7,0.6365,0.9669,0.6365,0.6312,0.5253,1.4778,0.6963,0.6365,0.7971
8,0.6551,0.9683,0.6551,0.6486,0.504,1.4445,0.7103,0.6551,0.814
9,0.6658,0.9727,0.6658,0.6602,0.4947,1.3694,0.7229,0.6658,0.8196
10,0.6835,0.9754,0.6835,0.679,0.479,1.3332,0.7356,0.6835,0.7957
11,0.6835,0.9768,0.6835,0.6803,0.4799,1.3329,0.7377,0.6835,0.8141
12,0.6888,0.9787,0.6888,0.6844,0.4637,1.278,0.7515,0.6888,0.7705
13,0.6933,0.9791,0.6933,0.6843,0.4634,1.2866,0.7547,0.6933,0.7914
14,0.7101,0.9803,0.7101,0.7016,0.4437,1.2231,0.7675,0.7101,0.7557
15,0.7083,0.9814,0.7083,0.7017,0.4484,1.2112,0.7737,0.7083,0.7827
16,0.7092,0.983,0.7092,0.7046,0.4354,1.1537,0.7844,0.7092,0.7365
17,0.7083,0.9829,0.7083,0.7055,0.4341,1.1628,0.7838,0.7083,0.7689
18,0.7278,0.9834,0.7278,0.723,0.4204,1.1441,0.7918,0.7278,0.756
19,0.7358,0.984,0.7358,0.734,0.4001,1.0975,0.8021,0.7358,0.7313
20,0.7429,0.9846,0.7429,0.7419,0.3977,1.0996,0.8058,0.7429,0.5499
21,0.7482,0.9849,0.7482,0.7467,0.3892,1.0908,0.8109,0.7482,0.5545
22,0.7589,0.9851,0.7589,0.7573,0.3782,1.0779,0.8159,0.7589,0.5257
23,0.7615,0.9855,0.7615,0.7598,0.3704,1.059,0.8213,0.7615,0.5222
24,0.7633,0.9863,0.7633,0.7625,0.3599,1.0322,0.8247,0.7633,0.5346
25,0.7615,0.9863,0.7615,0.7603,0.3596,1.0454,0.8269,0.7615,0.5049
26,0.7686,0.9866,0.7686,0.7681,0.3632,1.0554,0.8237,0.7686,0.5113
27,0.7668,0.9872,0.7668,0.7657,0.3602,1.0471,0.8257,0.7668,0.5034
28,0.7784,0.9872,0.7784,0.7782,0.3517,1.034,0.8291,0.7784,0.4945
29,0.7757,0.9875,0.7757,0.7758,0.349,1.034,0.8325,0.7757,0.4738
30,0.7766,0.987,0.7766,0.7759,0.3527,1.0621,0.8283,0.7766,0.4476
31,0.773,0.9874,0.773,0.7719,0.3501,1.0368,0.8291,0.773,0.4516
32,0.7775,0.9876,0.7775,0.7777,0.3495,1.0397,0.8301,0.7775,0.4427
33,0.773,0.9879,0.773,0.7732,0.3512,1.0362,0.8304,0.773,0.4248
34,0.7757,0.9879,0.7757,0.7749,0.3448,1.0351,0.8373,0.7757,0.3919
35,0.7784,0.9878,0.7784,0.7787,0.3442,1.0384,0.8371,0.7784,0.3702
36,0.7766,0.9877,0.7766,0.7768,0.3441,1.046,0.8378,0.7766,0.3778
37,0.7881,0.9873,0.7881,0.7881,0.3447,1.053,0.8353,0.7881,0.3396
38,0.7766,0.9875,0.7766,0.776,0.3518,1.0495,0.8354,0.7766,0.3356
39,0.7784,0.9876,0.7784,0.7775,0.3521,1.0623,0.8334,0.7784,0.3172
40,0.7704,0.9875,0.7704,0.7704,0.3516,1.0576,0.8334,0.7704,0.2843
41,0.773,0.9876,0.773,0.7726,0.35,1.0603,0.8368,0.773,0.2935
42,0.7686,0.9878,0.7686,0.7683,0.3515,1.0655,0.8358,0.7686,0.2594
43,0.7704,0.9878,0.7704,0.77,0.3535,1.0593,0.8361,0.7704,0.2227
44,0.7713,0.9879,0.7713,0.7712,0.3496,1.0463,0.8371,0.7713,0.2024
45,0.7784,0.9877,0.7784,0.7776,0.3495,1.0727,0.8382,0.7784,0.1986
46,0.7757,0.9877,0.7757,0.7749,0.3499,1.0751,0.8377,0.7757,0.1621
47,0.7739,0.9877,0.7739,0.7732,0.3503,1.061,0.8363,0.7739,0.167
48,0.773,0.9877,0.773,0.7731,0.3519,1.0749,0.837,0.773,0.1356
49,0.7775,0.9876,0.7775,0.7772,0.3547,1.0975,0.8373,0.7775,0.1075
50,0.7722,0.9873,0.7722,0.7718,0.3537,1.0907,0.8358,0.7722,0.0671
51,0.773,0.9872,0.773,0.7728,0.3546,1.0947,0.8339,0.773,0.0508
52,0.7713,0.9873,0.7713,0.7707,0.3547,1.0931,0.8347,0.7713,0.0337
