step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3688,0.7726,0.3688,0.2977,0.8067,12.7917,0.3686,0.3688,20.3367
1,0.4335,0.8239,0.4335,0.3638,0.7345,9.7817,0.4552,0.4335,23.1935
2,0.5053,0.9085,0.5053,0.452,0.6613,4.063,0.5655,0.5053,23.8187
3,0.5656,0.9523,0.5656,0.5353,0.6026,1.7533,0.6412,0.5656,23.9359
4,0.6037,0.9626,0.6037,0.5856,0.5471,1.5735,0.6774,0.6037,21.1421
5,0.6259,0.9671,0.6259,0.6071,0.5252,1.4898,0.6978,0.6259,19.9157
6,0.6525,0.9711,0.6525,0.6409,0.4935,1.3856,0.7145,0.6525,20.5207
7,0.6702,0.9737,0.6702,0.6544,0.4744,1.3414,0.7292,0.6702,19.3167
8,0.6959,0.9763,0.6959,0.6829,0.4454,1.2363,0.7556,0.6959,17.6376
9,0.711,0.9783,0.711,0.703,0.4284,1.1768,0.7685,0.711,19.0606
10,0.7145,0.9807,0.7145,0.7121,0.4154,1.1382,0.7783,0.7145,19.7684
11,0.7128,0.981,0.7128,0.7135,0.4219,1.1469,0.7774,0.7128,17.9351
12,0.7261,0.9829,0.7261,0.7254,0.4059,1.0861,0.7916,0.7261,18.28
13,0.727,0.9826,0.727,0.7245,0.4068,1.0965,0.7892,0.727,16.0236
14,0.734,0.9837,0.734,0.7298,0.3985,1.067,0.7961,0.734,17.9417
15,0.7376,0.9843,0.7376,0.7334,0.3996,1.0658,0.8012,0.7376,17.1753
16,0.7438,0.9849,0.7438,0.742,0.3908,1.0476,0.8042,0.7438,16.8383
17,0.7438,0.9861,0.7438,0.7412,0.3877,1.0272,0.8086,0.7438,18.5481
18,0.7482,0.9869,0.7482,0.746,0.3884,1.0354,0.8082,0.7482,15.439
19,0.7695,0.9874,0.7695,0.768,0.3716,1.0028,0.8141,0.7695,16.9758
20,0.766,0.9877,0.766,0.7644,0.3675,0.9949,0.82,0.766,15.5853
21,0.7571,0.9878,0.7571,0.7552,0.3702,0.9983,0.8202,0.7571,18.923
22,0.7704,0.9886,0.7704,0.7696,0.3588,0.963,0.8266,0.7704,15.0627
23,0.7615,0.9888,0.7615,0.7613,0.3562,0.9569,0.8279,0.7615,13.8192
24,0.7651,0.9887,0.7651,0.7643,0.3535,0.9598,0.827,0.7651,18.4842
25,0.7651,0.989,0.7651,0.7637,0.3574,0.969,0.8332,0.7651,17.5502
26,0.766,0.9889,0.766,0.7642,0.3536,0.9681,0.8343,0.766,12.3882
27,0.7668,0.9888,0.7668,0.7648,0.3517,0.9726,0.8358,0.7668,17.5135
28,0.7668,0.9883,0.7668,0.7656,0.3558,0.9889,0.8346,0.7668,16.9622
29,0.7651,0.9885,0.7651,0.7632,0.3516,0.9777,0.838,0.7651,10.0869
30,0.773,0.989,0.773,0.7726,0.3381,0.9536,0.8459,0.773,18.2668
31,0.7793,0.989,0.7793,0.7787,0.3383,0.9582,0.8454,0.7793,15.7711
32,0.7837,0.9891,0.7837,0.7824,0.3357,0.971,0.8484,0.7837,9.667
33,0.7837,0.9891,0.7837,0.782,0.3334,0.9595,0.8495,0.7837,12.5013
34,0.7855,0.9893,0.7855,0.7838,0.3328,0.9466,0.8502,0.7855,17.8099
35,0.7917,0.9893,0.7917,0.7904,0.3327,0.9633,0.8499,0.7917,14.5132
36,0.7908,0.9893,0.7908,0.791,0.3317,0.9517,0.8504,0.7908,14.0343
37,0.7899,0.9894,0.7899,0.7893,0.3308,0.9573,0.8509,0.7899,12.9078
38,0.781,0.9892,0.781,0.7804,0.3347,0.9713,0.8478,0.781,8.0756
39,0.7837,0.9893,0.7837,0.7829,0.3348,0.9786,0.8485,0.7837,14.8848
40,0.7863,0.9894,0.7863,0.7859,0.3295,0.955,0.8519,0.7863,6.7531
41,0.7855,0.9892,0.7855,0.7851,0.3327,0.9714,0.8522,0.7855,10.0768
42,0.7846,0.9892,0.7846,0.7846,0.3333,0.9824,0.8528,0.7846,10.7563
43,0.7819,0.9892,0.7819,0.7822,0.336,0.9921,0.8514,0.7819,8.3451
44,0.781,0.9893,0.781,0.7811,0.3331,0.9837,0.8533,0.781,5.0232
45,0.7855,0.9893,0.7855,0.7855,0.3363,0.9873,0.8538,0.7855,10.1044
46,0.7855,0.9892,0.7855,0.7856,0.3385,0.9994,0.8523,0.7855,11.2481
47,0.7793,0.9894,0.7793,0.7794,0.3427,1.0029,0.8518,0.7793,13.4144
48,0.7819,0.9895,0.7819,0.7819,0.3402,0.9911,0.8529,0.7819,10.7896
49,0.7793,0.9894,0.7793,0.7789,0.3382,0.9894,0.8521,0.7793,7.0608
50,0.7828,0.9895,0.7828,0.7824,0.3395,0.9972,0.8516,0.7828,7.986
51,0.7793,0.9894,0.7793,0.7791,0.3386,0.9923,0.852,0.7793,8.9229
52,0.7828,0.9894,0.7828,0.7822,0.3387,1.0074,0.851,0.7828,3.8816
