step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.0057
1,0.0426,0.5199,0.0426,0.0036,1.5193,34.5139,0.0482,0.0426,0.0051
2,0.0612,0.5292,0.0612,0.0082,1.3744,33.7604,0.0525,0.0612,0.0037
3,0.0709,0.5361,0.0709,0.0118,1.2811,33.0148,0.0599,0.0709,0.0044
4,0.0674,0.5316,0.0674,0.0118,1.3249,33.0252,0.0564,0.0674,0.0043
5,0.0798,0.5426,0.0798,0.0181,1.2598,32.2738,0.0732,0.0798,0.0044
6,0.0922,0.5524,0.0922,0.0252,1.2103,31.5333,0.0803,0.0922,0.0042
7,0.1064,0.563,0.1064,0.035,1.1791,30.7972,0.0867,0.1064,0.0043
8,0.1241,0.573,0.1241,0.0431,1.1352,30.0506,0.0981,0.1241,0.0044
9,0.1392,0.5838,0.1392,0.0514,1.1068,29.3077,0.1095,0.1392,0.0043
10,0.1472,0.5938,0.1472,0.0581,1.0812,28.5716,0.1229,0.1472,0.0044
11,0.1472,0.6016,0.1472,0.0627,1.0685,27.8524,0.1253,0.1472,0.0043
12,0.1676,0.6143,0.1676,0.0741,1.046,27.0996,0.1434,0.1676,0.0042
13,0.1853,0.6245,0.1853,0.0926,1.0244,26.3628,0.1615,0.1853,0.0046
14,0.1871,0.6307,0.1871,0.0985,1.0093,25.6492,0.1669,0.1871,0.0042
15,0.2039,0.6418,0.2039,0.1121,0.987,24.9045,0.1853,0.2039,0.0045
16,0.2216,0.6504,0.2216,0.1243,0.9616,24.1669,0.2032,0.2216,0.0044
17,0.234,0.6599,0.234,0.1349,0.9401,23.4325,0.2134,0.234,0.0042
18,0.2358,0.6621,0.2358,0.1398,0.9493,23.4205,0.215,0.2358,0.0042
19,0.2367,0.6698,0.2367,0.1421,0.9439,22.7199,0.2171,0.2367,0.0043
20,0.2376,0.6705,0.2376,0.1407,0.9457,22.718,0.2182,0.2376,0.0046
21,0.2385,0.6761,0.2385,0.1461,0.9415,22.0223,0.2189,0.2385,0.0041
22,0.242,0.6829,0.242,0.1526,0.9361,21.3209,0.2208,0.242,0.0042
23,0.242,0.6834,0.242,0.1511,0.9278,21.3036,0.2228,0.242,0.0042
24,0.2509,0.6907,0.2509,0.1636,0.9175,20.5942,0.2331,0.2509,0.004
25,0.2509,0.6907,0.2509,0.1638,0.9195,20.594,0.2325,0.2509,0.0046
26,0.2624,0.7018,0.2624,0.1758,0.9022,19.8551,0.2458,0.2624,0.0043
27,0.2633,0.7025,0.2633,0.1748,0.903,19.8506,0.2474,0.2633,0.0048
28,0.2704,0.7028,0.2704,0.1815,0.9003,19.8402,0.2506,0.2704,0.0042
29,0.2704,0.7087,0.2704,0.1847,0.899,19.1482,0.2505,0.2704,0.0041
30,0.2668,0.7076,0.2668,0.1824,0.9049,19.1569,0.2483,0.2668,0.0044
31,0.2713,0.7172,0.2713,0.1901,0.8991,18.4454,0.2556,0.2713,0.0045
32,0.2819,0.7179,0.2819,0.1986,0.8927,18.4318,0.2625,0.2819,0.0042
33,0.2899,0.7276,0.2899,0.2079,0.885,17.7182,0.2694,0.2899,0.0042
34,0.297,0.7365,0.297,0.2184,0.8769,17.0084,0.2779,0.297,0.0043
