step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.2236
1,0.0372,0.5148,0.0372,0.0031,1.5117,34.5206,0.0423,0.0372,0.2132
2,0.047,0.5178,0.047,0.0056,1.3718,33.7853,0.0494,0.047,0.1942
3,0.0674,0.5297,0.0674,0.0129,1.2725,33.0256,0.0691,0.0674,0.2038
4,0.0869,0.5407,0.0869,0.0201,1.2155,32.2724,0.0863,0.0869,0.1985
5,0.1037,0.5478,0.1037,0.0276,1.1747,31.5333,0.1003,0.1037,0.1979
6,0.1188,0.5573,0.1188,0.0356,1.1295,30.7808,0.1188,0.1188,0.205
7,0.1268,0.566,0.1268,0.0434,1.1012,30.0469,0.1284,0.1268,0.2288
8,0.1463,0.5776,0.1463,0.0541,1.073,29.2921,0.1422,0.1463,0.2091
9,0.1667,0.589,0.1667,0.0683,1.0395,28.5338,0.1637,0.1667,0.2042
10,0.1844,0.6002,0.1844,0.0824,1.0106,27.781,0.1829,0.1844,0.2004
11,0.2021,0.6108,0.2021,0.0962,0.9838,27.0319,0.2007,0.2021,0.2122
12,0.2207,0.6216,0.2207,0.1098,0.9553,26.2781,0.2201,0.2207,0.235
13,0.2349,0.63,0.2349,0.1205,0.9429,25.5494,0.2239,0.2349,0.2058
14,0.2402,0.6372,0.2402,0.1357,0.9462,24.8334,0.2254,0.2402,0.2165
15,0.2598,0.6483,0.2598,0.1522,0.9277,24.0849,0.2392,0.2598,0.2223
16,0.2642,0.6495,0.2642,0.1538,0.9236,24.0706,0.246,0.2642,0.2355
17,0.2677,0.6558,0.2677,0.1627,0.9177,23.3652,0.2482,0.2677,0.2371
18,0.2837,0.6653,0.2837,0.1777,0.9033,22.6276,0.2589,0.2837,0.2203
19,0.2863,0.6652,0.2863,0.1816,0.9073,22.6228,0.261,0.2863,0.2499
20,0.2988,0.6756,0.2988,0.1931,0.8995,21.8937,0.267,0.2988,0.2461
21,0.3174,0.686,0.3174,0.2095,0.8752,21.1489,0.285,0.3174,0.2708
22,0.3324,0.6966,0.3324,0.2262,0.8575,20.4109,0.3015,0.3324,0.2612
23,0.3298,0.6952,0.3298,0.2244,0.8605,20.4188,0.3011,0.3298,0.2615
24,0.3395,0.704,0.3395,0.2381,0.8499,19.6969,0.3103,0.3395,0.2562
25,0.3493,0.7131,0.3493,0.2506,0.8368,18.971,0.3229,0.3493,0.2571
26,0.3528,0.7148,0.3528,0.2544,0.8298,18.9476,0.3318,0.3528,0.2877
27,0.3466,0.7161,0.3466,0.2559,0.8302,18.9399,0.3363,0.3466,0.2909
28,0.3564,0.7249,0.3564,0.2672,0.8187,18.2205,0.345,0.3564,0.2641
29,0.3715,0.7352,0.3715,0.2806,0.798,17.4844,0.3584,0.3715,0.2832
30,0.3892,0.7465,0.3892,0.2991,0.7813,16.7373,0.377,0.3892,0.2939
31,0.4025,0.7559,0.4025,0.3112,0.7698,16.0124,0.3868,0.4025,0.3012
32,0.3998,0.7586,0.3998,0.3147,0.7702,15.3411,0.3862,0.3998,0.291
33,0.4007,0.7646,0.4007,0.3179,0.768,14.6608,0.3888,0.4007,0.2855
34,0.4087,0.7672,0.4087,0.324,0.7631,14.6335,0.3934,0.4087,0.2913
35,0.406,0.7677,0.406,0.3224,0.7639,14.6311,0.3958,0.406,0.2866
36,0.4096,0.7775,0.4096,0.3347,0.7612,13.9306,0.4054,0.4096,0.2898
37,0.4131,0.7767,0.4131,0.3365,0.7642,13.2823,0.4016,0.4131,0.3161
38,0.4149,0.7772,0.4149,0.3386,0.7651,13.2788,0.4029,0.4149,0.3104
39,0.4193,0.7852,0.4193,0.3463,0.7605,12.5781,0.4075,0.4193,0.3038
40,0.4335,0.7961,0.4335,0.3643,0.7476,11.8489,0.4258,0.4335,0.3073
41,0.4309,0.7977,0.4309,0.3616,0.7444,11.8446,0.4292,0.4309,0.3024
42,0.4424,0.7972,0.4424,0.3679,0.7387,11.8235,0.4299,0.4424,0.3091
43,0.4433,0.7978,0.4433,0.3688,0.7387,11.8177,0.4323,0.4433,0.3424
44,0.4468,0.7979,0.4468,0.3702,0.7371,11.8162,0.4311,0.4468,0.3196
45,0.4512,0.8063,0.4512,0.3791,0.7321,11.1182,0.4355,0.4512,0.3316
46,0.4486,0.8047,0.4486,0.3794,0.7408,11.1347,0.4338,0.4486,0.3299
47,0.445,0.8132,0.445,0.3819,0.7375,10.4418,0.4369,0.445,0.3384
48,0.4495,0.8187,0.4495,0.388,0.7338,10.4041,0.4396,0.4495,0.3149
49,0.4557,0.8275,0.4557,0.398,0.7276,9.706,0.4495,0.4557,0.367
50,0.4734,0.8388,0.4734,0.4187,0.7052,8.9605,0.4699,0.4734,0.3359
51,0.4805,0.8386,0.4805,0.4224,0.7019,8.954,0.4677,0.4805,0.3481
52,0.4725,0.8418,0.4725,0.4181,0.7038,8.9556,0.4714,0.4725,0.3641
53,0.4752,0.8512,0.4752,0.4239,0.6964,8.2515,0.4817,0.4752,0.3559
54,0.484,0.8616,0.484,0.438,0.6872,7.535,0.4964,0.484,0.3627
55,0.4938,0.861,0.4938,0.4472,0.6835,7.5095,0.4942,0.4938,0.3642
56,0.5089,0.8728,0.5089,0.464,0.6682,6.7692,0.5145,0.5089,0.3767
