step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3076,0.7574,0.3076,0.2421,0.8957,14.2726,0.2899,0.3076,0.0134
1,0.3564,0.8292,0.3564,0.3084,0.8239,8.668,0.3888,0.3564,1.6634
2,0.4548,0.8938,0.4548,0.4232,0.7323,4.8836,0.5103,0.4548,6.3068
3,0.5301,0.9307,0.5301,0.5103,0.6578,3.2403,0.5731,0.5301,1.0392
4,0.5984,0.9631,0.5984,0.5911,0.5685,1.5781,0.6513,0.5984,1.0403
5,0.6374,0.972,0.6374,0.6355,0.5192,1.3869,0.6893,0.6374,0.5238
6,0.6631,0.9757,0.6631,0.6659,0.4793,1.2703,0.7227,0.6631,2.2127
7,0.695,0.9793,0.695,0.6982,0.4462,1.1654,0.7492,0.695,3.6947
8,0.7154,0.9812,0.7154,0.7171,0.4333,1.129,0.7592,0.7154,4.3809
9,0.7243,0.9823,0.7243,0.7253,0.4243,1.1009,0.7691,0.7243,0.6445
10,0.7358,0.9844,0.7358,0.7363,0.4008,1.0523,0.7845,0.7358,0.5668
11,0.7314,0.9849,0.7314,0.7309,0.3934,1.0387,0.7938,0.7314,2.1283
12,0.7527,0.9859,0.7527,0.752,0.3778,0.9954,0.8055,0.7527,2.5038
13,0.7562,0.9855,0.7562,0.7555,0.3724,1.0037,0.805,0.7562,5.3389
14,0.7527,0.985,0.7527,0.7523,0.3701,1.0243,0.805,0.7527,0.8538
15,0.7615,0.985,0.7615,0.7602,0.3753,1.0483,0.8057,0.7615,0.8504
16,0.7571,0.9844,0.7571,0.7561,0.3785,1.0854,0.8061,0.7571,1.5979
17,0.758,0.9846,0.758,0.7577,0.3726,1.0802,0.8104,0.758,2.5427
18,0.7535,0.9843,0.7535,0.753,0.3757,1.0956,0.814,0.7535,0.9817
19,0.7606,0.984,0.7606,0.7602,0.3732,1.1068,0.8105,0.7606,1.0072
20,0.7633,0.9846,0.7633,0.7632,0.365,1.0838,0.8159,0.7633,1.7828
21,0.7713,0.9846,0.7713,0.7714,0.3598,1.0937,0.8166,0.7713,8.1294
22,0.7695,0.9844,0.7695,0.77,0.3627,1.1123,0.8155,0.7695,4.2522
23,0.7739,0.9848,0.7739,0.7738,0.3547,1.105,0.8189,0.7739,10.1222
24,0.7766,0.9849,0.7766,0.7767,0.359,1.113,0.8188,0.7766,6.882
25,0.7757,0.9854,0.7757,0.7753,0.3562,1.1027,0.8238,0.7757,1.3183
26,0.7828,0.986,0.7828,0.7823,0.3494,1.0912,0.8283,0.7828,6.8055
27,0.7793,0.9856,0.7793,0.7791,0.3509,1.0997,0.8282,0.7793,8.5173
28,0.7828,0.9856,0.7828,0.7819,0.3488,1.1095,0.8287,0.7828,6.0494
29,0.7793,0.9855,0.7793,0.7785,0.3493,1.1103,0.8288,0.7793,1.5271
30,0.7757,0.9858,0.7757,0.7753,0.349,1.1054,0.8271,0.7757,7.2115
31,0.7722,0.9861,0.7722,0.7713,0.3501,1.1011,0.8299,0.7722,2.0756
32,0.7713,0.9863,0.7713,0.771,0.3523,1.1083,0.8309,0.7713,2.0131
33,0.7722,0.9866,0.7722,0.7719,0.3511,1.1008,0.8331,0.7722,6.5531
34,0.7713,0.9865,0.7713,0.7707,0.3551,1.1136,0.8312,0.7713,4.1428
35,0.7722,0.9865,0.7722,0.7722,0.3555,1.1055,0.8313,0.7722,1.9514
36,0.7695,0.9867,0.7695,0.7693,0.3555,1.1114,0.833,0.7695,13.3438
37,0.7739,0.9866,0.7739,0.7738,0.3566,1.1045,0.8337,0.7739,6.1242
38,0.7704,0.9866,0.7704,0.7707,0.3608,1.1201,0.8314,0.7704,1.7844
39,0.773,0.9866,0.773,0.7735,0.363,1.138,0.8301,0.773,2.1501
40,0.7713,0.987,0.7713,0.7713,0.36,1.1108,0.8337,0.7713,2.0703
41,0.7695,0.9871,0.7695,0.7694,0.3596,1.1047,0.8348,0.7695,1.8369
42,0.7704,0.987,0.7704,0.7703,0.3613,1.1182,0.834,0.7704,1.7579
43,0.7704,0.9872,0.7704,0.7702,0.3611,1.1006,0.8344,0.7704,2.073
44,0.7695,0.9874,0.7695,0.7695,0.3581,1.0985,0.8356,0.7695,2.5396
45,0.7677,0.9874,0.7677,0.768,0.3579,1.0965,0.8363,0.7677,9.9595
46,0.7722,0.9874,0.7722,0.772,0.3586,1.1082,0.8363,0.7722,8.0194
47,0.7695,0.9873,0.7695,0.7695,0.3577,1.1007,0.8357,0.7695,1.653
48,0.7748,0.9873,0.7748,0.7746,0.3589,1.1139,0.836,0.7748,8.3269
49,0.7748,0.9873,0.7748,0.7746,0.3555,1.1029,0.8341,0.7748,3.0482
50,0.7748,0.9872,0.7748,0.7743,0.3552,1.0943,0.8342,0.7748,9.9762
51,0.773,0.9873,0.773,0.7727,0.3546,1.0943,0.8344,0.773,7.6882
52,0.7713,0.9873,0.7713,0.7707,0.3547,1.0931,0.8347,0.7713,3.1743
