step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2952,0.743,0.2952,0.2192,0.9111,14.378,0.2968,0.2952,0.015
1,0.4078,0.8321,0.4078,0.3546,0.7998,7.93,0.4249,0.4078,1.8866
2,0.4956,0.8933,0.4956,0.4512,0.696,4.81,0.5351,0.4956,3.4374
3,0.547,0.9211,0.547,0.5153,0.6387,3.2566,0.5958,0.547,0.9488
4,0.6046,0.9548,0.6046,0.5844,0.5664,1.627,0.6573,0.6046,2.9732
5,0.617,0.9621,0.617,0.5972,0.5456,1.5421,0.677,0.617,1.4554
6,0.6472,0.9708,0.6472,0.6397,0.5094,1.3761,0.7152,0.6472,1.0423
7,0.6658,0.973,0.6658,0.6579,0.4854,1.3396,0.7328,0.6658,1.1915
8,0.6835,0.9775,0.6835,0.6806,0.4652,1.2295,0.7474,0.6835,2.2097
9,0.7048,0.9804,0.7048,0.7031,0.4435,1.1696,0.7592,0.7048,1.9784
10,0.703,0.98,0.703,0.7017,0.4392,1.1805,0.7623,0.703,1.5536
11,0.7101,0.9809,0.7101,0.71,0.4295,1.154,0.7744,0.7101,5.5794
12,0.7119,0.981,0.7119,0.7123,0.4193,1.1241,0.786,0.7119,2.453
13,0.7207,0.9823,0.7207,0.7215,0.4049,1.1015,0.7941,0.7207,3.9475
14,0.7278,0.9833,0.7278,0.7276,0.3981,1.0848,0.8011,0.7278,6.5155
15,0.7367,0.9838,0.7367,0.7385,0.3898,1.0731,0.8047,0.7367,4.5079
16,0.75,0.9848,0.75,0.7506,0.3731,1.0342,0.8151,0.75,2.2869
17,0.7562,0.985,0.7562,0.7571,0.3737,1.035,0.8184,0.7562,9.9559
18,0.7606,0.985,0.7606,0.7608,0.3697,1.0324,0.8193,0.7606,4.9091
19,0.7651,0.985,0.7651,0.7658,0.3664,1.0414,0.8193,0.7651,4.547
20,0.7624,0.9849,0.7624,0.7631,0.3626,1.0415,0.82,0.7624,3.4233
21,0.7615,0.985,0.7615,0.7617,0.3615,1.0538,0.8228,0.7615,5.8269
22,0.7695,0.9853,0.7695,0.7696,0.3514,1.0296,0.8259,0.7695,9.6117
23,0.7704,0.9857,0.7704,0.7691,0.3521,1.0274,0.8273,0.7704,12.9099
24,0.773,0.9858,0.773,0.7714,0.3502,1.0334,0.8287,0.773,7.375
25,0.773,0.9859,0.773,0.7712,0.3486,1.0396,0.8309,0.773,9.5995
26,0.7722,0.9861,0.7722,0.7714,0.3495,1.0474,0.832,0.7722,6.4069
27,0.7748,0.9866,0.7748,0.7738,0.3441,1.0288,0.8358,0.7748,5.3639
28,0.7793,0.9867,0.7793,0.7782,0.3385,1.0174,0.839,0.7793,7.443
29,0.7766,0.9874,0.7766,0.7755,0.3405,1.0046,0.8383,0.7766,8.9911
30,0.7757,0.9876,0.7757,0.7742,0.3403,1.0134,0.8389,0.7757,13.8677
31,0.781,0.9874,0.781,0.7795,0.3411,1.0208,0.8372,0.781,7.6126
32,0.7801,0.9878,0.7801,0.779,0.3396,1.0119,0.8377,0.7801,13.5274
33,0.7757,0.9877,0.7757,0.7753,0.3439,1.0187,0.8371,0.7757,10.1953
34,0.7766,0.9878,0.7766,0.7749,0.3434,1.0214,0.8374,0.7766,10.0188
35,0.7801,0.9878,0.7801,0.7781,0.3403,1.0252,0.8377,0.7801,8.9446
36,0.7846,0.9881,0.7846,0.7828,0.3416,1.0392,0.8381,0.7846,10.9329
37,0.7846,0.9881,0.7846,0.7827,0.3368,1.0139,0.8412,0.7846,8.8514
38,0.7828,0.9881,0.7828,0.7809,0.3392,1.0129,0.8405,0.7828,11.4265
39,0.7784,0.9881,0.7784,0.7773,0.3454,1.0366,0.8399,0.7784,9.3988
40,0.7766,0.988,0.7766,0.7757,0.3457,1.023,0.8385,0.7766,8.2536
41,0.7784,0.988,0.7784,0.7774,0.3433,1.0208,0.8397,0.7784,6.9801
42,0.773,0.9885,0.773,0.7722,0.35,1.0351,0.8408,0.773,13.3754
43,0.7766,0.9884,0.7766,0.7756,0.346,1.0161,0.8419,0.7766,11.1867
44,0.7766,0.9882,0.7766,0.7759,0.341,1.0136,0.8419,0.7766,8.3674
45,0.781,0.988,0.781,0.7802,0.3421,1.0249,0.8405,0.781,11.5339
46,0.7801,0.988,0.7801,0.7796,0.3413,1.0204,0.8409,0.7801,13.1845
47,0.7819,0.988,0.7819,0.7812,0.3427,1.0271,0.8403,0.7819,12.0094
48,0.7793,0.9881,0.7793,0.7791,0.3411,1.011,0.8418,0.7793,12.5742
49,0.7801,0.988,0.7801,0.7794,0.343,1.0257,0.8405,0.7801,16.8269
50,0.7819,0.988,0.7819,0.7813,0.342,1.0285,0.8396,0.7819,8.6059
51,0.7801,0.988,0.7801,0.7795,0.3417,1.0268,0.8402,0.7801,11.2658
52,0.781,0.988,0.781,0.7804,0.3407,1.0226,0.84,0.781,14.1599
