step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1215,0.5661,0.1215,0.0499,1.201,30.0583,0.0988,0.1215,0.0115
1,0.156,0.6033,0.156,0.0829,1.0475,25.791,0.1339,0.156,3.2417
2,0.172,0.6286,0.172,0.1147,1.0125,24.3284,0.1561,0.172,3.2411
3,0.1791,0.6483,0.1791,0.1293,0.9811,22.8905,0.1874,0.1791,3.3486
4,0.2101,0.6858,0.2101,0.1502,0.9451,20.0471,0.2139,0.2101,3.4126
5,0.2349,0.713,0.2349,0.1679,0.9166,17.9421,0.2453,0.2349,3.4858
6,0.2633,0.7414,0.2633,0.2001,0.8825,15.7941,0.2805,0.2633,3.4579
7,0.2979,0.7625,0.2979,0.2339,0.8465,14.3415,0.3091,0.2979,3.424
8,0.3174,0.7757,0.3174,0.2584,0.8239,13.5914,0.3341,0.3174,3.465
9,0.3289,0.7808,0.3289,0.2678,0.8171,12.9101,0.3407,0.3289,3.5162
10,0.3413,0.8013,0.3413,0.2848,0.8029,11.4871,0.3629,0.3413,3.6343
11,0.3626,0.8126,0.3626,0.3098,0.7847,10.7571,0.3872,0.3626,3.7546
12,0.3839,0.8284,0.3839,0.3306,0.7663,9.9717,0.4099,0.3839,3.6542
13,0.3803,0.8287,0.3803,0.3252,0.7686,9.9876,0.4102,0.3803,3.7511
14,0.406,0.854,0.406,0.3561,0.7423,8.4998,0.4455,0.406,3.8184
15,0.4379,0.886,0.4379,0.3994,0.708,6.3427,0.4981,0.4379,3.8
16,0.4379,0.8875,0.4379,0.3963,0.701,6.319,0.5017,0.4379,3.8975
17,0.4521,0.9017,0.4521,0.4178,0.6851,5.5665,0.5278,0.4521,3.7827
18,0.477,0.9258,0.477,0.4543,0.656,4.0766,0.5693,0.477,4.0083
19,0.4947,0.9364,0.4947,0.4755,0.6452,3.3291,0.5822,0.4947,4.1222
20,0.5009,0.9395,0.5009,0.4869,0.6434,3.2962,0.5901,0.5009,4.0379
21,0.5098,0.9462,0.5098,0.4961,0.6344,2.6085,0.605,0.5098,3.9897
22,0.5204,0.9481,0.5204,0.5116,0.6287,2.572,0.6103,0.5204,4.0383
23,0.5363,0.9502,0.5363,0.5274,0.6163,2.507,0.6159,0.5363,4.2401
24,0.555,0.957,0.555,0.5492,0.6011,2.4101,0.6288,0.555,4.1625
25,0.5585,0.9573,0.5585,0.5513,0.597,2.4,0.6353,0.5585,4.224
26,0.5683,0.9591,0.5683,0.5607,0.5885,2.37,0.6454,0.5683,4.1566
27,0.5718,0.9603,0.5718,0.5638,0.5841,2.3464,0.6496,0.5718,4.2554
28,0.578,0.9611,0.578,0.5719,0.5799,2.3144,0.6532,0.578,4.3414
29,0.5842,0.9713,0.5842,0.5824,0.5738,1.608,0.6649,0.5842,4.359
30,0.5931,0.9723,0.5931,0.592,0.5647,1.5628,0.6751,0.5931,4.2285
31,0.5957,0.9724,0.5957,0.5955,0.5635,1.5608,0.6769,0.5957,4.4797
32,0.594,0.9729,0.594,0.5935,0.5635,1.5502,0.6804,0.594,4.655
33,0.6055,0.9742,0.6055,0.6049,0.5512,1.4947,0.6895,0.6055,4.5129
34,0.6161,0.9753,0.6161,0.616,0.5432,1.4583,0.697,0.6161,4.5924
35,0.6215,0.9757,0.6215,0.6202,0.5407,1.4464,0.6971,0.6215,4.6076
36,0.625,0.9761,0.625,0.6237,0.5409,1.4457,0.6966,0.625,4.7107
37,0.6294,0.9766,0.6294,0.6271,0.5375,1.442,0.7022,0.6294,4.7601
38,0.6356,0.9768,0.6356,0.6338,0.5347,1.4299,0.7047,0.6356,4.8013
39,0.6401,0.9787,0.6401,0.6365,0.53,1.4137,0.7068,0.6401,4.8576
40,0.6383,0.9789,0.6383,0.6347,0.5302,1.4119,0.709,0.6383,4.8135
41,0.6489,0.9796,0.6489,0.644,0.5253,1.3956,0.7124,0.6489,4.7384
42,0.648,0.9806,0.648,0.6443,0.5232,1.3804,0.7161,0.648,4.8339
43,0.6525,0.9809,0.6525,0.6483,0.5196,1.369,0.7188,0.6525,4.8477
44,0.6525,0.981,0.6525,0.6485,0.5196,1.3661,0.7213,0.6525,4.9054
45,0.6507,0.981,0.6507,0.6459,0.5207,1.3682,0.7215,0.6507,5.0238
46,0.6578,0.9816,0.6578,0.6536,0.513,1.3486,0.7327,0.6578,5.0326
47,0.6596,0.9822,0.6596,0.6549,0.5116,1.3446,0.7347,0.6596,4.9555
48,0.6605,0.9821,0.6605,0.657,0.5113,1.3425,0.7351,0.6605,5.0457
49,0.6605,0.9822,0.6605,0.655,0.5107,1.3446,0.7356,0.6605,4.9995
50,0.6605,0.9823,0.6605,0.6548,0.5114,1.348,0.7359,0.6605,5.1885
51,0.6596,0.9824,0.6596,0.6534,0.5112,1.3461,0.7371,0.6596,5.1973
52,0.6596,0.9825,0.6596,0.6537,0.5101,1.3408,0.7362,0.6596,5.1862
