step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1427,0.5779,0.1427,0.0577,1.2388,29.3023,0.108,0.1427,0.449
1,0.2473,0.6733,0.2473,0.1707,1.0006,21.9517,0.2239,0.2473,0.3994
2,0.3369,0.7421,0.3369,0.2568,0.8742,16.8781,0.3069,0.3369,0.4006
3,0.4238,0.8047,0.4238,0.3631,0.763,12.475,0.4092,0.4238,0.4019
4,0.469,0.8454,0.469,0.4168,0.7001,9.5845,0.4655,0.469,0.3888
5,0.4867,0.8679,0.4867,0.4426,0.6755,8.1751,0.4923,0.4867,0.3895
6,0.5009,0.8952,0.5009,0.4669,0.6607,6.0888,0.5138,0.5009,0.392
7,0.5062,0.9073,0.5062,0.472,0.6513,5.383,0.5376,0.5062,0.383
8,0.508,0.9104,0.508,0.4752,0.6447,5.3618,0.5475,0.508,0.3791
9,0.5266,0.9223,0.5266,0.4913,0.6317,4.6072,0.5588,0.5266,0.3882
10,0.5328,0.9422,0.5328,0.5034,0.6132,3.1828,0.5806,0.5328,0.3801
11,0.5505,0.9489,0.5505,0.5247,0.5996,2.4912,0.5979,0.5505,0.3822
12,0.5567,0.9513,0.5567,0.5318,0.5995,2.4689,0.6017,0.5567,0.385
13,0.5665,0.9536,0.5665,0.5425,0.592,2.4384,0.6111,0.5665,0.3743
14,0.5629,0.9543,0.5629,0.5383,0.5952,2.4476,0.6121,0.5629,0.3621
15,0.5576,0.9548,0.5576,0.5359,0.592,2.445,0.6142,0.5576,0.3685
16,0.555,0.9552,0.555,0.5332,0.5908,2.4464,0.6187,0.555,0.3545
17,0.5612,0.9554,0.5612,0.5424,0.5866,2.4366,0.6243,0.5612,0.3557
18,0.5683,0.9561,0.5683,0.5484,0.5826,2.4211,0.6292,0.5683,0.3659
19,0.57,0.9599,0.57,0.5502,0.5807,2.379,0.6346,0.57,0.3526
20,0.57,0.9625,0.57,0.5532,0.5799,2.3466,0.6407,0.57,0.3545
21,0.5683,0.9633,0.5683,0.5522,0.5779,2.3383,0.6474,0.5683,0.3532
22,0.5745,0.9638,0.5745,0.5581,0.5742,2.3308,0.6527,0.5745,0.3652
23,0.5789,0.9635,0.5789,0.5626,0.5723,2.3274,0.6544,0.5789,0.3653
24,0.578,0.9635,0.578,0.5611,0.5731,2.3339,0.6577,0.578,0.3594
25,0.5913,0.9638,0.5913,0.5754,0.568,2.3297,0.6621,0.5913,0.3705
26,0.5895,0.9642,0.5895,0.5737,0.5678,2.3151,0.6652,0.5895,0.358
27,0.5922,0.9643,0.5922,0.5773,0.5698,2.3216,0.662,0.5922,0.355
28,0.5966,0.9748,0.5966,0.5825,0.563,1.6176,0.6759,0.5966,0.3621
29,0.5931,0.9748,0.5931,0.5784,0.5623,1.6125,0.6761,0.5931,0.3543
30,0.5957,0.9749,0.5957,0.5826,0.5626,1.6075,0.6756,0.5957,0.3663
31,0.6002,0.9749,0.6002,0.5862,0.561,1.61,0.6782,0.6002,0.3592
32,0.6002,0.9751,0.6002,0.5858,0.5612,1.6066,0.6805,0.6002,0.3712
33,0.6028,0.9754,0.6028,0.5876,0.5598,1.6054,0.6836,0.6028,0.3841
34,0.6028,0.9754,0.6028,0.5871,0.5598,1.6047,0.6828,0.6028,0.382
35,0.6046,0.9756,0.6046,0.5893,0.5577,1.599,0.6854,0.6046,0.3658
36,0.6055,0.9763,0.6055,0.5898,0.555,1.5826,0.6888,0.6055,0.4053
37,0.602,0.9766,0.602,0.5864,0.5542,1.5689,0.6932,0.602,0.3678
38,0.6046,0.9772,0.6046,0.5928,0.5488,1.5456,0.7022,0.6046,0.3697
