step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.3399
1,0.0346,0.5082,0.0346,0.0049,1.6893,34.5338,0.0318,0.0346,0.0159
2,0.0426,0.514,0.0426,0.0085,1.4725,33.7932,0.0334,0.0426,0.0152
3,0.0629,0.5255,0.0629,0.0176,1.383,33.0334,0.0529,0.0629,0.0146
4,0.0727,0.5282,0.0727,0.0223,1.3198,32.3216,0.0668,0.0727,0.0151
5,0.0798,0.5373,0.0798,0.0274,1.2805,31.5814,0.0693,0.0798,0.016
6,0.0878,0.5448,0.0878,0.0339,1.2546,30.8593,0.0714,0.0878,0.0151
7,0.1011,0.5553,0.1011,0.0444,1.2449,30.1226,0.0783,0.1011,0.0153
8,0.1117,0.5634,0.1117,0.0502,1.2085,29.3954,0.0845,0.1117,0.018
9,0.1135,0.5692,0.1135,0.054,1.1978,28.6939,0.0868,0.1135,0.0145
10,0.1099,0.5691,0.1099,0.0516,1.1954,28.6988,0.0867,0.1099,0.0151
11,0.1144,0.5744,0.1144,0.0556,1.1765,27.9921,0.0887,0.1144,0.0154
12,0.1197,0.5841,0.1197,0.0641,1.1643,27.2771,0.0974,0.1197,0.0151
13,0.125,0.5883,0.125,0.0674,1.167,26.5882,0.0986,0.125,0.0146
14,0.1321,0.5955,0.1321,0.0734,1.1517,25.8775,0.1028,0.1321,0.0144
15,0.1534,0.6079,0.1534,0.0889,1.1211,25.1219,0.1239,0.1534,0.015
16,0.1631,0.6165,0.1631,0.0992,1.1002,24.4038,0.1355,0.1631,0.0149
17,0.1782,0.6263,0.1782,0.11,1.0689,23.6751,0.1521,0.1782,0.0143
18,0.18,0.6339,0.18,0.1145,1.0522,22.9701,0.1545,0.18,0.0195
19,0.1773,0.6339,0.1773,0.1102,1.0482,22.9771,0.1553,0.1773,0.0149
20,0.1871,0.6437,0.1871,0.1182,1.0241,22.2498,0.1622,0.1871,0.0157
21,0.1879,0.6523,0.1879,0.1199,1.0209,21.5657,0.1675,0.1879,0.0144
22,0.2004,0.6628,0.2004,0.1322,0.9992,20.8317,0.1826,0.2004,0.0146
23,0.2137,0.6685,0.2137,0.1411,0.9792,20.7885,0.1971,0.2137,0.0153
24,0.2181,0.6708,0.2181,0.1447,0.9735,20.7733,0.2005,0.2181,0.0147
25,0.2367,0.6831,0.2367,0.1611,0.9525,20.0209,0.221,0.2367,0.0154
26,0.2367,0.6818,0.2367,0.16,0.9459,20.0284,0.222,0.2367,0.0142
27,0.234,0.6793,0.234,0.1593,0.9531,20.0459,0.2184,0.234,0.0146
28,0.2411,0.6818,0.2411,0.165,0.9552,20.035,0.2233,0.2411,0.0139
29,0.2509,0.6914,0.2509,0.1782,0.9399,19.3222,0.2338,0.2509,0.0157
30,0.25,0.6918,0.25,0.1753,0.9407,19.3299,0.2344,0.25,0.015
31,0.2624,0.7015,0.2624,0.188,0.9274,18.607,0.2452,0.2624,0.0143
32,0.2624,0.7017,0.2624,0.1869,0.9257,18.6074,0.2453,0.2624,0.0141
33,0.2793,0.7129,0.2793,0.2007,0.899,17.8612,0.2636,0.2793,0.0145
34,0.2899,0.723,0.2899,0.2129,0.8867,17.1414,0.2754,0.2899,0.0149
35,0.2846,0.7297,0.2846,0.2107,0.8891,16.4645,0.276,0.2846,0.0145
36,0.2846,0.7305,0.2846,0.2124,0.8942,16.4661,0.2763,0.2846,0.0156
37,0.3005,0.7345,0.3005,0.2251,0.8773,16.4097,0.2924,0.3005,0.0145
38,0.3183,0.7453,0.3183,0.2454,0.8576,15.6655,0.3113,0.3183,0.0141
39,0.3183,0.7459,0.3183,0.2472,0.8591,15.6661,0.3116,0.3183,0.0147
40,0.32,0.7469,0.32,0.2485,0.8561,15.6549,0.3139,0.32,0.0152
41,0.3369,0.7575,0.3369,0.2699,0.8462,14.9277,0.3346,0.3369,0.0154
42,0.352,0.7687,0.352,0.2878,0.8285,14.1919,0.353,0.352,0.0146
43,0.3528,0.7753,0.3528,0.2895,0.8263,13.5246,0.3573,0.3528,0.0144
44,0.3537,0.7746,0.3537,0.2934,0.8321,13.5401,0.3558,0.3537,0.0142
45,0.3546,0.7839,0.3546,0.2982,0.8239,12.835,0.3605,0.3546,0.0166
46,0.3573,0.7843,0.3573,0.299,0.8227,12.8345,0.3616,0.3573,0.0146
47,0.3555,0.7822,0.3555,0.2984,0.8266,12.8527,0.3557,0.3555,0.0154
48,0.3546,0.7824,0.3546,0.2984,0.8264,12.8533,0.3557,0.3546,0.015
49,0.3555,0.7824,0.3555,0.299,0.8254,12.853,0.3568,0.3555,0.0142
50,0.3652,0.7936,0.3652,0.3112,0.8106,12.1246,0.3766,0.3652,0.0143
