step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.0078
1,0.0426,0.5199,0.0426,0.0036,1.5965,34.5112,0.0482,0.0426,0.0055
2,0.0612,0.529,0.0612,0.0082,1.4744,33.7542,0.0527,0.0612,0.0052
3,0.0727,0.5354,0.0727,0.0127,1.3821,33.0057,0.0604,0.0727,0.0051
4,0.0683,0.5313,0.0683,0.0147,1.4269,33.0276,0.0572,0.0683,0.0053
5,0.0807,0.5422,0.0807,0.0209,1.366,32.2749,0.0745,0.0807,0.0053
6,0.0931,0.5511,0.0931,0.0273,1.3035,31.531,0.0788,0.0931,0.0052
7,0.1064,0.5617,0.1064,0.0365,1.2753,30.7896,0.0855,0.1064,0.0052
8,0.1232,0.5725,0.1232,0.0435,1.2119,30.0376,0.0983,0.1232,0.0052
9,0.1392,0.5832,0.1392,0.0528,1.1829,29.2888,0.1094,0.1392,0.0052
10,0.1472,0.5935,0.1472,0.0606,1.1536,28.5482,0.1242,0.1472,0.0052
11,0.1489,0.6016,0.1489,0.0663,1.1357,27.8257,0.1276,0.1489,0.0055
12,0.1702,0.6142,0.1702,0.0787,1.1079,27.0693,0.1453,0.1702,0.0052
13,0.1871,0.6244,0.1871,0.0975,1.0834,26.3276,0.1636,0.1871,0.0052
14,0.1906,0.6308,0.1906,0.1036,1.0653,25.6148,0.1689,0.1906,0.0055
15,0.2074,0.6417,0.2074,0.1181,1.041,24.8667,0.1877,0.2074,0.005
16,0.2243,0.6499,0.2243,0.1301,1.0084,24.1292,0.2055,0.2243,0.0051
17,0.2394,0.6596,0.2394,0.1417,0.9794,23.3904,0.2142,0.2394,0.005
18,0.2438,0.6622,0.2438,0.1481,0.9806,23.3731,0.2163,0.2438,0.0052
19,0.2465,0.6698,0.2465,0.153,0.9745,22.6726,0.2178,0.2465,0.0064
20,0.2447,0.6699,0.2447,0.1486,0.9723,22.6797,0.2181,0.2447,0.0051
21,0.2438,0.6766,0.2438,0.152,0.9612,21.9789,0.2202,0.2438,0.0052
22,0.2465,0.6838,0.2465,0.158,0.9565,21.2784,0.2226,0.2465,0.0051
23,0.2456,0.6841,0.2456,0.1554,0.9501,21.2695,0.2235,0.2456,0.0052
24,0.2553,0.6921,0.2553,0.1688,0.9372,20.5568,0.2346,0.2553,0.0053
25,0.2571,0.6921,0.2571,0.1697,0.9369,20.5612,0.2331,0.2571,0.0051
26,0.2677,0.7037,0.2677,0.181,0.9156,19.8213,0.2471,0.2677,0.0056
27,0.2686,0.7036,0.2686,0.1807,0.9141,19.8255,0.2486,0.2686,0.0055
28,0.2766,0.7043,0.2766,0.1871,0.9104,19.8138,0.2516,0.2766,0.0053
29,0.2775,0.7107,0.2775,0.1903,0.9067,19.1222,0.2517,0.2775,0.0051
30,0.273,0.7098,0.273,0.1891,0.9111,19.1339,0.2501,0.273,0.005
31,0.2775,0.7191,0.2775,0.1965,0.905,18.4239,0.2564,0.2775,0.0051
32,0.2846,0.7191,0.2846,0.202,0.9006,18.425,0.2604,0.2846,0.0054
33,0.2934,0.729,0.2934,0.2123,0.8924,17.7105,0.2679,0.2934,0.0052
34,0.2988,0.7379,0.2988,0.2201,0.8824,17.0017,0.2762,0.2988,0.0052
35,0.3041,0.7456,0.3041,0.2271,0.8778,16.3096,0.2805,0.3041,0.0054
36,0.3103,0.7554,0.3103,0.2355,0.8658,15.5964,0.2906,0.3103,0.0051
37,0.3129,0.7557,0.3129,0.2362,0.8625,15.5893,0.2919,0.3129,0.0053
38,0.3112,0.7539,0.3112,0.2312,0.8629,15.6054,0.2899,0.3112,0.0053
39,0.3191,0.755,0.3191,0.2362,0.8524,15.5775,0.3008,0.3191,0.0067
40,0.32,0.7553,0.32,0.2374,0.8509,15.5719,0.3031,0.32,0.0051
41,0.3298,0.7656,0.3298,0.2503,0.841,14.8513,0.3148,0.3298,0.0054
42,0.3262,0.7656,0.3262,0.2464,0.8436,14.8613,0.314,0.3262,0.0052
43,0.3227,0.7654,0.3227,0.2463,0.8463,14.8677,0.3137,0.3227,0.0053
44,0.3236,0.7654,0.3236,0.2478,0.8449,14.8653,0.3146,0.3236,0.005
45,0.3262,0.7746,0.3262,0.2539,0.8364,14.157,0.3223,0.3262,0.0051
46,0.3245,0.7743,0.3245,0.2531,0.8394,14.1673,0.3217,0.3245,0.0051
47,0.3271,0.7745,0.3271,0.254,0.8365,14.1634,0.3224,0.3271,0.0052
48,0.3245,0.7744,0.3245,0.2507,0.8381,14.1694,0.3232,0.3245,0.0051
49,0.3271,0.7747,0.3271,0.255,0.8393,14.1656,0.3235,0.3271,0.0054
50,0.328,0.7752,0.328,0.2561,0.8381,14.1548,0.3245,0.328,0.0051
51,0.3271,0.775,0.3271,0.2539,0.8376,14.1622,0.325,0.3271,0.0051
52,0.3387,0.7773,0.3387,0.2626,0.8217,14.1197,0.3413,0.3387,0.005
53,0.3449,0.7839,0.3449,0.2713,0.8138,13.426,0.3504,0.3449,0.0051
54,0.3582,0.7949,0.3582,0.287,0.8002,12.6972,0.3678,0.3582,0.0051
55,0.3573,0.7948,0.3573,0.2887,0.807,12.7091,0.3654,0.3573,0.0051
56,0.3573,0.7946,0.3573,0.2897,0.8086,12.7179,0.3641,0.3573,0.0051
57,0.367,0.7965,0.367,0.3024,0.8022,12.0428,0.3686,0.367,0.0051
58,0.3759,0.7991,0.3759,0.3101,0.7935,12.0097,0.3787,0.3759,0.0052
59,0.3759,0.799,0.3759,0.3101,0.7934,12.0094,0.3786,0.3759,0.0051
