step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5089,0.8594,0.5089,0.4554,0.6554,8.7732,0.5254,0.5089,2.4061
1,0.6011,0.9485,0.6011,0.5836,0.5539,2.9175,0.6464,0.6011,1.724
2,0.6472,0.9728,0.6472,0.6336,0.5103,1.4159,0.698,0.6472,1.1121
3,0.6782,0.9788,0.6782,0.6743,0.4717,1.25,0.7399,0.6782,1.3104
4,0.7012,0.981,0.7012,0.696,0.4567,1.1987,0.7548,0.7012,1.5465
5,0.7004,0.9821,0.7004,0.6934,0.452,1.1869,0.7654,0.7004,2.2491
6,0.7172,0.9827,0.7172,0.7134,0.4435,1.1609,0.7698,0.7172,2.4084
7,0.7314,0.9831,0.7314,0.7286,0.4415,1.1541,0.7752,0.7314,2.3253
8,0.7305,0.9839,0.7305,0.7263,0.4374,1.1444,0.7796,0.7305,3.1885
9,0.7305,0.985,0.7305,0.7262,0.4337,1.1333,0.7808,0.7305,3.1769
10,0.7349,0.9855,0.7349,0.7308,0.4291,1.1213,0.7855,0.7349,3.2381
11,0.7349,0.9861,0.7349,0.7304,0.4286,1.1176,0.7879,0.7349,3.3948
12,0.7394,0.9863,0.7394,0.7348,0.4288,1.1164,0.7929,0.7394,5.4958
13,0.7447,0.9874,0.7447,0.7406,0.4244,1.1014,0.8023,0.7447,3.9366
14,0.7394,0.9878,0.7394,0.7363,0.421,1.0918,0.8074,0.7394,4.5753
15,0.7438,0.9882,0.7438,0.7409,0.419,1.0846,0.8112,0.7438,4.4701
16,0.7473,0.9884,0.7473,0.7446,0.419,1.0842,0.8123,0.7473,4.5774
17,0.7491,0.9881,0.7491,0.7474,0.4187,1.0867,0.8116,0.7491,5.5599
18,0.7518,0.9887,0.7518,0.7496,0.4194,1.0837,0.8144,0.7518,6.1113
19,0.7535,0.9888,0.7535,0.7518,0.4186,1.0819,0.8158,0.7535,5.369
20,0.7553,0.9889,0.7553,0.7539,0.4194,1.0814,0.8179,0.7553,5.688
21,0.7562,0.9889,0.7562,0.7537,0.4191,1.0811,0.8174,0.7562,6.0164
22,0.7571,0.9888,0.7571,0.7546,0.4186,1.0797,0.8178,0.7571,6.2405
23,0.7606,0.9889,0.7606,0.7591,0.4195,1.0808,0.8188,0.7606,7.1369
24,0.7589,0.9891,0.7589,0.757,0.42,1.0811,0.8195,0.7589,7.278
25,0.7615,0.989,0.7615,0.7608,0.4217,1.085,0.8204,0.7615,8.623
26,0.7677,0.9895,0.7677,0.7662,0.4172,1.0736,0.8244,0.7677,8.0087
27,0.7704,0.9895,0.7704,0.7681,0.4163,1.0732,0.8239,0.7704,7.4783
28,0.7722,0.9895,0.7722,0.7699,0.4142,1.0694,0.8263,0.7722,7.7062
29,0.7757,0.9898,0.7757,0.7732,0.4143,1.0677,0.8266,0.7757,8.036
30,0.7801,0.9899,0.7801,0.7773,0.4139,1.0661,0.829,0.7801,9.4892
31,0.7801,0.99,0.7801,0.7775,0.4133,1.0654,0.8317,0.7801,9.2856
32,0.7793,0.99,0.7793,0.7768,0.4139,1.0663,0.8324,0.7793,9.5578
33,0.7819,0.9902,0.7819,0.7798,0.4129,1.0621,0.8334,0.7819,9.7302
34,0.7784,0.9902,0.7784,0.7773,0.4132,1.0642,0.8342,0.7784,9.7313
35,0.7837,0.9903,0.7837,0.7827,0.4117,1.0607,0.8367,0.7837,10.1766
36,0.7801,0.9903,0.7801,0.7783,0.4127,1.0623,0.8369,0.7801,10.3202
37,0.7801,0.9904,0.7801,0.7782,0.4111,1.0577,0.8374,0.7801,10.6459
38,0.7837,0.9905,0.7837,0.7822,0.4088,1.0528,0.8389,0.7837,11.0545
39,0.7819,0.9905,0.7819,0.7801,0.4081,1.0526,0.8387,0.7819,11.6417
40,0.7855,0.9906,0.7855,0.7839,0.4061,1.0485,0.8415,0.7855,11.9886
41,0.7872,0.9906,0.7872,0.7861,0.4054,1.0468,0.8413,0.7872,11.788
42,0.781,0.9905,0.781,0.7803,0.4063,1.0486,0.8431,0.781,11.9079
43,0.7793,0.9905,0.7793,0.7776,0.4067,1.0489,0.8413,0.7793,12.0586
44,0.781,0.9905,0.781,0.7793,0.4062,1.0483,0.8411,0.781,12.7904
45,0.7793,0.9906,0.7793,0.7775,0.4066,1.0477,0.8413,0.7793,12.6352
46,0.7766,0.9906,0.7766,0.7742,0.406,1.0468,0.8411,0.7766,12.7795
47,0.7793,0.9907,0.7793,0.7769,0.4053,1.0447,0.8432,0.7793,13.3068
48,0.7775,0.9908,0.7775,0.7743,0.4049,1.0437,0.8429,0.7775,13.1891
49,0.7722,0.9909,0.7722,0.7685,0.4061,1.0447,0.8419,0.7722,13.6375
50,0.7722,0.9909,0.7722,0.7683,0.4061,1.0444,0.8422,0.7722,13.9882
51,0.7713,0.9908,0.7713,0.768,0.4065,1.0455,0.8415,0.7713,14.4167
52,0.7722,0.9909,0.7722,0.7686,0.4064,1.0452,0.8417,0.7722,14.4452
