step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.0104
1,0.0319,0.5117,0.0319,0.0026,1.4575,34.5361,0.0261,0.0319,3.6683
2,0.0381,0.5133,0.0381,0.0061,1.2948,33.8074,0.0297,0.0381,4.4166
3,0.0319,0.5187,0.0319,0.0062,1.2131,33.0841,0.0266,0.0319,3.78
4,0.0434,0.5236,0.0434,0.0074,1.2077,33.0792,0.0319,0.0434,3.5526
5,0.0452,0.5249,0.0452,0.0101,1.217,33.0797,0.0409,0.0452,3.3985
6,0.0488,0.5198,0.0488,0.0076,1.2136,33.0821,0.0345,0.0488,3.1932
7,0.0372,0.5186,0.0372,0.0081,1.2389,33.085,0.0309,0.0372,3.8982
8,0.0541,0.5256,0.0541,0.0178,1.1722,32.3622,0.0438,0.0541,3.8207
9,0.0559,0.5263,0.0559,0.0182,1.163,32.3553,0.0494,0.0559,3.8421
10,0.0585,0.5311,0.0585,0.0168,1.156,32.3494,0.0488,0.0585,3.7645
11,0.0612,0.5327,0.0612,0.0176,1.1574,32.3472,0.056,0.0612,3.6492
12,0.0727,0.5351,0.0727,0.0212,1.1301,31.6361,0.0598,0.0727,3.1748
13,0.0612,0.5343,0.0612,0.0183,1.1315,31.6379,0.0607,0.0612,3.1818
14,0.0789,0.5377,0.0789,0.0212,1.1256,31.6302,0.0672,0.0789,3.9523
15,0.0718,0.5322,0.0718,0.0156,1.1297,31.6381,0.0547,0.0718,3.8178
16,0.0656,0.5315,0.0656,0.0162,1.1281,31.6362,0.0626,0.0656,4.0079
17,0.0709,0.5342,0.0709,0.0204,1.1351,31.6355,0.0681,0.0709,3.8481
18,0.0612,0.5313,0.0612,0.0146,1.1338,31.6384,0.0649,0.0612,3.7417
19,0.0665,0.5359,0.0665,0.0178,1.1227,31.6236,0.067,0.0665,3.3285
20,0.0647,0.536,0.0647,0.0146,1.1206,31.6238,0.063,0.0647,3.2758
21,0.0709,0.5368,0.0709,0.0181,1.1211,31.618,0.0672,0.0709,3.2202
22,0.0709,0.5387,0.0709,0.0199,1.1203,31.6165,0.0703,0.0709,4.0877
23,0.0842,0.5456,0.0842,0.0236,1.1155,31.6082,0.0735,0.0842,3.6632
24,0.0789,0.5413,0.0789,0.0205,1.1204,31.6122,0.0742,0.0789,3.9925
25,0.078,0.5438,0.078,0.0203,1.1212,31.6106,0.0721,0.078,3.8065
26,0.0745,0.5394,0.0745,0.0202,1.121,31.6129,0.0733,0.0745,3.5419
27,0.0895,0.5476,0.0895,0.0285,1.1205,31.6031,0.0773,0.0895,3.6204
28,0.0824,0.5519,0.0824,0.0213,1.1032,30.8952,0.0759,0.0824,3.9011
29,0.0851,0.5511,0.0851,0.0266,1.1052,30.8962,0.0786,0.0851,3.5691
30,0.0851,0.5531,0.0851,0.0238,1.1047,30.8931,0.0805,0.0851,3.8998
31,0.0798,0.5475,0.0798,0.0195,1.0964,30.2445,0.0791,0.0798,4.0754
32,0.0851,0.5549,0.0851,0.0247,1.0786,29.5596,0.0805,0.0851,3.6046
33,0.0842,0.5569,0.0842,0.0267,1.083,29.5021,0.0795,0.0842,3.4869
34,0.0842,0.552,0.0842,0.0239,1.0828,29.5366,0.0802,0.0842,3.4816
35,0.0851,0.5601,0.0851,0.0262,1.0841,29.5299,0.0769,0.0851,4.2992
36,0.086,0.5596,0.086,0.0225,1.0708,28.8376,0.0777,0.086,4.0533
37,0.086,0.5563,0.086,0.0211,1.0695,28.8131,0.0795,0.086,3.8618
38,0.0842,0.5602,0.0842,0.0243,1.0707,28.8016,0.0767,0.0842,4.0484
39,0.0816,0.5468,0.0816,0.0237,1.0747,28.9419,0.0745,0.0816,4.1704
40,0.0851,0.5662,0.0851,0.0256,1.063,28.785,0.0793,0.0851,3.3781
41,0.0878,0.5672,0.0878,0.0261,1.0539,28.0952,0.081,0.0878,3.407
42,0.0904,0.5702,0.0904,0.0278,1.0577,28.1176,0.0826,0.0904,4.0987
43,0.0869,0.5712,0.0869,0.0215,1.0538,27.4373,0.0843,0.0869,4.054
44,0.0851,0.5724,0.0851,0.0223,1.0475,26.7524,0.0834,0.0851,4.0353
45,0.0824,0.5678,0.0824,0.0284,1.0512,26.817,0.0835,0.0824,3.9385
46,0.0878,0.5724,0.0878,0.0279,1.0473,26.8546,0.0908,0.0878,3.565
47,0.0869,0.5894,0.0869,0.0225,1.0407,26.1697,0.0983,0.0869,3.8885
48,0.0878,0.5832,0.0878,0.027,1.0421,26.246,0.0921,0.0878,3.9554
49,0.0931,0.5799,0.0931,0.0312,1.0308,25.5036,0.0947,0.0931,4.0535
50,0.0869,0.5912,0.0869,0.0257,1.0273,24.9188,0.0962,0.0869,3.9835
51,0.0878,0.5974,0.0878,0.0295,1.0226,24.3069,0.1057,0.0878,3.6189
52,0.0895,0.6008,0.0895,0.0354,1.0224,24.0715,0.1093,0.0895,3.5192
53,0.0922,0.5995,0.0922,0.035,1.017,23.5869,0.1114,0.0922,3.5736
54,0.0851,0.596,0.0851,0.0315,1.0142,23.4787,0.1079,0.0851,4.3129
55,0.0975,0.6119,0.0975,0.0412,1.011,23.5182,0.1131,0.0975,4.1847
56,0.094,0.6036,0.094,0.0368,1.0129,23.4911,0.1097,0.094,4.1247
57,0.1028,0.6139,0.1028,0.0442,1.0065,23.3187,0.112,0.1028,4.1134
58,0.0949,0.6011,0.0949,0.0391,1.011,23.3805,0.1034,0.0949,3.7087
59,0.1055,0.6127,0.1055,0.044,1.006,23.402,0.1154,0.1055,3.5279
