step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.0651
1,0.0293,0.5055,0.0293,0.0027,1.4603,34.538,0.0241,0.0293,0.1067
2,0.0461,0.5207,0.0461,0.0058,1.2896,33.8041,0.0312,0.0461,0.1135
3,0.0363,0.5182,0.0363,0.0079,1.2985,33.8035,0.0305,0.0363,0.1127
4,0.0328,0.5165,0.0328,0.0066,1.2193,33.0857,0.0303,0.0328,0.1167
5,0.0399,0.5192,0.0399,0.0127,1.1663,32.3672,0.0329,0.0399,0.1209
6,0.031,0.5253,0.031,0.0086,1.1372,31.6546,0.031,0.031,0.1244
7,0.0434,0.5323,0.0434,0.0109,1.1368,31.6455,0.0405,0.0434,0.1177
8,0.0496,0.5325,0.0496,0.0079,1.1376,31.6478,0.0389,0.0496,0.1224
9,0.055,0.5353,0.055,0.0105,1.1327,31.6441,0.0348,0.055,0.125
10,0.0523,0.5289,0.0523,0.0083,1.1158,30.9512,0.0297,0.0523,0.1242
11,0.0612,0.5488,0.0612,0.0116,1.0952,30.2235,0.0495,0.0612,0.1236
12,0.0621,0.5532,0.0621,0.0139,1.0753,29.5133,0.0489,0.0621,0.1328
13,0.0621,0.5528,0.0621,0.0163,1.0702,28.8228,0.0447,0.0621,0.129
14,0.0603,0.5531,0.0603,0.0175,1.0601,28.1603,0.0444,0.0603,0.1266
15,0.0629,0.5568,0.0629,0.0189,1.0675,28.133,0.0507,0.0629,0.1351
16,0.0594,0.5617,0.0594,0.0167,1.0553,27.4305,0.0462,0.0594,0.1326
17,0.0612,0.5674,0.0612,0.0109,1.0489,27.4131,0.0586,0.0612,0.1411
18,0.0612,0.5662,0.0612,0.0164,1.0439,27.4358,0.0631,0.0612,0.1408
19,0.0674,0.5791,0.0674,0.0178,1.0394,26.7063,0.0652,0.0674,0.1357
20,0.0674,0.5783,0.0674,0.0177,1.0361,26.0578,0.0677,0.0674,0.1412
21,0.0816,0.5718,0.0816,0.0266,1.037,26.0592,0.0618,0.0816,0.1409
22,0.0718,0.57,0.0718,0.0208,1.0369,26.0623,0.0601,0.0718,0.1474
23,0.0771,0.5796,0.0771,0.0241,1.0264,25.3481,0.0795,0.0771,0.1344
24,0.0727,0.5855,0.0727,0.0303,1.0313,25.3538,0.0758,0.0727,0.1532
25,0.0851,0.5849,0.0851,0.033,1.0274,25.3158,0.0889,0.0851,0.1519
26,0.094,0.5943,0.094,0.0467,1.0258,25.3366,0.0806,0.094,0.1422
27,0.0789,0.591,0.0789,0.0332,1.029,25.4546,0.0895,0.0789,0.1562
28,0.0887,0.5938,0.0887,0.0406,1.0265,25.3631,0.0883,0.0887,0.1535
29,0.0842,0.5912,0.0842,0.0344,1.0291,25.4489,0.0952,0.0842,0.1429
30,0.1064,0.6039,0.1064,0.0452,1.0165,25.3272,0.1063,0.1064,0.1475
31,0.1011,0.5984,0.1011,0.0469,1.0199,25.3358,0.1163,0.1011,0.1458
32,0.0984,0.6037,0.0984,0.0495,1.019,24.7618,0.1091,0.0984,0.143
33,0.0931,0.6019,0.0931,0.0416,1.0252,24.6101,0.111,0.0931,0.1521
34,0.0957,0.5987,0.0957,0.0361,1.0204,24.6981,0.1023,0.0957,0.1463
35,0.1002,0.6051,0.1002,0.0392,1.0168,24.676,0.1065,0.1002,0.1446
36,0.1002,0.6093,0.1002,0.0404,1.0119,23.9867,0.1059,0.1002,0.1526
37,0.0975,0.611,0.0975,0.0358,1.0176,24.0475,0.1012,0.0975,0.1481
38,0.1099,0.6134,0.1099,0.0358,1.008,23.9202,0.1152,0.1099,0.1482
39,0.1117,0.6165,0.1117,0.045,1.0033,23.3708,0.117,0.1117,0.148
40,0.1064,0.615,0.1064,0.04,1.0024,22.6443,0.1116,0.1064,0.1471
41,0.1144,0.6212,0.1144,0.0471,1.0007,22.8825,0.1106,0.1144,0.1495
42,0.1082,0.613,0.1082,0.0406,1.0023,22.6664,0.1106,0.1082,0.1541
43,0.1206,0.6215,0.1206,0.0564,0.9945,22.7764,0.1184,0.1206,0.1516
44,0.1374,0.6242,0.1374,0.0702,0.9913,22.711,0.1365,0.1374,0.1594
45,0.1188,0.6211,0.1188,0.0497,0.9937,22.6699,0.1243,0.1188,0.1607
46,0.1339,0.6257,0.1339,0.0604,0.9923,22.9176,0.1302,0.1339,0.1713
47,0.1232,0.6171,0.1232,0.0545,0.9906,22.8876,0.1255,0.1232,0.1655
48,0.1285,0.6293,0.1285,0.0626,0.9895,22.8376,0.1295,0.1285,0.1674
49,0.1321,0.636,0.1321,0.0672,0.9873,22.7015,0.1264,0.1321,0.1675
50,0.1321,0.63,0.1321,0.0664,0.989,22.6986,0.128,0.1321,0.1698
51,0.1188,0.638,0.1188,0.0542,0.9862,21.9774,0.1232,0.1188,0.1732
52,0.1427,0.643,0.1427,0.0719,0.9823,21.8973,0.1446,0.1427,0.1744
53,0.1401,0.6413,0.1401,0.0751,0.9826,21.9899,0.1448,0.1401,0.1702
54,0.1392,0.6344,0.1392,0.07,0.985,22.3382,0.141,0.1392,0.1871
55,0.1294,0.6441,0.1294,0.0681,0.9862,21.9531,0.1309,0.1294,0.1729
56,0.125,0.6358,0.125,0.0606,0.9847,22.2018,0.1322,0.125,0.1807
57,0.1232,0.6447,0.1232,0.0585,0.9844,21.96,0.1377,0.1232,0.1809
58,0.1401,0.6461,0.1401,0.073,0.9799,21.4395,0.1403,0.1401,0.1767
59,0.1206,0.6385,0.1206,0.0603,0.9878,21.4119,0.1344,0.1206,0.1843
