step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.0076
1,0.039,0.5144,0.039,0.0037,1.4572,34.535,0.0274,0.039,0.1456
2,0.0213,0.5146,0.0213,0.0009,1.5063,34.5363,0.0327,0.0213,0.104
3,0.0213,0.5134,0.0213,0.0009,1.5014,34.5366,0.0274,0.0213,0.1074
4,0.039,0.5157,0.039,0.0052,1.4612,34.5326,0.0311,0.039,0.1095
5,0.0399,0.5187,0.0399,0.0036,1.4564,34.5276,0.0447,0.0399,0.1121
6,0.0417,0.5177,0.0417,0.0046,1.4639,34.5284,0.0361,0.0417,0.113
7,0.039,0.5248,0.039,0.0036,1.3226,33.7974,0.0395,0.039,0.1189
8,0.0399,0.5244,0.0399,0.0037,1.2362,33.0768,0.0402,0.0399,0.1179
9,0.0408,0.5282,0.0408,0.0034,1.1912,32.3641,0.0433,0.0408,0.1173
10,0.0426,0.5311,0.0426,0.0066,1.1679,31.657,0.0441,0.0426,0.1199
11,0.0461,0.5482,0.0461,0.011,1.1309,30.9306,0.0567,0.0461,0.1215
12,0.0381,0.5443,0.0381,0.0042,1.1132,30.234,0.0519,0.0381,0.1226
13,0.0594,0.5482,0.0594,0.0173,1.1057,30.222,0.0623,0.0594,0.1218
14,0.0629,0.5522,0.0629,0.0151,1.101,30.2179,0.0657,0.0629,0.1263
15,0.0594,0.5543,0.0594,0.0143,1.0852,29.5148,0.0639,0.0594,0.1247
16,0.0603,0.5507,0.0603,0.0192,1.0863,28.8358,0.0627,0.0603,0.1239
17,0.0612,0.5549,0.0612,0.0185,1.0692,28.1294,0.0661,0.0612,0.1275
18,0.0691,0.5704,0.0691,0.0274,1.0465,27.3984,0.0773,0.0691,0.1339
19,0.0674,0.5586,0.0674,0.028,1.0503,27.4778,0.0785,0.0674,0.1307
20,0.0736,0.5818,0.0736,0.0329,1.0342,26.6883,0.0856,0.0736,0.1293
21,0.0922,0.5876,0.0922,0.0489,1.0229,25.9795,0.1005,0.0922,0.1307
