step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.0074
1,0.039,0.5164,0.039,0.0037,1.4575,34.5344,0.0283,0.039,0.2064
2,0.0346,0.5147,0.0346,0.0079,1.3,33.8066,0.0303,0.0346,0.0478
3,0.039,0.5195,0.039,0.0056,1.2105,33.0829,0.0302,0.039,0.0172
4,0.0594,0.5294,0.0594,0.0126,1.1548,32.3549,0.0431,0.0594,0.0186
5,0.0488,0.5336,0.0488,0.0101,1.1299,31.6483,0.0395,0.0488,0.0254
6,0.0762,0.5395,0.0762,0.0269,1.093,30.9206,0.0563,0.0762,0.0215
7,0.0665,0.5493,0.0665,0.0336,1.1006,30.9166,0.0708,0.0665,0.0175
8,0.0674,0.5481,0.0674,0.0349,1.0803,30.2102,0.064,0.0674,0.0176
9,0.0824,0.5504,0.0824,0.038,1.061,29.4994,0.0751,0.0824,0.0185
10,0.0745,0.5531,0.0745,0.035,1.0511,28.8008,0.0783,0.0745,0.0183
11,0.0603,0.5654,0.0603,0.0421,1.0467,28.0927,0.0786,0.0603,0.0162
12,0.0878,0.5625,0.0878,0.0497,1.0359,27.4,0.0898,0.0878,0.0153
13,0.094,0.5743,0.094,0.0535,1.025,26.6927,0.0916,0.094,0.0156
14,0.1073,0.5718,0.1073,0.0518,1.0157,25.996,0.0853,0.1073,0.0163
15,0.1028,0.5776,0.1028,0.0521,1.0104,25.2941,0.0971,0.1028,0.0193
16,0.1179,0.5891,0.1179,0.0676,1.0056,24.5912,0.0973,0.1179,0.0188
17,0.133,0.5968,0.133,0.0701,0.9949,23.9101,0.1129,0.133,0.0207
18,0.1117,0.5877,0.1117,0.0591,1.0002,23.9315,0.1042,0.1117,0.016
19,0.1188,0.5863,0.1188,0.0705,0.9966,23.2419,0.1144,0.1188,0.0178
20,0.1312,0.5917,0.1312,0.0757,0.9974,23.3575,0.1,0.1312,0.0161
21,0.1206,0.5987,0.1206,0.0798,0.9942,22.5464,0.1065,0.1206,0.0199
22,0.1259,0.6032,0.1259,0.0805,0.9907,21.9422,0.1098,0.1259,0.0163
23,0.1223,0.6166,0.1223,0.0927,0.9876,21.2007,0.1213,0.1223,0.0192
24,0.125,0.6099,0.125,0.0842,0.9856,20.5645,0.1098,0.125,0.0198
25,0.1223,0.6085,0.1223,0.0855,0.9886,20.7467,0.1083,0.1223,0.0219
26,0.1206,0.6106,0.1206,0.0845,0.9864,20.4766,0.1042,0.1206,0.0268
27,0.1383,0.6316,0.1383,0.1068,0.9808,19.8704,0.124,0.1383,0.0188
28,0.1498,0.6361,0.1498,0.1044,0.9762,19.1239,0.1329,0.1498,0.0179
29,0.1392,0.6353,0.1392,0.1012,0.9789,19.1337,0.1277,0.1392,0.0182
30,0.1445,0.6295,0.1445,0.1153,0.9785,19.1866,0.1339,0.1445,0.0197
31,0.1259,0.6321,0.1259,0.1113,0.9829,19.1469,0.1358,0.1259,0.0193
32,0.1374,0.6263,0.1374,0.1076,0.9796,18.5019,0.1269,0.1374,0.0192
33,0.1064,0.6212,0.1064,0.072,0.9844,18.6961,0.1155,0.1064,0.0187
34,0.1285,0.6299,0.1285,0.0999,0.9818,18.698,0.1236,0.1285,0.0196
35,0.1268,0.6362,0.1268,0.0952,0.9793,17.9866,0.1234,0.1268,0.0199
36,0.1285,0.6283,0.1285,0.0991,0.9791,17.4373,0.1251,0.1285,0.0203
37,0.1418,0.647,0.1418,0.1163,0.9726,16.5262,0.1431,0.1418,0.018
38,0.1028,0.6473,0.1028,0.0916,0.978,16.5631,0.1409,0.1028,0.0202
39,0.1206,0.6395,0.1206,0.0947,0.9768,16.9114,0.137,0.1206,0.0211
40,0.1179,0.6584,0.1179,0.1004,0.9757,15.9819,0.1281,0.1179,0.0192
41,0.133,0.663,0.133,0.1038,0.9746,16.0329,0.1405,0.133,0.0215
42,0.1241,0.6512,0.1241,0.1001,0.9738,15.6887,0.1416,0.1241,0.0272
43,0.1445,0.6471,0.1445,0.119,0.9723,15.7391,0.1398,0.1445,0.0253
44,0.133,0.6575,0.133,0.1096,0.9708,14.9863,0.1343,0.133,0.018
45,0.1401,0.671,0.1401,0.1131,0.9648,14.363,0.1607,0.1401,0.0214
46,0.1498,0.6776,0.1498,0.1301,0.9657,14.2148,0.1595,0.1498,0.0199
47,0.1622,0.6915,0.1622,0.1349,0.9611,13.9452,0.169,0.1622,0.0209
48,0.1613,0.6858,0.1613,0.1322,0.9591,14.2305,0.1843,0.1613,0.0181
49,0.148,0.6827,0.148,0.1214,0.9612,14.4674,0.1669,0.148,0.02
50,0.1525,0.6767,0.1525,0.1309,0.9629,14.1177,0.1608,0.1525,0.0189
51,0.1472,0.6868,0.1472,0.1124,0.9614,14.2062,0.1658,0.1472,0.0188
52,0.1392,0.6818,0.1392,0.1195,0.9645,14.0888,0.1568,0.1392,0.018
53,0.1569,0.674,0.1569,0.1386,0.9636,14.1696,0.1612,0.1569,0.0192
54,0.1383,0.6773,0.1383,0.1244,0.9658,14.2098,0.1615,0.1383,0.0192
55,0.1401,0.6871,0.1401,0.1198,0.9646,14.0763,0.1616,0.1401,0.0193
56,0.1534,0.6807,0.1534,0.1328,0.9642,14.2308,0.1693,0.1534,0.0206
57,0.133,0.6768,0.133,0.1156,0.9675,14.3263,0.1603,0.133,0.0225
58,0.141,0.6773,0.141,0.1232,0.9654,14.2933,0.1603,0.141,0.0199
59,0.1463,0.6753,0.1463,0.1285,0.9649,14.1844,0.1615,0.1463,0.0171
