step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,0.3389
1,0.0301,0.5125,0.0301,0.0028,1.4576,34.536,0.0262,0.0301,0.015
2,0.0213,0.5145,0.0213,0.0009,1.5242,34.5379,0.029,0.0213,0.0152
3,0.0284,0.5243,0.0284,0.0075,1.307,33.8014,0.0342,0.0284,0.0151
4,0.039,0.5298,0.039,0.015,1.224,33.0744,0.0452,0.039,0.0151
5,0.0266,0.5326,0.0266,0.0102,1.2665,33.0755,0.0492,0.0266,0.0152
6,0.0301,0.534,0.0301,0.0134,1.1918,32.3595,0.0439,0.0301,0.015
7,0.0399,0.5444,0.0399,0.0225,1.1405,31.6349,0.0563,0.0399,0.0151
8,0.0363,0.5505,0.0363,0.021,1.1221,30.9187,0.0646,0.0363,0.0151
9,0.0452,0.5503,0.0452,0.0145,1.1234,30.924,0.0615,0.0452,0.015
10,0.0612,0.5579,0.0612,0.0322,1.0887,30.1998,0.0733,0.0612,0.015
11,0.0629,0.5637,0.0629,0.0387,1.0763,29.4926,0.0767,0.0629,0.0153
12,0.0833,0.569,0.0833,0.0385,1.0607,29.4767,0.0876,0.0833,0.0152
13,0.0824,0.577,0.0824,0.0448,1.0496,28.7658,0.0937,0.0824,0.0151
14,0.0931,0.5811,0.0931,0.0469,1.0333,28.057,0.0966,0.0931,0.0152
15,0.0842,0.5743,0.0842,0.0365,1.0401,28.0737,0.0875,0.0842,0.015
16,0.102,0.5861,0.102,0.0437,1.0273,27.3582,0.1006,0.102,0.015
17,0.0869,0.5829,0.0869,0.0402,1.0242,26.7011,0.087,0.0869,0.0152
18,0.0975,0.5896,0.0975,0.0563,1.016,25.9675,0.1012,0.0975,0.0151
19,0.1144,0.6106,0.1144,0.0656,1.0041,25.2367,0.1175,0.1144,0.0151
20,0.1285,0.6101,0.1285,0.0694,0.9963,24.5412,0.1252,0.1285,0.0152
21,0.1117,0.6104,0.1117,0.0647,0.9957,23.9129,0.1208,0.1117,0.0153
22,0.125,0.6075,0.125,0.0715,0.9916,23.2372,0.1187,0.125,0.0153
23,0.117,0.6232,0.117,0.0685,0.9869,22.4671,0.1189,0.117,0.0158
24,0.1312,0.6306,0.1312,0.0827,0.9847,22.4555,0.128,0.1312,0.0154
25,0.1339,0.6228,0.1339,0.0804,0.9818,21.8017,0.1306,0.1339,0.0154
26,0.1356,0.6261,0.1356,0.084,0.9847,21.8035,0.1326,0.1356,0.0159
27,0.1436,0.63,0.1436,0.089,0.9797,21.1673,0.1317,0.1436,0.0163
28,0.1525,0.631,0.1525,0.0914,0.978,21.275,0.1421,0.1525,0.0154
29,0.1569,0.6419,0.1569,0.0918,0.9724,20.567,0.1464,0.1569,0.015
30,0.1285,0.6248,0.1285,0.074,0.9819,20.5952,0.1115,0.1285,0.0151
31,0.156,0.6563,0.156,0.0964,0.9692,19.8371,0.1447,0.156,0.015
32,0.1676,0.6614,0.1676,0.1178,0.9646,19.0208,0.1566,0.1676,0.0152
33,0.1764,0.6614,0.1764,0.1166,0.9638,19.2467,0.1655,0.1764,0.0149
34,0.1871,0.6504,0.1871,0.1281,0.9639,19.2341,0.1643,0.1871,0.0155
35,0.1844,0.6688,0.1844,0.1217,0.9586,18.6243,0.1764,0.1844,0.015
36,0.1605,0.6638,0.1605,0.1036,0.9641,17.9212,0.1583,0.1605,0.0151
37,0.1826,0.6667,0.1826,0.1327,0.9613,17.9011,0.1718,0.1826,0.0165
38,0.1693,0.6655,0.1693,0.1215,0.9595,17.3411,0.1634,0.1693,0.0161
39,0.1755,0.677,0.1755,0.1237,0.9612,17.1365,0.1645,0.1755,0.0151
40,0.1551,0.6613,0.1551,0.1149,0.9612,17.2645,0.1644,0.1551,0.0153
41,0.1809,0.6782,0.1809,0.1301,0.956,17.0683,0.1767,0.1809,0.0151
42,0.164,0.6743,0.164,0.1197,0.9575,17.2089,0.1782,0.164,0.0154
43,0.1746,0.6756,0.1746,0.1266,0.9539,16.8004,0.1867,0.1746,0.0153
44,0.18,0.6971,0.18,0.1375,0.9512,15.9228,0.1945,0.18,0.0152
45,0.2092,0.7049,0.2092,0.1607,0.9447,15.3793,0.2134,0.2092,0.0156
46,0.1871,0.7008,0.1871,0.145,0.9492,15.3413,0.198,0.1871,0.0154
47,0.2012,0.6983,0.2012,0.1484,0.9463,15.1991,0.197,0.2012,0.0151
48,0.2021,0.7059,0.2021,0.1588,0.9422,14.6413,0.2089,0.2021,0.0157
49,0.2083,0.7073,0.2083,0.1607,0.9421,14.1884,0.2162,0.2083,0.0151
50,0.2101,0.7209,0.2101,0.1652,0.9403,13.7712,0.2238,0.2101,0.0154
51,0.1968,0.7202,0.1968,0.1578,0.9382,13.2292,0.2268,0.1968,0.0155
52,0.2207,0.7294,0.2207,0.1728,0.9367,12.5969,0.2228,0.2207,0.0153
53,0.2074,0.7227,0.2074,0.1649,0.9399,12.6726,0.2116,0.2074,0.0151
54,0.2154,0.7301,0.2154,0.1642,0.9331,12.7132,0.2368,0.2154,0.015
55,0.2181,0.7333,0.2181,0.1692,0.934,12.5795,0.2276,0.2181,0.0149
56,0.227,0.722,0.227,0.183,0.9333,12.7024,0.235,0.227,0.015
57,0.2287,0.7202,0.2287,0.1769,0.9315,12.9836,0.235,0.2287,0.0147
58,0.2243,0.7307,0.2243,0.1754,0.9311,12.4545,0.2371,0.2243,0.015
59,0.2518,0.7421,0.2518,0.1989,0.9278,12.1809,0.2536,0.2518,0.0149
