step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0213,0.5,0.0213,0.0009,1.9574,35.2768,0.0213,0.0213,4.906
1,0.0337,0.5115,0.0337,0.0028,1.4556,34.5354,0.0353,0.0337,2.3077
2,0.0275,0.5165,0.0275,0.0065,1.4879,34.5331,0.0364,0.0275,1.4239
3,0.039,0.5224,0.039,0.0223,1.326,33.797,0.0553,0.039,1.3947
4,0.0532,0.5324,0.0532,0.0326,1.2191,33.0634,0.0673,0.0532,1.5792
5,0.055,0.5385,0.055,0.0406,1.1781,32.3416,0.0741,0.055,1.5617
6,0.07,0.5443,0.07,0.0496,1.1273,31.6188,0.0822,0.07,1.2705
7,0.0754,0.5566,0.0754,0.0583,1.1022,30.8937,0.0948,0.0754,1.2776
8,0.1011,0.5634,0.1011,0.0644,1.0675,30.1648,0.1131,0.1011,1.1576
9,0.117,0.574,0.117,0.0661,1.0457,29.4437,0.1265,0.117,1.5933
10,0.1312,0.5864,0.1312,0.0989,1.0311,28.7145,0.1493,0.1312,1.3417
11,0.1285,0.5888,0.1285,0.1008,1.025,28.0154,0.1434,0.1285,2.0381
12,0.1587,0.6017,0.1587,0.0943,1.0041,27.2878,0.1604,0.1587,1.8293
13,0.1613,0.6046,0.1613,0.102,0.9973,26.586,0.1674,0.1613,1.6589
14,0.1817,0.6205,0.1817,0.1081,0.9859,25.8651,0.1807,0.1817,2.445
15,0.1755,0.6157,0.1755,0.1106,0.9855,25.2148,0.1719,0.1755,1.7594
16,0.1738,0.6241,0.1738,0.119,0.9769,24.4677,0.1863,0.1738,2.1881
17,0.1791,0.6286,0.1791,0.1209,0.9728,23.8049,0.1837,0.1791,1.9754
18,0.1941,0.6275,0.1941,0.1352,0.9683,23.1108,0.1951,0.1941,1.8839
19,0.1791,0.6362,0.1791,0.1446,0.9745,23.0798,0.1799,0.1791,2.1073
20,0.2012,0.6442,0.2012,0.1438,0.9615,22.3879,0.1968,0.2012,2.3737
21,0.195,0.6522,0.195,0.1555,0.9592,21.684,0.2079,0.195,2.6799
22,0.2039,0.655,0.2039,0.1413,0.9583,21.6884,0.2072,0.2039,2.403
23,0.1968,0.6609,0.1968,0.1538,0.9569,20.9663,0.2097,0.1968,2.722
24,0.2101,0.6581,0.2101,0.1513,0.9532,20.9604,0.2158,0.2101,2.7883
25,0.2296,0.6657,0.2296,0.1704,0.9513,20.4306,0.2204,0.2296,2.3582
26,0.219,0.6628,0.219,0.1558,0.9528,19.7336,0.2142,0.219,2.5517
27,0.2411,0.6764,0.2411,0.1811,0.9437,18.9777,0.2323,0.2411,2.8478
28,0.2278,0.6757,0.2278,0.1802,0.9462,18.9923,0.2213,0.2278,3.0339
29,0.2367,0.682,0.2367,0.1945,0.9411,18.2581,0.2361,0.2367,3.2538
30,0.2615,0.7012,0.2615,0.215,0.9349,17.5102,0.2612,0.2615,2.9599
31,0.2509,0.7004,0.2509,0.2041,0.9357,17.5674,0.2556,0.2509,2.9686
32,0.2376,0.6953,0.2376,0.1983,0.9392,16.9886,0.2484,0.2376,2.92
33,0.2535,0.7045,0.2535,0.2091,0.9325,16.4569,0.2632,0.2535,3.1317
34,0.2535,0.7013,0.2535,0.203,0.9323,16.261,0.2562,0.2535,3.553
35,0.2677,0.7197,0.2677,0.2242,0.9238,15.4679,0.2691,0.2677,3.3495
36,0.25,0.7057,0.25,0.2108,0.931,15.688,0.2609,0.25,3.3255
37,0.2571,0.7081,0.2571,0.2168,0.9293,14.8936,0.2546,0.2571,3.4484
38,0.2695,0.7187,0.2695,0.2283,0.926,14.9751,0.2694,0.2695,3.4258
39,0.2668,0.7246,0.2668,0.2285,0.9238,14.9232,0.2772,0.2668,3.7893
40,0.2589,0.7208,0.2589,0.2291,0.925,14.4099,0.2751,0.2589,4.0138
41,0.2624,0.7296,0.2624,0.2328,0.9237,13.9083,0.2747,0.2624,3.5279
42,0.2544,0.7331,0.2544,0.233,0.9266,13.5506,0.2795,0.2544,3.8412
43,0.2518,0.7331,0.2518,0.2371,0.9251,13.6477,0.2843,0.2518,3.7791
44,0.2447,0.7477,0.2447,0.2308,0.9224,12.9953,0.2977,0.2447,4.439
45,0.2668,0.7476,0.2668,0.245,0.9177,12.4516,0.2999,0.2668,4.0144
46,0.2686,0.7423,0.2686,0.2569,0.9185,12.4609,0.3035,0.2686,4.4577
47,0.2695,0.749,0.2695,0.2544,0.9187,12.4444,0.2988,0.2695,3.8662
48,0.2757,0.7555,0.2757,0.2636,0.9167,11.8088,0.3059,0.2757,4.3055
49,0.2996,0.7614,0.2996,0.2731,0.9084,11.7161,0.325,0.2996,4.4188
50,0.273,0.7579,0.273,0.262,0.914,11.603,0.2996,0.273,4.0169
51,0.2908,0.7705,0.2908,0.2708,0.9075,10.9142,0.315,0.2908,4.2269
