step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0612,0.5428,0.0612,0.0292,1.0832,30.2128,0.0658,0.0612,0.0214
1,0.1259,0.6075,0.1259,0.0778,1.0038,24.5821,0.12,0.1259,0.1435
2,0.18,0.6462,0.18,0.1128,0.9674,19.6759,0.157,0.18,0.1816
3,0.1897,0.6899,0.1897,0.1332,0.9534,16.6791,0.1966,0.1897,0.188
4,0.2376,0.7018,0.2376,0.1695,0.9414,14.7862,0.2111,0.2376,0.2434
5,0.2704,0.7313,0.2704,0.2119,0.9258,14.0902,0.2687,0.2704,0.3308
6,0.2996,0.7623,0.2996,0.2468,0.9114,10.7008,0.2956,0.2996,0.2873
7,0.3147,0.7961,0.3147,0.2783,0.9004,9.2752,0.3291,0.3147,0.3737
8,0.336,0.796,0.336,0.2966,0.8978,8.9821,0.3312,0.336,0.424
9,0.3475,0.8015,0.3475,0.2995,0.888,8.5146,0.3522,0.3475,0.4085
10,0.3573,0.8239,0.3573,0.3068,0.8823,7.0828,0.3526,0.3573,0.4389
11,0.3697,0.8389,0.3697,0.3365,0.8762,6.709,0.3723,0.3697,0.4293
12,0.4016,0.8567,0.4016,0.3735,0.8652,5.5963,0.4169,0.4016,0.4552
13,0.414,0.856,0.414,0.3822,0.8619,5.2645,0.4199,0.414,0.508
14,0.4113,0.8658,0.4113,0.3842,0.8563,4.4928,0.4252,0.4113,0.5897
15,0.4415,0.8767,0.4415,0.4157,0.8512,4.1603,0.4372,0.4415,0.7066
16,0.4574,0.8904,0.4574,0.4336,0.8409,3.8211,0.4689,0.4574,0.7612
17,0.4716,0.8977,0.4716,0.4555,0.8412,3.6723,0.4723,0.4716,0.6938
18,0.4521,0.8912,0.4521,0.4267,0.8386,3.6345,0.4702,0.4521,0.7871
19,0.4858,0.8991,0.4858,0.4764,0.8411,3.2477,0.4913,0.4858,0.8123
20,0.4637,0.8992,0.4637,0.4474,0.8368,3.2358,0.4869,0.4637,0.8421
21,0.4716,0.9107,0.4716,0.4592,0.8306,3.0398,0.5013,0.4716,0.857
22,0.4982,0.911,0.4982,0.4858,0.8305,2.991,0.499,0.4982,0.905
23,0.477,0.9107,0.477,0.461,0.8355,3.0385,0.5033,0.477,0.9182
24,0.4982,0.9185,0.4982,0.4825,0.8205,2.8327,0.5272,0.4982,0.9168
25,0.5239,0.9256,0.5239,0.5105,0.823,2.7783,0.532,0.5239,0.9179
26,0.531,0.9222,0.531,0.5264,0.8253,2.7352,0.5468,0.531,0.9386
27,0.5204,0.9257,0.5204,0.5055,0.8173,2.7883,0.5435,0.5204,1.1166
28,0.5363,0.9249,0.5363,0.5288,0.815,2.8559,0.558,0.5363,1.1424
29,0.5594,0.9313,0.5594,0.5505,0.8113,2.7739,0.5716,0.5594,1.1601
30,0.5585,0.9294,0.5585,0.5506,0.8154,2.6749,0.5666,0.5585,1.1122
31,0.5665,0.9355,0.5665,0.5681,0.8147,2.5477,0.5733,0.5665,1.0946
32,0.5638,0.9401,0.5638,0.5614,0.808,2.5388,0.5784,0.5638,1.151
33,0.5709,0.9353,0.5709,0.5574,0.8086,2.5555,0.5757,0.5709,1.1725
34,0.57,0.9314,0.57,0.5637,0.8097,2.6219,0.5839,0.57,1.0843
35,0.5629,0.9345,0.5629,0.5556,0.8085,2.6898,0.5815,0.5629,1.1784
36,0.5709,0.942,0.5709,0.5721,0.8049,2.4429,0.5991,0.5709,1.3683
37,0.5709,0.9376,0.5709,0.5689,0.8058,2.5944,0.5887,0.5709,1.3259
38,0.6161,0.9401,0.6161,0.6118,0.8029,2.6221,0.6141,0.6161,1.4618
39,0.5949,0.9442,0.5949,0.588,0.7997,2.4154,0.6112,0.5949,1.4701
