step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0057
1,0.6667,0.8281,0.6667,0.5499,0.564,12.1523,0.7687,0.6667,0.0052
2,0.7778,0.9422,0.7778,0.7608,0.3084,0.5536,0.9108,0.7778,0.0064
3,0.8667,0.9556,0.8667,0.8661,0.3039,0.5287,0.899,0.8667,0.0074
4,0.8,0.9637,0.8,0.7802,0.3228,0.5383,0.9095,0.8,0.0068
5,0.6667,0.8763,0.6667,0.5556,0.5004,0.7381,0.769,0.6667,0.0078
6,0.6667,0.9674,0.6667,0.5556,0.4453,0.664,0.911,0.6667,0.007
7,0.6667,0.9207,0.6667,0.5556,0.4432,0.6615,0.8328,0.6667,0.0073
8,0.6667,0.9341,0.6667,0.5556,0.4477,0.6637,0.8629,0.6667,0.0079
9,0.6667,0.9326,0.6667,0.5556,0.4204,0.6159,0.862,0.6667,0.0077
10,0.6667,0.9044,0.6667,0.5556,0.4534,0.669,0.8057,0.6667,0.0078
11,0.6667,0.9074,0.6667,0.5556,0.4644,0.6844,0.8082,0.6667,0.0079
12,0.7778,0.9689,0.7778,0.75,0.2656,0.4382,0.9168,0.7778,0.0074
13,0.7556,0.9674,0.7556,0.7176,0.3095,0.4883,0.9131,0.7556,0.0074
14,0.8,0.9741,0.8,0.7802,0.2371,0.4042,0.925,0.8,0.0075
15,0.9333,0.9822,0.9333,0.9327,0.1831,0.3428,0.9565,0.9333,0.0076
16,0.8667,0.977,0.8667,0.8611,0.2015,0.363,0.9276,0.8667,0.0074
17,0.9333,0.9874,0.9333,0.9327,0.1681,0.3249,0.9764,0.9333,0.0073
18,0.9111,0.9896,0.9111,0.9107,0.1458,0.2991,0.9812,0.9111,0.0073
19,0.9111,0.9889,0.9111,0.9107,0.1516,0.3067,0.9804,0.9111,0.0082
20,0.9333,0.9881,0.9333,0.9327,0.1631,0.3194,0.9787,0.9333,0.0072
21,0.8889,0.9911,0.8889,0.8888,0.1462,0.3017,0.984,0.8889,0.0078
22,0.9333,0.9911,0.9333,0.9333,0.141,0.2953,0.984,0.9333,0.0078
23,0.9333,0.9911,0.9333,0.9333,0.1418,0.2949,0.984,0.9333,0.0081
24,0.9111,0.9926,0.9111,0.9107,0.1357,0.2852,0.9865,0.9111,0.0077
25,0.9111,0.9919,0.9111,0.9111,0.1331,0.2815,0.9852,0.9111,0.0078
26,0.9333,0.9933,0.9333,0.9333,0.1303,0.2756,0.9876,0.9333,0.0078
27,0.9111,0.9919,0.9111,0.9111,0.1307,0.2785,0.9852,0.9111,0.0082
28,0.9111,0.9941,0.9111,0.9111,0.1294,0.2764,0.9892,0.9111,0.008
29,0.9111,0.9933,0.9111,0.9111,0.1289,0.2734,0.9876,0.9111,0.0075
30,0.9111,0.9926,0.9111,0.9111,0.1269,0.2699,0.9865,0.9111,0.0075
31,0.9111,0.9926,0.9111,0.9111,0.127,0.2693,0.9865,0.9111,0.0075
32,0.9111,0.9941,0.9111,0.9111,0.1263,0.2685,0.9892,0.9111,0.0073
33,0.9111,0.9941,0.9111,0.9111,0.1237,0.2653,0.9892,0.9111,0.0077
34,0.9333,0.9941,0.9333,0.9333,0.124,0.2648,0.9892,0.9333,0.0071
35,0.9111,0.9941,0.9111,0.9111,0.1217,0.2596,0.9892,0.9111,0.0081
36,0.9333,0.9941,0.9333,0.9333,0.1209,0.259,0.9892,0.9333,0.0077
37,0.9111,0.9941,0.9111,0.9111,0.103,0.2281,0.9892,0.9111,0.0091
38,0.9333,0.9941,0.9333,0.9333,0.1027,0.2271,0.9892,0.9333,0.0089
39,0.9556,0.9948,0.9556,0.9556,0.1004,0.2244,0.9905,0.9556,0.0084
40,0.9333,0.9948,0.9333,0.9333,0.1002,0.2227,0.9905,0.9333,0.0075
41,0.9111,0.9948,0.9111,0.9111,0.0986,0.2198,0.9905,0.9111,0.0078
42,0.9333,0.9948,0.9333,0.9333,0.0981,0.2189,0.9905,0.9333,0.0085
