step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0096
1,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0047
2,0.6667,0.8259,0.6667,0.5499,0.5843,12.033,0.7649,0.6667,0.0045
3,0.8,0.9437,0.8,0.7802,0.315,0.5641,0.9232,0.8,0.0045
4,0.6889,0.9393,0.6889,0.6023,0.4137,0.6976,0.9135,0.6889,0.0045
5,0.6889,0.9467,0.6889,0.6023,0.4094,0.7129,0.9258,0.6889,0.0045
6,0.7778,0.9444,0.7778,0.75,0.322,0.5377,0.9241,0.7778,0.0044
7,0.8444,0.9526,0.8444,0.8355,0.2613,0.4493,0.9306,0.8444,0.0044
8,0.8444,0.9704,0.8444,0.8443,0.2416,0.4298,0.9483,0.8444,0.0044
9,0.8444,0.9644,0.8444,0.8355,0.2577,0.4448,0.9432,0.8444,0.0045
10,0.8,0.957,0.8,0.7802,0.2874,0.4773,0.9395,0.8,0.0044
11,0.7556,0.957,0.7556,0.7176,0.3198,0.5194,0.9395,0.7556,0.0044
12,0.7556,0.9733,0.7556,0.7176,0.2961,0.4901,0.955,0.7556,0.0044
13,0.8,0.9622,0.8,0.7802,0.2868,0.4853,0.9439,0.8,0.0046
14,0.8,0.9756,0.8,0.7802,0.2731,0.4711,0.9573,0.8,0.0045
15,0.8444,0.9756,0.8444,0.8355,0.2591,0.4569,0.9573,0.8444,0.0045
16,0.8,0.9711,0.8,0.7802,0.2808,0.4803,0.9522,0.8,0.0044
17,0.8,0.9756,0.8,0.7802,0.2714,0.4686,0.9573,0.8,0.0045
18,0.8444,0.9756,0.8444,0.8355,0.2581,0.4556,0.9573,0.8444,0.0045
19,0.8222,0.9756,0.8222,0.8086,0.2672,0.4639,0.9573,0.8222,0.0045
20,0.8222,0.9756,0.8222,0.8086,0.2608,0.4545,0.9573,0.8222,0.0045
21,0.8,0.977,0.8,0.7802,0.2771,0.472,0.9595,0.8,0.0044
22,0.8222,0.9778,0.8222,0.8086,0.2642,0.46,0.9614,0.8222,0.0044
23,0.8,0.9778,0.8,0.7802,0.2782,0.4748,0.9614,0.8,0.0044
24,0.8,0.9778,0.8,0.7802,0.2717,0.4664,0.9614,0.8,0.0045
25,0.8222,0.983,0.8222,0.8086,0.2657,0.465,0.9693,0.8222,0.0047
26,0.8,0.9815,0.8,0.7802,0.2641,0.4615,0.9668,0.8,0.0049
27,0.8,0.9785,0.8,0.7802,0.2668,0.4623,0.9625,0.8,0.0049
28,0.8,0.9785,0.8,0.7802,0.2729,0.4675,0.9625,0.8,0.0048
29,0.8,0.9785,0.8,0.7802,0.2832,0.4778,0.9625,0.8,0.0049
30,0.8,0.9785,0.8,0.7802,0.2752,0.4715,0.9625,0.8,0.0047
31,0.8,0.9785,0.8,0.7802,0.2694,0.4638,0.9625,0.8,0.0044
32,0.8,0.9785,0.8,0.7802,0.2794,0.475,0.9625,0.8,0.0042
33,0.8,0.9785,0.8,0.7802,0.2716,0.4687,0.9625,0.8,0.0039
34,0.8,0.9785,0.8,0.7802,0.2767,0.473,0.9625,0.8,0.0041
35,0.8,0.9785,0.8,0.7802,0.2829,0.4787,0.9625,0.8,0.0039
36,0.8,0.9785,0.8,0.7802,0.2781,0.4732,0.9625,0.8,0.0044
37,0.8,0.9844,0.8,0.7802,0.2749,0.4731,0.9721,0.8,0.0044
38,0.8,0.983,0.8,0.7802,0.2771,0.4744,0.9697,0.8,0.0045
39,0.8,0.9815,0.8,0.7802,0.2778,0.474,0.967,0.8,0.0047
40,0.8,0.9881,0.8,0.7802,0.2752,0.4738,0.9787,0.8,0.0045
41,0.8,0.9867,0.8,0.7802,0.2749,0.4726,0.9765,0.8,0.0041
42,0.8,0.9837,0.8,0.7802,0.2771,0.4739,0.9707,0.8,0.0043
43,0.8,0.9837,0.8,0.7802,0.28,0.4762,0.9707,0.8,0.0043
44,0.8,0.983,0.8,0.7802,0.277,0.4719,0.9697,0.8,0.0042
45,0.8,0.9822,0.8,0.7802,0.2805,0.475,0.9682,0.8,0.0038
46,0.8,0.98,0.8,0.7802,0.2738,0.4691,0.965,0.8,0.0038
47,0.8,0.98,0.8,0.7802,0.2774,0.4724,0.965,0.8,0.0042
48,0.8,0.98,0.8,0.7802,0.2738,0.4671,0.965,0.8,0.0039
49,0.8,0.9807,0.8,0.7802,0.2682,0.4623,0.966,0.8,0.0039
50,0.8,0.98,0.8,0.7802,0.2712,0.465,0.965,0.8,0.0038
51,0.8,0.9793,0.8,0.7802,0.2731,0.4663,0.9638,0.8,0.0036
52,0.8,0.9793,0.8,0.7802,0.2789,0.4724,0.9638,0.8,0.0038
53,0.8,0.98,0.8,0.7802,0.276,0.4685,0.965,0.8,0.0039
54,0.8,0.98,0.8,0.7802,0.2703,0.4638,0.965,0.8,0.0038
55,0.8,0.9815,0.8,0.7802,0.266,0.4605,0.967,0.8,0.0041
56,0.8,0.9793,0.8,0.7802,0.268,0.4623,0.9638,0.8,0.0042
57,0.8,0.98,0.8,0.7802,0.2745,0.4694,0.965,0.8,0.004
58,0.8,0.9815,0.8,0.7802,0.2715,0.465,0.967,0.8,0.0038
59,0.8,0.9793,0.8,0.7802,0.2737,0.4671,0.9638,0.8,0.0036
