step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0035
1,0.6222,0.6948,0.6222,0.5223,0.7366,12.1458,0.5633,0.6222,0.0027
2,0.7111,0.9607,0.7111,0.6824,0.4031,0.6643,0.9167,0.7111,0.0026
3,0.7111,0.9193,0.7111,0.6751,0.3852,0.6831,0.8423,0.7111,0.0026
4,0.7111,0.8985,0.7111,0.6751,0.4144,0.7361,0.8053,0.7111,0.0027
5,0.8222,0.9444,0.8222,0.8188,0.2772,0.4743,0.8897,0.8222,0.0025
6,0.8667,0.9674,0.8667,0.8606,0.2562,0.4412,0.9298,0.8667,0.0025
7,0.8889,0.9689,0.8889,0.8888,0.2092,0.3936,0.9268,0.8889,0.0026
8,0.8889,0.9733,0.8889,0.8878,0.2401,0.4307,0.923,0.8889,0.0025
9,0.9111,0.9785,0.9111,0.9107,0.2503,0.4494,0.9468,0.9111,0.0025
10,0.9111,0.9763,0.9111,0.9107,0.2523,0.4473,0.9468,0.9111,0.0025
11,0.8889,0.9911,0.8889,0.8857,0.2604,0.4568,0.9845,0.8889,0.0025
12,0.8889,0.9911,0.8889,0.8857,0.2555,0.4494,0.9847,0.8889,0.0025
13,0.8889,0.9859,0.8889,0.8878,0.2342,0.4315,0.9717,0.8889,0.0025
14,0.9111,0.9889,0.9111,0.9107,0.2444,0.447,0.9803,0.9111,0.0025
15,0.9111,0.9852,0.9111,0.9107,0.2485,0.4506,0.9723,0.9111,0.0025
16,0.9111,0.9852,0.9111,0.9107,0.242,0.4407,0.9723,0.9111,0.0026
17,0.8889,0.9837,0.8889,0.8878,0.2439,0.4408,0.9656,0.8889,0.0025
18,0.8889,0.9793,0.8889,0.8878,0.2331,0.4289,0.9529,0.8889,0.0025
19,0.8889,0.9793,0.8889,0.8878,0.2263,0.4181,0.9529,0.8889,0.0025
20,0.9111,0.9844,0.9111,0.9107,0.234,0.4277,0.9682,0.9111,0.0025
21,0.9111,0.9852,0.9111,0.9107,0.2456,0.4417,0.97,0.9111,0.0025
22,0.8889,0.9867,0.8889,0.8878,0.2577,0.4552,0.9759,0.8889,0.0025
23,0.9111,0.9881,0.9111,0.9107,0.249,0.4454,0.9784,0.9111,0.0025
24,0.8889,0.9889,0.8889,0.8878,0.2514,0.447,0.9797,0.8889,0.0025
25,0.8889,0.9881,0.8889,0.8878,0.2476,0.4437,0.9777,0.8889,0.0025
26,0.9111,0.9896,0.9111,0.9107,0.2458,0.4434,0.981,0.9111,0.0025
27,0.9111,0.9874,0.9111,0.9107,0.2433,0.4398,0.9743,0.9111,0.0025
28,0.8889,0.9859,0.8889,0.8878,0.247,0.4435,0.9703,0.8889,0.0025
29,0.8667,0.9867,0.8667,0.8643,0.2563,0.4533,0.9716,0.8667,0.0025
30,0.8667,0.9852,0.8667,0.8643,0.2567,0.4525,0.969,0.8667,0.0025
31,0.8667,0.9822,0.8667,0.8643,0.249,0.4447,0.9649,0.8667,0.0025
32,0.8667,0.9822,0.8667,0.8643,0.2447,0.4386,0.9649,0.8667,0.0025
33,0.8889,0.9822,0.8889,0.8878,0.2401,0.4336,0.9643,0.8889,0.0026
34,0.8889,0.983,0.8889,0.8878,0.2372,0.4293,0.9651,0.8889,0.0025
35,0.8667,0.9852,0.8667,0.8643,0.2451,0.4384,0.9704,0.8667,0.0025
36,0.8889,0.983,0.8889,0.8878,0.241,0.4351,0.9651,0.8889,0.0027
37,0.8667,0.983,0.8667,0.8643,0.248,0.4432,0.9656,0.8667,0.0025
38,0.8667,0.9852,0.8667,0.8643,0.2467,0.4432,0.9704,0.8667,0.0025
39,0.8889,0.9852,0.8889,0.8878,0.2452,0.4427,0.9704,0.8889,0.0025
40,0.8889,0.9852,0.8889,0.8878,0.2463,0.4439,0.9704,0.8889,0.0025
41,0.8889,0.9844,0.8889,0.8878,0.2437,0.4406,0.9694,0.8889,0.0025
42,0.8889,0.9844,0.8889,0.8878,0.2399,0.4355,0.9694,0.8889,0.0025
43,0.8889,0.9844,0.8889,0.8878,0.2378,0.4328,0.9694,0.8889,0.0025
44,0.9111,0.983,0.9111,0.9107,0.2411,0.4372,0.9669,0.9111,0.0025
45,0.8889,0.983,0.8889,0.8878,0.2398,0.4353,0.9669,0.8889,0.0025
46,0.8889,0.9837,0.8889,0.8878,0.2379,0.4322,0.9682,0.8889,0.0025
47,0.9111,0.9837,0.9111,0.9107,0.2382,0.4328,0.9682,0.9111,0.0025
48,0.8889,0.9852,0.8889,0.8878,0.2409,0.4359,0.9704,0.8889,0.0025
49,0.8889,0.9852,0.8889,0.8878,0.2429,0.4379,0.9704,0.8889,0.0025
50,0.8889,0.9852,0.8889,0.8878,0.2414,0.4363,0.9704,0.8889,0.0025
51,0.8889,0.9852,0.8889,0.8878,0.2441,0.4401,0.9704,0.8889,0.0025
52,0.9333,0.9852,0.9333,0.9333,0.2432,0.4397,0.9704,0.9333,0.0025
53,0.9333,0.9852,0.9333,0.9333,0.2421,0.4376,0.9704,0.9333,0.0025
54,0.9333,0.9867,0.9333,0.9333,0.2461,0.4425,0.9742,0.9333,0.0025
55,0.9333,0.9859,0.9333,0.9333,0.245,0.4407,0.9728,0.9333,0.0025
56,0.9333,0.9852,0.9333,0.9333,0.2429,0.4382,0.9704,0.9333,0.0025
57,0.9333,0.9852,0.9333,0.9333,0.2412,0.4359,0.9704,0.9333,0.0025
58,0.8889,0.9852,0.8889,0.8878,0.2387,0.4327,0.9704,0.8889,0.0025
59,0.8889,0.9852,0.8889,0.8878,0.239,0.4329,0.9704,0.8889,0.0025
