step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0455
1,0.6667,0.82,0.6667,0.5556,0.5995,12.048,0.7525,0.6667,0.0022
2,0.6667,0.8156,0.6667,0.5556,0.6157,12.0473,0.7493,0.6667,0.0021
3,0.6667,0.8141,0.6667,0.5451,0.5874,12.0505,0.7481,0.6667,0.0021
4,0.6667,0.8126,0.6667,0.5451,0.5932,12.0487,0.746,0.6667,0.0021
5,0.6667,0.8141,0.6667,0.5451,0.6003,12.048,0.7485,0.6667,0.0022
6,0.6667,0.9356,0.6667,0.5451,0.3678,0.5853,0.869,0.6667,0.0021
7,0.6667,0.9356,0.6667,0.5451,0.3725,0.5916,0.8695,0.6667,0.0022
8,0.6667,0.92,0.6667,0.5451,0.4011,0.6318,0.8537,0.6667,0.0022
9,0.6667,0.9052,0.6667,0.5499,0.4355,0.6839,0.8522,0.6667,0.0022
10,0.7333,0.9119,0.7333,0.7,0.3629,0.5768,0.8726,0.7333,0.0022
11,0.7556,0.9089,0.7556,0.7176,0.3728,0.5891,0.8722,0.7556,0.0022
12,0.7556,0.9385,0.7556,0.7176,0.35,0.5592,0.889,0.7556,0.0022
13,0.7778,0.9296,0.7778,0.7608,0.3222,0.5255,0.8858,0.7778,0.0022
14,0.7778,0.937,0.7778,0.7608,0.311,0.5141,0.8908,0.7778,0.0022
15,0.7333,0.9415,0.7333,0.7,0.3216,0.5264,0.9006,0.7333,0.0022
16,0.7333,0.94,0.7333,0.7,0.3299,0.537,0.8997,0.7333,0.0021
17,0.7778,0.9511,0.7778,0.7608,0.2993,0.5005,0.9119,0.7778,0.0021
18,0.8,0.9511,0.8,0.7885,0.2894,0.4914,0.9124,0.8,0.0021
19,0.8,0.9511,0.8,0.7885,0.2799,0.4814,0.9106,0.8,0.0021
20,0.8,0.9504,0.8,0.7885,0.2744,0.473,0.9097,0.8,0.0021
21,0.8,0.9511,0.8,0.7885,0.2764,0.4743,0.9106,0.8,0.0021
22,0.8222,0.9489,0.8222,0.8148,0.2702,0.468,0.9046,0.8222,0.002
23,0.8222,0.9481,0.8222,0.8148,0.2714,0.469,0.9033,0.8222,0.0021
24,0.8222,0.9459,0.8222,0.819,0.2681,0.4652,0.9027,0.8222,0.0021
25,0.8,0.9467,0.8,0.7943,0.2714,0.4682,0.9038,0.8,0.002
26,0.8,0.9467,0.8,0.7943,0.268,0.4621,0.9038,0.8,0.0021
27,0.7778,0.9459,0.7778,0.7685,0.2738,0.4685,0.9027,0.7778,0.002
28,0.7778,0.9452,0.7778,0.7685,0.2714,0.4662,0.9017,0.7778,0.0022
29,0.8,0.943,0.8,0.7943,0.2668,0.4603,0.8966,0.8,0.0021
30,0.8,0.943,0.8,0.7943,0.2653,0.4585,0.8937,0.8,0.002
31,0.8222,0.9459,0.8222,0.819,0.2642,0.4579,0.8987,0.8222,0.002
32,0.8222,0.9452,0.8222,0.8214,0.2663,0.4631,0.8975,0.8222,0.002
33,0.8222,0.9467,0.8222,0.8214,0.2657,0.4618,0.9041,0.8222,0.002
34,0.8222,0.9452,0.8222,0.8214,0.2639,0.4584,0.8975,0.8222,0.002
35,0.8222,0.9452,0.8222,0.8214,0.2626,0.4569,0.8972,0.8222,0.0021
36,0.8444,0.9474,0.8444,0.8443,0.2624,0.457,0.9005,0.8444,0.0021
37,0.8222,0.9504,0.8222,0.8214,0.2638,0.4588,0.91,0.8222,0.0021
38,0.8667,0.9526,0.8667,0.8667,0.2649,0.4611,0.9136,0.8667,0.0021
