step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0092
1,0.6667,0.8215,0.6667,0.5556,0.6031,12.029,0.7542,0.6667,0.0053
2,0.7778,0.9259,0.7778,0.7717,0.3081,0.4869,0.8954,0.7778,0.0051
3,0.7111,0.9511,0.7111,0.716,0.3359,0.5182,0.9259,0.7111,0.0054
4,0.8667,0.9733,0.8667,0.8661,0.2335,0.4146,0.9509,0.8667,0.005
5,0.7556,0.9741,0.7556,0.7176,0.3089,0.4926,0.9544,0.7556,0.0046
6,0.8889,0.9741,0.8889,0.8878,0.2435,0.4258,0.9544,0.8889,0.0046
7,0.8,0.977,0.8,0.7802,0.2923,0.4758,0.9595,0.8,0.0046
8,0.9111,0.9778,0.9111,0.9095,0.2648,0.453,0.9606,0.9111,0.0044
9,0.8889,0.9874,0.8889,0.8888,0.2655,0.4607,0.9769,0.8889,0.0046
10,0.8667,0.9956,0.8667,0.8611,0.2885,0.4874,0.9914,0.8667,0.0045
11,0.9333,0.9933,0.9333,0.9333,0.299,0.5007,0.9882,0.9333,0.0046
12,0.8889,0.9926,0.8889,0.8857,0.3214,0.5241,0.9856,0.8889,0.0046
13,0.9111,0.9911,0.9111,0.9111,0.3254,0.5314,0.984,0.9111,0.0046
14,0.8889,0.9919,0.8889,0.8857,0.3389,0.5505,0.9854,0.8889,0.0046
15,0.9111,0.9911,0.9111,0.9107,0.3566,0.5705,0.984,0.9111,0.0046
16,0.9333,0.9963,0.9333,0.9344,0.353,0.5661,0.9933,0.9333,0.0041
17,0.9333,0.9956,0.9333,0.9332,0.3644,0.5825,0.9918,0.9333,0.0043
18,0.8889,0.9911,0.8889,0.8876,0.3806,0.6007,0.984,0.8889,0.0042
19,0.8444,0.9911,0.8444,0.8472,0.3893,0.6102,0.984,0.8444,0.0042
20,0.8889,0.9926,0.8889,0.8884,0.3975,0.623,0.9867,0.8889,0.0042
21,0.9333,0.9926,0.9333,0.9327,0.3475,0.5648,0.9867,0.9333,0.0042
22,0.9111,0.9926,0.9111,0.9107,0.3529,0.5708,0.9867,0.9111,0.0042
23,0.9333,0.9919,0.9333,0.9327,0.3622,0.582,0.9854,0.9333,0.0042
24,0.9333,0.9911,0.9333,0.9327,0.3523,0.5724,0.9843,0.9333,0.0046
25,0.9111,0.9911,0.9111,0.9111,0.357,0.577,0.983,0.9111,0.0046
26,0.9111,0.9815,0.9111,0.9107,0.3692,0.5927,0.9655,0.9111,0.0047
27,0.9333,0.9933,0.9333,0.9333,0.3662,0.5895,0.9878,0.9333,0.0047
28,0.9333,0.9911,0.9333,0.9327,0.3608,0.5842,0.984,0.9333,0.0046
