step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3333,0.5,0.3333,0.1667,1.3333,24.0291,0.3333,0.3333,0.0027
1,0.6667,0.7615,0.6667,0.5451,0.6746,12.2922,0.6013,0.6667,0.0264
2,0.6667,0.7763,0.6667,0.5556,0.7113,12.2579,0.643,0.6667,0.0032
3,0.6667,0.8056,0.6667,0.5451,0.6018,12.1251,0.6987,0.6667,0.0031
4,0.6667,0.797,0.6667,0.5451,0.6031,12.0882,0.6862,0.6667,0.0031
5,0.6667,0.8015,0.6667,0.5451,0.6309,12.0745,0.693,0.6667,0.0031
6,0.7333,0.913,0.7333,0.6825,0.4012,1.4101,0.8774,0.7333,0.0036
7,0.7333,0.9011,0.7333,0.6825,0.3708,1.4123,0.857,0.7333,0.0038
8,0.9556,0.9937,0.9556,0.9554,0.1384,0.2831,0.9876,0.9556,0.0036
9,0.9333,0.9933,0.9333,0.9333,0.0974,0.2067,0.9876,0.9333,0.0035
10,0.9333,0.9941,0.9333,0.9333,0.0859,0.181,0.9892,0.9333,0.0035
11,0.9556,0.9956,0.9556,0.9556,0.0817,0.1657,0.9918,0.9556,0.0034
12,0.9333,0.9933,0.9333,0.9333,0.094,0.1852,0.9876,0.9333,0.0034
13,0.9333,0.9941,0.9333,0.9333,0.0876,0.1735,0.9892,0.9333,0.0033
14,0.8889,0.9859,0.8889,0.8888,0.1397,0.2468,0.9783,0.8889,0.0033
15,0.8889,0.9911,0.8889,0.8888,0.1167,0.2098,0.984,0.8889,0.0033
16,0.8889,0.9907,0.8889,0.8888,0.1156,0.2064,0.9829,0.8889,0.0036
17,0.8889,0.9907,0.8889,0.8888,0.1233,0.2143,0.9829,0.8889,0.0035
18,0.8889,0.9911,0.8889,0.8888,0.1041,0.1962,0.9842,0.8889,0.0032
19,0.8889,0.9881,0.8889,0.8888,0.1051,0.1833,0.9787,0.8889,0.0032
20,0.8889,0.9881,0.8889,0.8888,0.1029,0.1853,0.9787,0.8889,0.0034
21,0.8889,0.9881,0.8889,0.8888,0.1083,0.1886,0.9772,0.8889,0.0032
22,0.9111,0.9889,0.9111,0.9111,0.1016,0.1763,0.9787,0.9111,0.0032
23,0.9333,0.9852,0.9333,0.9333,0.1119,0.1923,0.9739,0.9333,0.0033
24,0.8889,0.9881,0.8889,0.8888,0.1052,0.1773,0.9787,0.8889,0.0032
25,0.9111,0.9911,0.9111,0.9111,0.1135,0.1888,0.984,0.9111,0.0033
26,0.8889,0.9896,0.8889,0.8888,0.1164,0.185,0.9813,0.8889,0.0032
27,0.9111,0.9907,0.9111,0.9111,0.1185,0.1914,0.9824,0.9111,0.0032
28,0.9111,0.9907,0.9111,0.9111,0.107,0.1718,0.983,0.9111,0.0033
29,0.9111,0.9881,0.9111,0.9111,0.111,0.1679,0.9742,0.9111,0.0029
30,0.9111,0.9904,0.9111,0.9111,0.1168,0.1853,0.9824,0.9111,0.0028
31,0.9111,0.9911,0.9111,0.9111,0.1013,0.1649,0.984,0.9111,0.0029
32,0.9111,0.9911,0.9111,0.9111,0.0966,0.1551,0.984,0.9111,0.0031
33,0.9111,0.9911,0.9111,0.9111,0.0893,0.1404,0.984,0.9111,0.0028
34,0.9111,0.9926,0.9111,0.9111,0.0907,0.154,0.9865,0.9111,0.0032
35,0.9111,0.9919,0.9111,0.9111,0.0952,0.1515,0.985,0.9111,0.0028
36,0.9333,0.9919,0.9333,0.9333,0.0918,0.1471,0.984,0.9333,0.0029
37,0.9111,0.9926,0.9111,0.9111,0.0903,0.148,0.9865,0.9111,0.0029
38,0.9111,0.9919,0.9111,0.9111,0.0926,0.1422,0.984,0.9111,0.0028
39,0.9111,0.9926,0.9111,0.9111,0.0857,0.1339,0.9865,0.9111,0.0029
40,0.9111,0.9926,0.9111,0.9111,0.0866,0.1326,0.9865,0.9111,0.0029
41,0.9111,0.9926,0.9111,0.9111,0.0884,0.1345,0.9865,0.9111,0.0029
42,0.9111,0.9911,0.9111,0.9111,0.0911,0.1428,0.984,0.9111,0.0029
43,0.9111,0.9919,0.9111,0.9111,0.0843,0.1285,0.984,0.9111,0.0029
44,0.9111,0.9907,0.9111,0.9111,0.1032,0.1648,0.983,0.9111,0.003
45,0.9111,0.9926,0.9111,0.9111,0.0958,0.1426,0.9865,0.9111,0.0029
46,0.9111,0.9926,0.9111,0.9111,0.0922,0.143,0.9865,0.9111,0.0029
47,0.9111,0.9926,0.9111,0.9111,0.097,0.1441,0.9865,0.9111,0.0029
48,0.9111,0.9933,0.9111,0.9111,0.0975,0.1539,0.9865,0.9111,0.0029
49,0.9111,0.9926,0.9111,0.9111,0.094,0.1525,0.9865,0.9111,0.0029
