step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0402,0.5,0.0402,0.003,1.9197,34.5959,0.0385,0.0385,0.0075
1,0.0445,0.5063,0.0445,0.008,1.4989,33.3268,0.0434,0.0452,2.0005
2,0.0622,0.5187,0.0622,0.0184,1.427,31.9945,0.0506,0.0627,2.0566
3,0.0883,0.5392,0.0883,0.0317,1.3112,30.7082,0.0644,0.0901,2.1609
4,0.0807,0.5387,0.0807,0.0274,1.3365,30.7253,0.0601,0.0824,1.917
5,0.0855,0.5449,0.0855,0.0331,1.2624,29.4749,0.0594,0.0873,1.9645
6,0.0948,0.5531,0.0948,0.0405,1.1934,28.1503,0.0631,0.0957,1.8364
7,0.0943,0.5582,0.0943,0.0381,1.2086,28.1428,0.0649,0.0955,2.0233
8,0.0872,0.5559,0.0872,0.0376,1.2441,28.1587,0.0661,0.0882,1.9337
9,0.0922,0.5568,0.0922,0.0402,1.2858,28.1715,0.0666,0.094,2.0382
10,0.0983,0.5723,0.0983,0.0528,1.2092,26.8055,0.0844,0.0993,1.7331
11,0.1165,0.5729,0.1165,0.0559,1.1875,26.7913,0.0919,0.1166,2.0202
12,0.1267,0.5875,0.1267,0.0726,1.1606,25.5538,0.1122,0.1273,2.0004
13,0.1298,0.5979,0.1298,0.0795,1.1411,24.3225,0.1171,0.1307,2.1023
14,0.1273,0.5954,0.1273,0.0768,1.1652,24.3492,0.1166,0.128,2.0714
15,0.1268,0.5988,0.1268,0.071,1.1715,24.3502,0.118,0.1273,2.2624
16,0.1435,0.6146,0.1435,0.0897,1.1375,23.0003,0.1363,0.1434,2.0172
17,0.1482,0.6196,0.1482,0.0987,1.124,21.7887,0.1436,0.1482,1.9538
18,0.1512,0.6247,0.1512,0.1062,1.1128,20.529,0.1474,0.151,1.9233
19,0.1542,0.6295,0.1542,0.1052,1.1025,20.505,0.1472,0.1538,1.9428
20,0.1677,0.6445,0.1677,0.1204,1.0789,19.1627,0.161,0.1667,2.1383
21,0.17,0.6541,0.17,0.1232,1.0682,17.9373,0.165,0.1691,1.9996
22,0.1785,0.6651,0.1785,0.1341,1.0519,16.6813,0.172,0.1776,1.9074
23,0.1813,0.6714,0.1813,0.1372,1.0414,15.4224,0.1746,0.1804,2.0914
24,0.1892,0.686,0.1892,0.1525,1.0257,14.1943,0.1983,0.1885,1.9642
25,0.1902,0.6853,0.1902,0.1524,1.0303,14.201,0.2007,0.1895,2.1301
26,0.201,0.6885,0.201,0.1538,1.0216,14.1871,0.2082,0.1997,2.1065
27,0.2167,0.6901,0.2167,0.1687,1.0105,14.1586,0.2183,0.2158,2.1778
28,0.2277,0.7045,0.2277,0.1879,0.9954,12.9031,0.2438,0.2269,2.0277
29,0.238,0.7073,0.238,0.1988,0.9838,12.8709,0.2508,0.2373,2.0143
30,0.2357,0.7028,0.2357,0.1983,0.9968,12.9078,0.25,0.235,2.0252
31,0.2385,0.7055,0.2385,0.1949,0.9945,12.9007,0.2517,0.2381,2.1397
32,0.2485,0.7146,0.2485,0.2095,0.986,12.836,0.2627,0.2483,2.0261
33,0.2567,0.7283,0.2567,0.2235,0.974,11.5132,0.2757,0.256,2.0294
34,0.264,0.728,0.264,0.2317,0.9652,11.4965,0.2756,0.2638,2.1163
35,0.2703,0.7281,0.2703,0.2413,0.963,11.4902,0.2757,0.2699,2.047
36,0.2753,0.73,0.2753,0.2449,0.9579,11.472,0.2822,0.275,2.2808
37,0.291,0.7453,0.291,0.2602,0.9293,10.1333,0.2931,0.2902,2.1931
38,0.2995,0.7585,0.2995,0.2738,0.9146,8.8879,0.3074,0.2988,2.1611
