step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0972,0.5551,0.0972,0.0552,1.1427,25.5905,0.0785,0.097,0.1288
1,0.1967,0.631,0.1967,0.1427,1.0319,19.0457,0.1515,0.1946,0.1883
2,0.2615,0.7249,0.2615,0.2409,0.9212,10.0323,0.2573,0.2585,0.2028
3,0.2867,0.7663,0.2867,0.2737,0.8845,7.4543,0.2995,0.2847,0.1984
4,0.2917,0.7802,0.2917,0.2742,0.8728,7.3799,0.2997,0.2898,0.2038
5,0.3087,0.8189,0.3087,0.2865,0.8614,4.9173,0.334,0.3065,0.2012
6,0.3108,0.8204,0.3108,0.2887,0.8646,4.9178,0.3307,0.3091,0.2058
7,0.3452,0.8375,0.3452,0.3307,0.8294,4.7941,0.3638,0.3424,0.2046
8,0.3762,0.8456,0.3762,0.3563,0.7975,4.7144,0.3934,0.3723,0.211
9,0.3752,0.8485,0.3752,0.3484,0.8005,4.7097,0.3903,0.3719,0.1994
10,0.4077,0.8541,0.4077,0.3773,0.7846,4.6855,0.4087,0.4041,0.215
11,0.4255,0.8589,0.4255,0.3946,0.7732,4.6398,0.423,0.4219,0.2184
12,0.4325,0.8815,0.4325,0.4083,0.7523,2.2424,0.4371,0.4293,0.2055
13,0.4425,0.8863,0.4425,0.4091,0.7474,2.2522,0.4496,0.4396,0.216
14,0.4568,0.9012,0.4568,0.4302,0.7203,2.0357,0.4765,0.4537,0.2146
15,0.481,0.9081,0.481,0.4616,0.695,1.9523,0.5052,0.4773,0.2137
16,0.4857,0.9078,0.4857,0.4718,0.6884,1.9365,0.5061,0.4821,0.2137
17,0.4882,0.9134,0.4882,0.4714,0.6805,1.901,0.5203,0.4846,0.21
18,0.4953,0.9145,0.4953,0.4796,0.6722,1.8581,0.5309,0.4919,0.2144
19,0.4958,0.9156,0.4958,0.4813,0.6714,1.8568,0.5294,0.4928,0.2127
20,0.5185,0.9179,0.5185,0.5087,0.6547,1.8061,0.5462,0.516,0.2292
21,0.5212,0.9193,0.5212,0.5103,0.6487,1.7983,0.5531,0.5186,0.2135
22,0.533,0.921,0.533,0.5212,0.6373,1.7765,0.5613,0.5303,0.2081
23,0.5513,0.9295,0.5513,0.5439,0.6188,1.6768,0.5801,0.5488,0.2165
24,0.5573,0.9307,0.5573,0.5497,0.6116,1.6668,0.5866,0.555,0.2187
25,0.5672,0.9361,0.5672,0.5628,0.5998,1.6011,0.6032,0.5649,0.2173
26,0.582,0.9379,0.582,0.5779,0.5895,1.5813,0.6121,0.58,0.2124
27,0.5967,0.9401,0.5967,0.5947,0.572,1.5347,0.6265,0.5949,0.2124
28,0.5962,0.941,0.5962,0.5927,0.5701,1.525,0.6279,0.5944,0.2174
29,0.603,0.9426,0.603,0.6007,0.5609,1.4996,0.6375,0.6017,0.2251
30,0.6027,0.9436,0.6027,0.5988,0.5564,1.4888,0.6432,0.6012,0.2204
